Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
0.000000000000000000e+00,1.023227704764825829e-02,1.386524901830594493e-02,7.949936840795472637e-03
8.974696910697879670e-02,5.864022597342292802e-03,6.977142168642355702e-03,3.240883769634912617e-03
1.794939382139575934e-01,5.026181935083678248e-03,5.107312650671823849e-03,1.968826832590711128e-03
2.692409073209364179e-01,4.312060916975541010e-03,5.390663677271525719e-03,2.249398331432697802e-03
3.589878764279151868e-01,4.628025756212458992e-03,5.373448643166136955e-03,2.688582654436054518e-03
4.487348455348939558e-01,4.569363465616695270e-03,4.771434138354597489e-03,2.258276727520888618e-03
5.384818146418728357e-01,4.750732352473421675e-03,5.589306515291049028e-03,2.612536570069355808e-03
6.282287837488516047e-01,4.865027639316931926e-03,6.182269542118241576e-03,2.504942535454906562e-03
7.179757528558303736e-01,5.274042975137277836e-03,6.097381935833944867e-03,2.375223557337529084e-03
8.077227219628092536e-01,6.202912513062087269e-03,5.716791524574296041e-03,2.367190233189049153e-03
8.974696910697879115e-01,4.953822434157735023e-03,6.380526977285755005e-03,2.510067564157390015e-03
9.872166601767666805e-01,4.477519199083481588e-03,7.288080132754794736e-03,2.966957107737329576e-03
1.076963629283745671e+00,4.977583177729498487e-03,8.360142648729406226e-03,2.985912811977970826e-03
1.166710598390724440e+00,6.363121520684292785e-03,7.341143959136070540e-03,3.242165572995512127e-03
1.256457567497703209e+00,6.644930703997354617e-03,7.574595244238658751e-03,3.515649518452592954e-03
1.346204536604681978e+00,6.149040461397684530e-03,8.107673048874284097e-03,3.561376585375284915e-03
1.435951505711660747e+00,5.889455047157149750e-03,7.985514239721625343e-03,3.433816695301132767e-03
1.525698474818639516e+00,5.862672116449476126e-03,8.327903447467428777e-03,3.214673633735940818e-03
1.615445443925618507e+00,6.872989717231489833e-03,1.072497961985275673e-02,2.918019056259171795e-03
1.705192413032597054e+00,6.911921042901602100e-03,9.641858547440084262e-03,3.571659590103759725e-03
1.794939382139575823e+00,7.359278244248744841e-03,8.810958064993146960e-03,3.750542939464113212e-03
1.884686351246554592e+00,8.024341067555545298e-03,1.044431812944742952e-02,4.045639260315495901e-03
1.974433320353533361e+00,6.588432950719112779e-03,1.084471271648476155e-02,4.143554347279251177e-03
2.064180289460512352e+00,6.649042104028664128e-03,1.138316650711279632e-02,4.006628298114858246e-03
2.153927258567491343e+00,7.874736171328115125e-03,1.219645559193468717e-02,4.152688175790420280e-03
2.243674227674469890e+00,7.721041976796283283e-03,1.352874367235723865e-02,4.766644863693127870e-03
2.333421196781448881e+00,9.203738401939940902e-03,1.298895438379266826e-02,3.908625381448274649e-03
2.423168165888427428e+00,7.746304292859862960e-03,1.151528508174166562e-02,3.857090340580182630e-03
2.512915134995406419e+00,8.258458678114094162e-03,1.312016664929209139e-02,4.897707118027228024e-03
2.602662104102385410e+00,9.756452516255233534e-03,1.727878648852190779e-02,5.185927535826617349e-03
2.692409073209363957e+00,9.303745966637846573e-03,1.466698573048562555e-02,4.130383790646613776e-03
2.782156042316342948e+00,1.144719666072874578e-02,1.428144646703623753e-02,4.708281144457288070e-03
2.871903011423321495e+00,1.041289659754227395e-02,1.492671467350919004e-02,5.551786715883315695e-03
2.961649980530300041e+00,9.614912423204075714e-03,1.356719019597270835e-02,5.924102302314026777e-03
3.051396949637279032e+00,9.764746085765949393e-03,1.602917420377550362e-02,6.255697538208784998e-03
3.141143918744257579e+00,9.350264466827615251e-03,1.733196308584601317e-02,6.349664317402198797e-03
3.230890887851237014e+00,1.143551733845057754e-02,1.845493015234251147e-02,7.722689366687124704e-03
3.320637856958215117e+00,1.247855425164516412e-02,1.962926640677958162e-02,7.388456590335519894e-03
3.410384826065194108e+00,1.154517364825318783e-02,1.705766523303027180e-02,8.173815349697076058e-03
3.500131795172173543e+00,1.329313475346831711e-02,2.109624913922819242e-02,9.443390803854295051e-03
3.589878764279151646e+00,1.162282650944906383e-02,2.290499964965270543e-02,7.217745064728924714e-03
3.679625733386131081e+00,1.319658418669827048e-02,2.076009554333289528e-02,8.141503855441548781e-03
3.769372702493109184e+00,1.342127176905726950e-02,2.071397558349691650e-02,8.635670848540829420e-03
3.859119671600088175e+00,1.377638075329990809e-02,2.051162553161456001e-02,9.741265650613697286e-03
3.948866640707066722e+00,1.170905347182598678e-02,2.155154825096943644e-02,1.008468298074307982e-02
4.038613609814046157e+00,1.609983641530288861e-02,2.070570854306592531e-02,9.054493144771179683e-03
4.128360578921024704e+00,1.346814119606672307e-02,2.079268271253740391e-02,7.179279003264866892e-03
4.218107548028003251e+00,1.173912783676018395e-02,2.154233767670134941e-02,6.920084798689835580e-03
4.307854517134982686e+00,1.361395237671814314e-02,2.477027712563912090e-02,8.036123385646888606e-03
4.397601486241961233e+00,1.398445543147894612e-02,2.263829624150641429e-02,7.320054048687212565e-03
4.487348455348939780e+00,1.563538213667782853e-02,2.654077671123774435e-02,8.952474676973144405e-03
4.577095424455918327e+00,1.587446502474368359e-02,2.634464736434713461e-02,9.621443233662853312e-03
4.666842393562897762e+00,1.383947970142704494e-02,2.745270839821976200e-02,9.121451089251086594e-03
4.756589362669876309e+00,1.397546590901369533e-02,2.735413672762711940e-02,9.105202794462273486e-03
4.846336331776854855e+00,1.607993467209765936e-02,2.972850444749541160e-02,9.322985186896040957e-03
4.936083300883834291e+00,1.646479624180392440e-02,3.028870969569317020e-02,1.056577445469750014e-02
5.025830269990812837e+00,1.812425575662607313e-02,2.876487575745612091e-02,9.788153344296056033e-03
5.115577239097791384e+00,1.993413600449368134e-02,2.617379283788749331e-02,9.140773833790126826e-03
5.205324208204770819e+00,1.587155518420521605e-02,2.546433689956312599e-02,7.637877834587875753e-03
5.295071177311749366e+00,1.349703377207099771e-02,2.502984251646877059e-02,9.055391494646481201e-03
5.384818146418727913e+00,1.637652331798055902e-02,2.659000864053180299e-02,9.511070791041660935e-03
5.474565115525706460e+00,1.564245915551740543e-02,3.028892132049373215e-02,8.623301125770298572e-03
5.564312084632685895e+00,1.668397336270477024e-02,3.132632764834604455e-02,9.194585795391171240e-03
5.654059053739663554e+00,2.172939700829817911e-02,3.074955075680112226e-02,9.014297728622683997e-03
5.743806022846642989e+00,1.607259706611807032e-02,3.347420641398723279e-02,9.515943945750298186e-03
5.833552991953622424e+00,1.436846257606356515e-02,3.185286855450666227e-02,9.883948864524460740e-03
5.923299961060600083e+00,1.680224641947047209e-02,3.135401384382282414e-02,1.073544865327029710e-02
6.013046930167579518e+00,1.773708720881712886e-02,3.089324336273183147e-02,1.111920439399724687e-02
6.102793899274558065e+00,1.740389749570286221e-02,2.966158374970049791e-02,1.004130569373118571e-02
6.192540868381537500e+00,2.116627736124339007e-02,2.780067575831876928e-02,1.084560071936698303e-02
6.282287837488515159e+00,1.905501549435508618e-02,2.529114606103379306e-02,9.402170059235678487e-03
6.372034806595494594e+00,1.881140764958799325e-02,3.000352867341735119e-02,1.195180944349136243e-02
6.461781775702474029e+00,1.702925202652783715e-02,3.124301201687338519e-02,1.283276717245757786e-02
6.551528744809452576e+00,1.775180243739312921e-02,3.027077705090339133e-02,1.029436698390912876e-02
6.641275713916430234e+00,1.733324929157281299e-02,2.900113446203353429e-02,1.085700960268885969e-02
6.731022683023409670e+00,1.954276708375258381e-02,3.439220851389879208e-02,9.973022349152704802e-03
6.820769652130388216e+00,1.697201104151120632e-02,2.998601251036565885e-02,1.077404847110677993e-02
6.910516621237367652e+00,2.048351574213722048e-02,3.461126723614722095e-02,1.075762282498368000e-02
7.000263590344347087e+00,2.213863772966306181e-02,3.341078539189425156e-02,1.004181540442186833e-02
7.090010559451324745e+00,2.062757597606031459e-02,3.408841733734660484e-02,9.156621225977700299e-03
7.179757528558303292e+00,1.991179012775771973e-02,3.610558067132726978e-02,9.942136334114186694e-03
7.269504497665282727e+00,2.194534124421410048e-02,3.880091118100769537e-02,1.170154313875729733e-02
7.359251466772262162e+00,2.010108649356768043e-02,3.747433577576565061e-02,1.180286613917560547e-02
7.448998435879239821e+00,2.027302252648609596e-02,3.608446875299966411e-02,1.027972092531604341e-02
7.538745404986218368e+00,2.054510126100104681e-02,3.152201229412460171e-02,1.013041027548267602e-02
7.628492374093197803e+00,1.928696442397869956e-02,3.244467573981318215e-02,9.641088733216266263e-03
7.718239343200176350e+00,1.584717984916820047e-02,3.891502898675910926e-02,1.043916476834028280e-02
7.807986312307155785e+00,2.377409080249112683e-02,4.023310444865324520e-02,1.015813977801216170e-02
7.897733281414133444e+00,2.080295259180088563e-02,3.795422089000688448e-02,9.579008514287612464e-03
7.987480250521112879e+00,2.074996168288899615e-02,3.581237957613436079e-02,1.034214608398397947e-02
8.077227219628092314e+00,1.872223766533551506e-02,3.234832977244149477e-02,1.144365437225143382e-02
8.166974188735069973e+00,1.886146115103021909e-02,3.451442615667769248e-02,1.112734360853245667e-02
8.256721157842049408e+00,2.183115797492471075e-02,3.930336121909695085e-02,1.108910298376168842e-02
8.346468126949027067e+00,2.142042405650929765e-02,4.025912157018000925e-02,1.151166165019754800e-02
8.436215096056006502e+00,2.150743655503391596e-02,3.726097321794747536e-02,1.129029040947960444e-02
8.525962065162985937e+00,1.985400500387462727e-02,3.349360964524021600e-02,1.131178932472890267e-02
8.615709034269965372e+00,2.045011174949679447e-02,3.199891793050445299e-02,1.347992514138796581e-02
8.705456003376944807e+00,2.173637385256255508e-02,3.310773394380023965e-02,1.184022426908758370e-02
8.795202972483922466e+00,2.209069283499106445e-02,3.736677809862479910e-02,9.982572898858411634e-03
8.884949941590900124e+00,1.936606827833076833e-02,4.318060454236327672e-02,1.050545765145408615e-02
8.974696910697879559e+00,2.352484632406050963e-02,4.249840596357814387e-02,1.134672002582251538e-02
9.064443879804858994e+00,2.330383964889616230e-02,4.645813557757080825e-02,1.007237097162863235e-02
9.154190848911836653e+00,2.489181145317663144e-02,4.274982545207905299e-02,1.047594178928572435e-02
9.243937818018816088e+00,2.448691467116667977e-02,3.603612657500357419e-02,1.056147986871477928e-02
9.333684787125795523e+00,2.859423636260810878e-02,3.468199298557763516e-02,9.209468692541905935e-03
9.423431756232773182e+00,3.038246581926907705e-02,3.996149587185913316e-02,1.104610287726494160e-02
