# composition,0.417NaCl-0.058KCl-0.525CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.417NaCl-0.058KCl-0.525CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,K-Cl,K-K,Na-Cl,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007454145737868934,0.0,0.0,0.0,0.0,0.0,0.0018913127976396896
0.014908291475737868,0.0,0.0,0.0,0.0,0.0,0.003782625595279379
0.0223624372136068,0.0,0.033495557115813146,0.03960179163242301,0.0,0.0,0.005673938392919069
0.029816582951475736,0.0,0.03398629933353367,0.03969912041028184,0.0,0.0,0.007565251190558758
0.03727072868934467,0.0,0.0344770415512542,0.03979644918814067,0.0,0.0,0.009456563988198448
0.0447248744272136,0.0,0.034967783768974726,0.039893777965999494,0.0,0.0,0.011347876785838137
0.05217902016508254,0.0,0.03545852598669525,0.03999110674385832,0.0,0.0,0.013239189583477827
0.05963316590295147,0.0,0.035949268204415775,0.04008843552171715,0.0,0.0,0.015130502381117517
0.06708731164082041,0.0,0.0364400104221363,0.04018576429957598,0.0,0.0,0.017021815178757206
0.07454145737868934,0.029385751305602625,0.036930752639856824,0.04028309307743481,0.0,0.0,0.018913127976396896
0.08199560311655828,0.029345687860945206,0.037421494857577356,0.040380421855293634,0.0,0.001270097832583548,0.020804440774036585
0.0894497488544272,0.029305624416287784,0.03791223707529788,0.04047775063315246,0.0,0.003524532280567333,0.022695753571676275
0.09690389459229615,0.029265560971630366,0.038402979293018405,0.04057507941101129,0.0005003679419983857,0.005778966728551123,0.024587066369315964
0.10435804033016507,0.029225497526972944,0.03889372151073893,0.04067240818887012,0.0012633133662618412,0.008033401176534907,0.026478379166955654
0.11181218606803402,0.029185434082315526,0.039384463728459454,0.04076973696672895,0.002026258790525298,0.010287835624518698,0.028369691964595344
0.11926633180590294,0.029145370637658104,0.03986865977854918,0.04084737854312311,0.0027892042147887536,0.012542270072502483,0.030261004762235033
0.1267204775437719,0.029105307193000685,0.040177890409943025,0.040910535806965104,0.0035521496390522106,0.014796704520486271,0.03215231755987472
0.13417462328164081,0.029065243748343263,0.04048712104133687,0.0409736930708071,0.004315095063315666,0.017051138968470058,0.03404363035751441
0.14162876901950974,0.029025180303685845,0.04079635167273071,0.0410368503346491,0.005078040487579121,0.019305573416453843,0.03476731419930331
0.14908291475737867,0.028985116859028423,0.04110558230412456,0.04110000759849109,0.005840985911842577,0.021560007864437628,0.0347538558827186
0.15653706049524763,0.028945053414371005,0.04141481293551841,0.04116316486233309,0.006603931336106035,0.023526258397892026,0.03474039756613389
0.16399120623311655,0.028904989969713583,0.04172404356691225,0.04122632212617509,0.007366876760369491,0.023507145194190424,0.03472693924954917
0.17144535197098548,0.028862687784790477,0.042033274198306096,0.04128947939001708,0.008129822184632946,0.023488031990488822,0.03471348093296446
0.1788994977088544,0.02882021740655787,0.04234250482969994,0.041352636653859076,0.008892767608896401,0.023468918786787217,0.03470002261637975
0.18635364344672334,0.02877774702832526,0.042651735461093784,0.041415793917701074,0.00941506922600018,0.023449805583085615,0.03468656429979504
0.1938077891845923,0.028735276650092657,0.04296096609248763,0.04147895118154307,0.00940591432396912,0.023430692379384013,0.03467310598321032
