# composition,0.33NaCl-0.45MgCl2-0.22KCl
# source,Jiang, 2024
# temperature_K,750
# raw_file,0.45MgCl2-0.33NaCl-0.22KCl_Jiang_2024_750.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,Mg-Cl,Mg-Mg,Na-Cl,Na-Na
0.3554634496448224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36286893817908955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37027442671335664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3776799152476238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38508540378189093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3924908923161581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39989638085042517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4073018693846923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41470735791895946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4221128464532266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4295183349874937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43692382352176085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.444329312056028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45173480059029514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45914028912456223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4665457776588294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4739512661930965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48135675472736367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4887622432616308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4961677317958979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.503573220330165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5109787088644322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5183841973986993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5257896859329665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5331951744672336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5406006630015007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5480061515357678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.555411640070035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5628171286043021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5702226171385693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5776281056728364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5850335942071035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5924390827413707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5998445712756378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6072500598099049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.614655548344172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6220610368784392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6294665254127063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6368720139469735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6442775024812406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6516829910155078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6590884795497749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6664939680840419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6738994566183091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6813049451525762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6887104336868434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6961159222211105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7035214107553777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7109268992896448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.718332387823912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7257378763581791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7331433648924461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7405488534267133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7479543419609804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7553598304952476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7627653190295147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7701708075637819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.777576296098049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7849817846323162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7923872731665832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7997927617008503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8071982502351175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8146037387693846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8220092273036518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8294147158379189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8368202043721861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8442256929064532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8516311814407204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8590366699749874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8664421585092545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8738476470435217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8812531355777888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
