# composition,0.7LiCl-0.3CaCl2
# source,Liang, 2024
# temperature_K,1073
# raw_file,0.7LiCl-0.3CaCl2_Liang_2024_1073.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Li,Cl-Cl,Li-Cl,Li-Li
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0049475287094096505,0.000298275786099124,0.0,0.00017687957812543317,0.0,0.0,0.0
0.009895057418819301,0.000596551572198248,0.0,0.00035375915625086634,0.0,0.0,0.0
0.014842586128228951,0.000894827358297372,0.0,0.0005306387343762995,0.0,0.0,0.0
0.019790114837638602,0.001193103144396496,0.0,0.0007075183125017327,0.0,0.0,0.0
0.02473764354704825,0.00149137893049562,0.0,0.0008843978906271657,0.0,0.0,0.0
0.029685172256457903,0.001789654716594744,0.0,0.001061277468752599,0.0,0.0,0.0
0.034632700965867555,0.0020879305026938683,0.0,0.0012381570468780322,0.0,0.0,0.0
0.039580229675277204,0.002386206288792992,0.0025806832911206647,0.0014150366250034654,0.0,0.0,0.0
0.04452775838468685,0.002684482074892116,0.0026366657463903586,0.0015919162031288983,0.0,0.0,0.0
0.0494752870940965,0.00298275786099124,0.0026926482016600525,0.0017687957812543315,0.0,0.0,0.0
0.05442281580350616,0.003281033647090364,0.0027486306569297464,0.0019456753593797649,0.0,0.0,0.0
0.059370344512915806,0.003579309433189488,0.0028046131121994403,0.002122554937505198,0.0,0.0,0.0
0.06431787322232546,0.0038775852192886122,0.0028605955674691347,0.0022994345156306314,0.0,0.007296323962253121,0.0
0.06926540193173511,0.004175861005387737,0.0029165780227388286,0.0024763140937560644,0.0,0.0072910610427854424,0.0
0.07421293064114476,0.0044741367914868605,0.0029725604780085225,0.0026531936718814974,0.0,0.007285798123317764,0.0
0.07916045935055441,0.004772412577585984,0.0030285429332782164,0.0028300732500069307,0.0,0.007280535203850084,0.0
0.08410798805996406,0.005070688363685108,0.0030845253885479103,0.0030069528281323637,0.0,0.007275272284382405,0.0
0.0890555167693737,0.005368964149784232,0.003140507843817604,0.0031838324062577967,0.018779150073595742,0.007270009364914726,0.0
0.09400304547878335,0.005667239935883356,0.003196490299087298,0.0033607119843832296,0.018774543510014827,0.007264746445447047,0.0
0.098950574188193,0.00596551572198248,0.003252472754356992,0.003537591562508663,0.01876993694643391,0.0072594835259793674,0.0
0.10389810289760266,0.006263791508081604,0.003308455209626686,0.0037144711406340964,0.018765330382852996,0.0072542206065116886,0.0
0.10884563160701231,0.006562067294180728,0.0033644376648963798,0.0038913507187595298,0.018760723819272084,0.00724895768704401,0.0
0.11379316031642196,0.006860343080279852,0.0034204201201660737,0.004068230296884963,0.01875611725569117,0.007243694767576331,0.0
0.11874068902583161,0.007158618866378976,0.0034764025754357676,0.004245109875010396,0.018751510692110254,0.007238431848108652,0.0
0.12368821773524126,0.0072210830848908345,0.0035323850307054615,0.004421989453135829,0.018746904128529338,0.007233168928640972,0.0
0.12863574644465092,0.007212989511526196,0.003577748846387653,0.004598869031261263,0.018742297564948423,0.007227906009173293,0.0
0.13358327515406057,0.0072048959381615565,0.003613146316331459,0.004610947826741745,0.01873769100136751,0.007222643089705614,0.0
0.13853080386347022,0.007196802364796917,0.003648543786275265,0.004568240897709033,0.018733084437786596,0.0072173801702379355,0.0
0.14347833257287987,0.007188708791432278,0.003683941256219071,0.004525533968676321,0.01872847787420568,0.007212117250770256,0.0
0.14842586128228952,0.007180615218067638,0.0037193387261628776,0.00448282703964361,0.018723871310624765,0.007206854331302577,0.0
0.15337338999169917,0.007172521644702999,0.0037547361961066837,0.004440120110610898,0.018719264747043853,0.007201591411834898,0.0
0.15832091870110881,0.00716442807133836,0.0037901336660504897,0.004397413181578186,0.018714658183462938,0.007196328492367219,0.0
0.16326844741051846,0.007156334497973721,0.003825531135994296,0.004354706252545474,0.018710051619882023,0.007189239735832221,0.0
