# composition,0.78NaF-0.22UF4
# source,1100K-CMD-Zhang, 2026
# temperature_K,1100
# raw_file,0.78NaF-0.22UF4_Zhang_2026_1100.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Na-F,Na-Na,Na-U,U-F,U-U
0.36327163581790894,0.0,0.0,0.0,0.0,0.0,0.0
0.36726363181590793,0.0,0.0,0.0,0.0,0.0,0.0
0.3712556278139069,0.0,0.0,0.0,0.0,0.0,0.0
0.37524762381190596,0.0,0.0,0.0,0.0,0.0,0.0
0.37923961980990495,0.0,0.0,0.0,0.0,0.0,0.0
0.38323161580790394,0.0,0.0,0.0,0.0,0.0,0.0
0.3872236118059029,0.0,0.0,0.0,0.0,0.0,0.0
0.3912156078039019,0.0,0.0,0.0,0.0,0.0,0.0
0.39520760380190095,0.0,0.0,0.0,0.0,0.0,0.0
0.39919959979989994,0.0,0.0,0.0,0.0,0.0,0.0
0.4031915957978989,0.0,0.0,0.0,0.0,0.0,0.0
0.4071835917958979,0.0,0.0,0.0,0.0,0.0,0.0
0.41117558779389696,0.0,0.0,0.0,0.0,0.0,0.0
0.41516758379189594,0.0,0.0,0.0,0.0,0.0,0.0
0.41915957978989493,0.0,0.0,0.0,0.0,0.0,0.0
0.4231515757878939,0.0,0.0,0.0,0.0,0.0,0.0
0.4271435717858929,0.0,0.0,0.0,0.0,0.0,0.0
0.43113556778389195,0.0,0.0,0.0,0.0,0.0,0.0
0.43512756378189094,0.0,0.0,0.0,0.0,0.0,0.0
0.4391195597798899,0.0,0.0,0.0,0.0,0.0,0.0
0.4431115557778889,0.0,0.0,0.0,0.0,0.0,0.0
0.4471035517758879,0.0,0.0,0.0,0.0,0.0,0.0
0.45109554777388694,0.0,0.0,0.0,0.0,0.0,0.0
0.4550875437718859,0.0,0.0,0.0,0.0,0.0,0.0
0.4590795397698849,0.0,0.0,0.0,0.0,0.0,0.0
0.4630715357678839,0.0,0.0,0.0,0.0,0.0,0.0
0.46706353176588294,0.0,0.0,0.0,0.0,0.0,0.0
0.47105552776388193,0.0,0.0,0.0,0.0,0.0,0.0
0.4750475237618809,0.0,0.0,0.0,0.0,0.0,0.0
