# composition,0.5455LiF-0.2727BeF2-0.1818ThF4
# source,Yin, 2025
# temperature_K,973
# raw_file,0.5455LiF-0.2727BeF2-0.1818ThF4_Yin_2025_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,F-F,Li-F,Li-Li,Th-F
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002981635735867934,0.0,0.0,0.0,0.0,0.0,0.0
0.005963271471735868,0.0,0.0,0.0,0.0,0.0,0.0
0.008944907207603802,0.0,0.0,0.0,0.0,0.0,0.0
0.011926542943471737,0.0,0.0,0.0,0.0,0.0,0.0
0.01490817867933967,0.0,0.0,0.0,0.0,0.0,0.0
0.017889814415207605,0.0,0.0,0.0,0.0,0.0,0.0
0.02087145015107554,0.0,0.0,0.0,0.0,0.0,0.0
0.023853085886943473,0.0,0.0,0.0,0.0,0.0,0.0
0.026834721622811405,0.0,0.0,0.0,0.0,0.0,0.0
0.02981635735867934,0.0,0.0,0.0,0.0,0.0,0.0
0.03279799309454728,0.0,0.0,0.0,0.0,0.0,0.0
0.03577962883041521,0.0,0.0,0.0,0.0,0.0,0.0
0.03876126456628314,0.0,0.0,0.0,0.0,0.0,0.0
0.04174290030215108,0.0,0.0,0.0,0.0,0.0,0.0
0.044724536038019014,0.0,0.0,0.0,0.0,0.0,0.0
0.047706171773886946,0.0,0.0,0.0,0.0,0.0,0.0
0.05068780750975488,0.0,0.0,0.0,0.0,0.0,0.0
0.05366944324562281,0.0,0.0,0.0,0.0,0.0,0.0
0.05665107898149075,0.0,0.0,0.0,0.0,0.0,0.0
0.05963271471735868,0.0,0.0,0.0,0.0,0.0,0.0
0.06261435045322662,0.0,0.0,0.0,0.0,0.0,0.0
0.06559598618909455,0.0,0.0,0.0,0.0,0.0,0.0
0.06857762192496249,0.0,0.0,0.0,0.0,0.0,0.0
0.07155925766083042,0.0,0.0,0.0,0.0,0.0,0.0
0.07454089339669835,0.0,0.0,0.0,0.0,0.0,0.0
0.07752252913256628,0.0,0.0,0.0,0.0,0.0,0.0
0.08050416486843422,0.0,0.0,0.0,0.0,0.0,0.0
0.08348580060430216,0.0,0.0,0.0,0.0,0.0,0.0
0.0864674363401701,0.0,0.0,0.0,0.0,0.0,0.0
0.08944907207603803,0.0,0.0,0.0,0.0,0.0,0.0
0.09243070781190596,0.0,0.0,0.0,0.0,0.0,0.0
0.09541234354777389,0.0,0.0,0.0,0.0,0.0,0.0
0.09839397928364182,0.0,0.0,0.0,0.0,0.0,0.0
0.10137561501950976,0.0,0.0,0.0,0.0,0.0,0.0
0.10435725075537769,0.0,0.0,0.0,0.0,0.0,0.0
0.10733888649124562,0.0,0.0,0.0,0.0,0.0,0.0
0.11032052222711357,0.0,0.0,0.0,0.0,0.0,0.0
0.1133021579629815,0.0,0.0,0.0,0.0,0.0,0.0
0.11628379369884943,0.0,0.0,0.0,0.0,0.0,0.0
0.11926542943471737,0.0,0.0,0.0,0.0,0.0,0.0
0.1222470651705853,0.0,0.0,0.0,0.0,0.0,0.0
0.12522870090645324,0.0,0.0,0.0,0.0,0.0,0.0
0.12821033664232118,0.0,0.0,0.0,0.0,0.0,0.0
0.1311919723781891,0.0,0.0,0.0,0.0,0.0,0.0
0.13417360811405704,0.0,0.0,0.0,0.0,0.0,0.0
0.13715524384992497,0.0,0.0,0.0,0.0,0.0,0.0
0.1401368795857929,0.0,0.0,0.0,0.0,0.0,0.0
0.14311851532166084,0.0,0.0,0.0,0.0,0.0,0.0
0.14610015105752877,0.0,0.0,0.0,0.0,0.0,0.0
0.1490817867933967,0.0,0.0,0.0,0.0,0.0,0.0
0.15206342252926464,0.0,0.0,0.0,0.0,0.0,0.0
