# composition,1.0NaF
# source,Walz, 2019
# temperature_K,1266
# raw_file,NaF_Walz_2019_1266.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Na-F,Na-Na
0.0,0.0,0.0,0.0
0.006369737804686832,0.0,0.0,0.0
0.012739475609373664,0.0,0.0,0.0
0.019109213414060498,0.0,0.0,0.0
0.02547895121874733,0.0,0.0,0.0
0.031848689023434164,0.0,0.0,0.0
0.038218426828120995,0.0,0.0,0.0
0.04458816463280783,0.0,0.0,0.0
0.05095790243749466,0.0,0.0,0.0
0.05732764024218149,0.0,0.0,0.0
0.06369737804686833,0.0,0.0,0.0
0.07006711585155516,0.0,0.0,0.0
0.07643685365624199,0.0,0.0,0.0
0.08280659146092882,0.0,0.0,0.0
0.08917632926561565,0.0,0.0,0.0
0.09554606707030248,0.0,0.0,0.0
0.10191580487498932,0.0,0.0,0.0
0.10828554267967615,0.0,0.0,0.0
0.11465528048436298,0.0,0.0,0.0
0.12102501828904981,0.0,0.0,0.0
0.12739475609373666,0.0,0.0,0.0
0.1337644938984235,0.0,0.0,0.0
0.14013423170311032,0.0,0.0,0.0
0.14650396950779715,0.0,0.0,0.0
0.15287370731248398,0.0,0.0,0.0
0.1592434451171708,0.0,0.0,0.0
0.16561318292185764,0.0,0.0,0.0
0.17198292072654447,0.0,0.0,0.0
0.1783526585312313,0.0,0.0,0.0
0.18472239633591814,0.0,0.0,0.0
0.19109213414060497,0.0,0.0,0.0
0.1974618719452918,0.0,0.0,0.0
0.20383160974997863,0.0,0.0,0.0
0.21020134755466546,0.0,0.0,0.0
0.2165710853593523,0.0,0.0,0.0
0.22294082316403913,0.0,0.0,0.0
0.22931056096872596,0.0,0.0,0.0
0.2356802987734128,0.0,0.0,0.0
0.24205003657809962,0.0,0.0,0.0
0.24841977438278645,0.0,0.0,0.0
0.2547895121874733,0.0,0.0,0.0
0.2611592499921601,0.0,0.0,0.0
0.267528987796847,0.0,0.0,0.0
0.2738987256015338,0.0,0.0,0.0
0.28026846340622064,0.0,0.0,0.0
0.28663820121090744,0.0,0.0,0.0
0.2930079390155943,0.0,0.0,0.0
0.2993776768202811,0.0,0.0,0.0
0.30574741462496796,0.0,0.0,0.0
0.31211715242965477,0.0,0.0,0.0
0.3184868902343416,0.0,0.0,0.0
0.32485662803902843,0.0,0.0,0.0
0.3312263658437153,0.0,0.0,0.0
0.3375961036484021,0.0,0.0,0.0
0.34396584145308895,0.0,0.0,0.0
0.35033557925777575,0.0,0.0,0.0
0.3567053170624626,0.0,0.0,0.0
0.3630750548671494,0.0,0.0,0.0
0.3694447926718363,0.0,0.0,0.0
0.3758145304765231,0.0,0.0,0.0
0.38218426828120994,0.0,0.0,0.0
0.38855400608589674,0.0,0.0,0.0
0.3949237438905836,0.0,0.0,0.0
0.4012934816952704,0.0,0.0,0.0
0.40766321949995726,0.0,0.0,0.0
0.4140329573046441,0.0,0.0,0.0
0.4204026951093309,0.0,0.0,0.0
0.4267724329140178,0.0,0.0,0.0
0.4331421707187046,0.0,0.0,0.0
0.43951190852339145,0.0,0.0,0.0
0.44588164632807825,0.0,0.0,0.0
0.4522513841327651,0.0,0.0,0.0
0.4586211219374519,0.0,0.0,0.0
0.4649908597421388,0.0,0.0,0.0
0.4713605975468256,0.0,0.0,0.0
0.47773033535151244,0.0,0.0,0.0
0.48410007315619924,0.0,0.0,0.0
0.4904698109608861,0.0,0.0,0.0
0.4968395487655729,0.0,0.0,0.0
0.5032092865702598,0.0,0.0,0.0
0.5095790243749466,0.0,0.0,0.0
0.5159487621796334,0.0,0.0,0.0
0.5223184999843202,0.0,0.0,0.0
0.5286882377890071,0.0,0.0,0.0
0.535057975593694,0.0,0.0,0.0
0.5414277133983807,0.0,0.0,0.0
0.5477974512030676,0.0,0.0,0.0
0.5541671890077544,0.0,0.0,0.0
0.5605369268124413,0.0,0.0,0.0
0.566906664617128,0.0,0.0,0.0
0.5732764024218149,0.0,0.0,0.0
0.5796461402265017,0.0,0.0,0.0
0.5860158780311886,0.0,0.0,0.0
0.5923856158358753,0.0,0.0,0.0
0.5987553536405622,0.0,0.0,0.0
0.6051250914452491,0.0,0.0,0.0
0.6114948292499359,0.0,0.0,0.0
0.6178645670546228,0.0,0.0,0.0
0.6242343048593095,0.0,0.0,0.0
0.6306040426639964,0.0,0.0,0.0
0.6369737804686832,0.0,0.0,0.0
0.6433435182733701,0.0,0.0,0.0
0.6497132560780569,0.0,0.0,0.0
0.6560829938827437,0.0,0.0,0.0
0.6624527316874306,0.0,0.0,0.0
0.6688224694921174,0.0,0.0,0.0
0.6751922072968042,0.0,0.0,0.0
0.681561945101491,0.0,0.0,0.0
0.6879316829061779,0.0,0.0,0.0
0.6943014207108648,0.0,0.0,0.0
0.7006711585155515,0.0,0.0,0.0
0.7070408963202384,0.0,0.0,0.0
0.7134106341249252,0.0,0.0,0.0
0.7197803719296121,0.0,0.0,0.0
0.7261501097342988,0.0,0.0,0.0
0.7325198475389857,0.0,0.0,0.0
0.7388895853436726,0.0,0.0,0.0
0.7452593231483594,0.0,0.0,0.0
0.7516290609530462,0.0,0.0,0.0
0.757998798757733,0.0,0.0,0.0
0.7643685365624199,0.0,0.0,0.0
