# composition,1.0NaCl
# source,Lu, 2021
# temperature_K,1200
# raw_file,NaCl_Lu_2021_1200.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Na-Cl,Na-Na
0.0,0.0,0.0
0.007970645927963982,0.0,0.0002988784203370142
0.015941291855927964,0.0,0.0005977568406740284
0.023911937783891946,0.0,0.0008966352610110427
0.03188258371185593,0.0,0.0011955136813480568
0.03985322963981991,0.0,0.0014943921016850712
0.04782387556778389,0.0,0.0017932705220220853
0.05579452149574787,0.0,0.0020921489423590994
0.06376516742371185,0.0,0.0023910273626961136
0.07173581335167584,0.0,0.0026899057830331277
0.07970645927963982,0.0,0.0029887842033701423
0.0876771052076038,0.0,0.0032876626237071565
0.09564775113556778,0.0,0.0035865410440441706
0.10361839706353176,0.0,0.0038854194643811847
0.11158904299149575,0.0,0.004184297884718199
0.11955968891945973,0.0,0.004483176305055213
0.1275303348474237,0.0,0.004782054725392227
0.1355009807753877,0.0,0.005080933145729241
0.14347162670335167,0.0,0.005190103165986491
0.15144227263131566,0.0,0.005187899398651644
0.15941291855927964,0.0,0.005185695631316797
0.16738356448724362,0.0,0.005183491863981951
0.1753542104152076,0.0,0.005181288096647104
0.18332485634317158,0.0,0.005179084329312258
0.19129550227113556,0.0,0.005176880561977411
0.19926614819909955,0.0,0.005174676794642565
0.20723679412706353,0.0,0.005172473027307718
0.2152074400550275,0.0,0.005170269259972871
0.2231780859829915,0.0,0.0051680654926380245
0.23114873191095547,0.0,0.0051658617253031785
0.23911937783891946,0.0,0.005163657957968332
0.24709002376688344,0.0,0.005161454190633485
0.2550606696948474,0.0,0.005159250423298638
0.2630313156228114,0.0,0.005157046655963791
0.2710019615507754,0.0,0.005154842888628945
0.27897260747873937,0.0,0.0051526391212940986
0.28694325340670335,0.0,0.0051500824294079435
0.29491389933466733,0.0,0.005147249016565495
0.3028845452626313,0.0,0.005144415603723047
0.3108551911905953,0.0,0.005141582190880598
0.3188258371185593,0.0,0.005138748778038149
0.32679648304652326,0.0,0.0051359153651957005
0.33476712897448724,0.0,0.005133081952353252
0.3427377749024512,0.0,0.005130248539510803
0.3507084208304152,0.0,0.005127415126668354
0.3586790667583792,0.0,0.005124581713825906
0.36664971268634317,0.0,0.0051217483009834575
0.37462035861430715,0.0,0.005118914888141008
0.38259100454227113,0.0,0.00511608147529856
0.3905616504702351,0.0,0.005113248062456111
0.3985322963981991,0.0,0.005110414649613662
0.4065029423261631,0.0,0.005107581236771214
0.41447358825412706,0.0,0.005104747823928765
0.42244423418209104,0.0,0.005101914411086317
0.430414880110055,0.0,0.005098810518463588
0.438385526038019,0.0,0.005095426160614314
0.446356171965983,0.0,0.005092041802765039
0.45432681789394697,0.0,0.005088657444915765
0.46229746382191095,0.0,0.00508527308706649
0.47026810974987493,0.0,0.005081888729217215
0.4782387556778389,0.0,0.005078504371367941
0.4862094016058029,0.0,0.005075120013518666
0.4941800475337669,0.0,0.005071735655669392
0.5021506934617308,0.0,0.005068351297820117
0.5101213393896948,0.0,0.005064966939970842
0.5180919853176589,0.0,0.005061582582121568
0.5260626312456228,0.0,0.005058198224272293
0.5340332771735867,0.0,0.005054813866423019
0.5420039231015508,0.0,0.005051429508573744
0.5499745690295148,0.0,0.0050480451507244695
0.5579452149574787,0.0,0.0050446607928751955
0.5659158608854427,0.0,0.005041276435025921
0.5738865068134067,0.0,0.005037715205615086
0.5818571527413707,0.0,0.005033911086789811
0.5898277986693347,0.0,0.005030106967964535
0.5977984445972986,0.0,0.0050263028491392605
0.6057690905252626,0.0,0.005022498730313985
0.6137397364532267,0.0,0.00501869461148871
0.6217103823811906,0.0,0.0050148904926634345
0.6296810283091545,0.0,0.00501108637383816
0.6376516742371185,0.0,0.005007282255012884
0.6456223201650826,0.0,0.005003478136187609
0.6535929660930465,0.0,0.004999674017362335
0.6615636120210104,0.0,0.004995869898537059
0.6695342579489745,0.0,0.004992065779711784
0.6775049038769385,0.0,0.004988261660886509
0.6854755498049024,0.0,0.004984457542061234
0.6934461957328664,0.0,0.004980653423235958
0.7014168416608304,0.0,0.0049768493044106835
0.7093874875887944,0.0,0.004973045185585408
0.7173581335167584,0.0,0.004969158004384757
0.7253287794447223,0.0,0.004965117770269441
0.7332994253726863,0.0,0.004961077536154126
0.7412700713006504,0.0,0.00495703730203881
0.7492407172286143,0.0,0.004952997067923494
0.7572113631565782,0.0,0.004948956833808179
0.7651820090845423,0.0,0.004944916599692863
0.7731526550125063,0.0,0.004940876365577547
0.7811233009404702,0.0,0.004936836131462232
0.7890939468684341,0.0,0.004932795897346916
0.7970645927963982,0.0,0.004928755663231601
0.8050352387243622,0.0,0.004924715429116285
0.8130058846523261,0.0,0.004920675195000969
0.8209765305802901,0.0,0.004916634960885654
0.8289471765082541,0.0,0.004912594726770338
0.8369178224362182,0.0,0.004908554492655022
0.8448884683641821,0.0,0.004904514258539707
0.852859114292146,0.0,0.004900474024424391
0.86082976022011,0.0,0.0048964337906367275
0.8688004061480741,0.0,0.004892393557682425
0.876771052076038,0.0,0.004888353324728123
0.8847416980040019,0.0,0.004884313091773821
0.892712343931966,0.0,0.004880272858819519
0.90068298985993,0.0,0.004876232625865216
0.9086536357878939,0.0,0.004872192392910914
0.9166242817158579,0.0,0.004868152159956612
0.9245949276438219,0.0,0.00486411192700231
0.9325655735717859,0.0,0.004860071694048008
0.9405362194997499,0.0,0.004856031461093705
0.9485068654277138,0.0,0.004851991228139403
0.9564775113556778,0.0,0.004847950995185101
0.9644481572836419,0.0,0.004843910762230799
0.9724188032116058,0.0,0.004839870529276497
0.9803894491395697,0.0,0.004835830296322194
0.9883600950675338,0.0,0.004831790063367892
0.9963307409954978,0.0,0.00482774983041359
1.0043013869234616,0.0,0.004823770961053957
1.0122720328514256,0.0,0.004820019312299369
1.0202426787793897,0.0,0.004816267663544781
1.0282133247073537,0.0,0.004812516014790193
1.0361839706353178,0.0,0.004808764366035605
1.0441546165632816,0.0,0.004805012717281017
1.0521252624912456,0.0,0.004801261068526429
1.0600959084192096,0.0,0.004797509419771841
1.0680665543471735,0.0,0.004793757771017253
1.0760372002751375,0.0,0.004790006122262665
1.0840078462031015,0.0,0.004786254473508077
1.0919784921310656,0.0,0.004782502824753489
1.0999491380590296,0.0,0.004778751175998901
1.1079197839869934,0.0,0.004774999527244313
1.1158904299149575,0.0,0.004771247878489725
1.1238610758429215,0.0,0.004767496229735137
1.1318317217708853,0.0,0.00476374458098055
1.1398023676988494,0.0,0.004759992932225962
1.1477730136268134,0.0,0.004756241283585831
1.1557436595547774,0.0,0.0047524896356313
1.1637143054827415,0.0,0.00474873798767677
1.1716849514107053,0.0,0.00474498633972224
1.1796555973386693,0.0,0.004741234691767709
1.1876262432666334,0.0,0.004737483043813179
1.1955968891945972,0.0,0.004733731395858648
1.2035675351225612,0.0,0.004729979747904118
1.2115381810505252,0.0,0.004726228099949587
1.2195088269784893,0.0,0.004722476451995057
1.2274794729064533,0.0,0.004718724804040526
1.2354501188344171,0.0,0.004714973156085996
1.2434207647623812,0.0,0.004711221508131465
1.2513914106903452,0.0,0.004707469860176935
1.259362056618309,0.0,0.004703718212222404
1.267332702546273,0.0,0.004699966564267874
1.275303348474237,0.0,0.004696214916313343
1.2832739944022011,0.0,0.004692463268358813
