# composition,0.535NaCl-0.315MgCl2-0.15CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.535NaCl-0.315MgCl2-0.15CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Mg-Cl,Mg-Mg,Na-Cl,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007443771500750375,0.0,0.004234820216665007,0.0,0.0,0.0,0.0
0.01488754300150075,0.0,0.008469640433330015,0.0,0.0,0.0,0.0
0.022331314502251128,0.0,0.012704460649995024,0.0,0.0,0.0,0.0
0.0297750860030015,0.0,0.01693928086666003,0.0,0.0,0.0,0.0
0.037218857503751875,0.0,0.02117410108332504,0.017302780458697275,0.0,0.0,0.0
0.044662629004502255,0.0,0.025408921299990048,0.01902692789340304,0.0,0.0,0.0
0.05210640050525263,0.0,0.029643741516655053,0.020751075328108805,0.0,0.0,0.0
0.059550172006003,0.0,0.03387856173332006,0.02247522276281457,0.0,0.0,0.0
0.06699394350675338,0.0,0.038113381949985065,0.024199370197520338,0.0,0.0,0.0
0.07443771500750375,0.0,0.04234820216665008,0.0259235176322261,0.0,0.0,0.0
0.08188148650825412,0.0030053852478768715,0.04658302238331508,0.027647665066931865,0.0,0.0,0.0
0.08932525800900451,0.006969573526026133,0.050817842599980095,0.029371812501637635,0.030601691237280036,0.0,0.0
0.09676902950975488,0.010933761804175386,0.0550526628166451,0.031095959936343398,0.030416322769018282,0.0,0.03273331675860335
0.10421280101050526,0.01489795008232464,0.05928748303331011,0.032820107371049165,0.030230954300756528,0.030011084717369928,0.032420443808654865
0.11165657251125563,0.018862138360473894,0.06352230324997511,0.03454425480575493,0.030045585832494774,0.029794697883671558,0.032107570858706386
0.119100344012006,0.02282632663862315,0.06775712346664012,0.0362684022404607,0.02986021736423302,0.02957831104997319,0.031794697908757906
0.12654411551275638,0.026790514916772402,0.07199194368330512,0.037992549675166465,0.029674848895971266,0.02936192421627482,0.03148182495880942
0.13398788701350675,0.030754703194921656,0.07311953272205159,0.03971669710987223,0.02948948042770951,0.029145537382576445,0.03116895200886094
0.14143165851425712,0.03471889147307091,0.07301797848754979,0.04108958924298963,0.029304111959447755,0.028929150548878076,0.030856079058912456
0.1488754300150075,0.038683079751220165,0.07291642425304799,0.042259417452581,0.029118743491186,0.028712763715179706,0.030543206108963977
0.15631920151575787,0.040596159808026576,0.0728148700185462,0.043429245662172364,0.028933375022924247,0.028496376881481336,0.030230333159015493
0.16376297301650825,0.040587393030512287,0.07271331578404439,0.044599073871763734,0.028748006554662493,0.028279990047782963,0.02991746020906701
0.17120674451725862,0.040578626252998,0.07261176154954259,0.0457689020813551,0.02856263808640074,0.028063603214084593,0.02960458725911853
0.17865051601800902,0.04056985947548371,0.07251020731504079,0.04693873029094647,0.028377269618138985,0.02784721638038622,0.029291714309170047
0.1860942875187594,0.04056109269796942,0.07240865308053898,0.048108558500537836,0.028195084009324783,0.02763082954668785,0.028978841359221564
0.19353805901950977,0.04055232592045513,0.07230709884603718,0.049278386710129206,0.028085533772414947,0.02741444271298948,0.02866596840927308
0.20098183052026014,0.04054355914294083,0.07220554461153539,0.050448214919720576,0.027975983535505115,0.02719805587929111,0.0283530954593246
0.20842560202101051,0.04053479236542654,0.07210399037703358,0.05161804312931194,0.027866433298595283,0.02703701053726154,0.028040222509376118
0.2158693735217609,0.040526025587912254,0.07200243614253178,0.05278787133890331,0.02775688306168545,0.026901955380471795,0.027727349559427635
0.22331314502251126,0.040517258810397964,0.07190088190802998,0.05395769954849468,0.027647332824775616,0.02676690022368205,0.027414476609479155
0.23075691652326163,0.040508492032883675,0.07179932767352817,0.05512752775808604,0.027537782587865784,0.026631845066892302,0.02710160365953067
0.238200688024012,0.040499725255369386,0.07170304633912764,0.05629735596767741,0.027428232350955952,0.026496789910102556,0.026788730709582192
0.24564445952476238,0.040490958477855096,0.07161326260486649,0.056926298571547386,0.02731868211404612,0.02636173475331281,0.02647585775963371
0.25308823102551276,0.04048219170034081,0.07152347887060533,0.05658258459277507,0.027209131877136285,0.026226679596523063,0.026168358093109103
0.26053200252626313,0.04042602795866537,0.07143369513634416,0.056238870614002755,0.027099581640226453,0.026091624439733313,0.025861722547703945
0.2679757740270135,0.04021974247148527,0.07134391140208302,0.055895156635230446,0.02699003140331662,0.02595656928294357,0.02555508700229879
0.2754195455277639,0.040013456984305175,0.07125412766782185,0.05555144265645813,0.02688048116640679,0.02582151412615382,0.025248451456893632
0.28286331702851425,0.03980717149712507,0.07116434393356069,0.055207728677685815,0.026770930929496953,0.025686458969364077,0.024941815911488474
0.2903070885292646,0.03960088600994497,0.07107456019929954,0.054864014698913506,0.02666138069258712,0.025551403812574328,0.02463518036608332
0.297750860030015,0.03939460052276487,0.07098477646503838,0.05452030072014119,0.026582089696539718,0.025416348655784585,0.02432854482067816
0.30519463153076537,0.039188315035584766,0.07089499273077722,0.054176586741368875,0.02651165378832464,0.025281293498994835,0.024021909275273003
0.31263840303151574,0.03898202954840467,0.07080520899651607,0.053832872762596566,0.026441217880109568,0.025175298386391792,0.02371527372986785
0.3200821745322661,0.03877574406122457,0.07071542526225491,0.05348915878382425,0.02637078197189449,0.025111450463712107,0.02340863818446269
0.3275259460330165,0.038569458574044466,0.07062564152799375,0.053145444805051935,0.026300346063679418,0.025047602541032422,0.023102002639057533
0.33496971753376686,0.03836317308686436,0.0705358577937326,0.052801730826279626,0.02622991015546434,0.024983754618352737,0.022795367093652378
0.34241348903451724,0.03815688759968426,0.07045886660354465,0.05245801684750731,0.026159474247249268,0.024919906695673052,0.02248873154824722
0.3498572605352676,0.037950602112504166,0.07044032215720708,0.052138895921253495,0.02608903833903419,0.024856058772993368,0.022182096002842062
0.35730103203601804,0.03774431662532406,0.07042177771086951,0.052098581465921195,0.02601860243081912,0.024792210850313683,0.021875460457436904
