# composition,1.0CaCl2
# source,Numbers, 2026
# temperature_K,1060
# raw_file,1.0CaCl2_Numbers_2026_1060.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Cl-Cl
0.0,0.0,0.0,0.0
0.005239494747373686,0.0,0.0,0.0
0.010478989494747373,0.0,0.0,0.0
0.015718484242121057,0.0,0.0,0.0
0.020957978989494745,0.0,0.0,0.0
0.026197473736868433,0.0,0.0,0.0
0.031436968484242114,0.0,0.0,0.0
0.0366764632316158,0.0,0.0,0.0
0.04191595797898949,0.0,0.0,0.0
0.04715545272636318,0.0,0.0,0.0
0.052394947473736866,0.0,0.0,0.0
0.05763444222111055,0.0,0.0,0.0
0.06287393696848423,0.0,0.0,0.0
0.06811343171585792,0.0,0.0,0.0
0.0733529264632316,0.0,0.0,0.0
0.07859242121060529,0.0,0.0,0.0
0.08383191595797898,0.0,0.0,0.0
0.08907141070535267,0.0,0.0,0.0
0.09431090545272636,0.0,0.0,0.0
0.09955040020010004,0.0,0.0,0.0
0.10478989494747373,0.0,0.0,0.0
0.11002938969484741,0.0,0.0,0.0
0.1152688844422211,0.0,0.0,0.0
0.12050837918959478,0.0,0.0,0.0
0.12574787393696846,0.0,0.0,0.0
0.13098736868434216,0.0,0.0,0.0
0.13622686343171583,0.0,0.0,0.0
0.14146635817908954,0.0,0.0,0.0
0.1467058529264632,0.0,0.0,0.0
0.1519453476738369,0.0,0.0,0.0
0.15718484242121059,0.0,0.0,0.0
0.1624243371685843,0.0,0.0,0.0
0.16766383191595796,0.0,0.0,0.0
0.17290332666333164,0.0,0.0,0.0
0.17814282141070534,0.0,0.0,0.0
0.183382316158079,0.0,0.0,0.0
0.1886218109054527,0.0,0.0,0.0
0.1938613056528264,0.0,0.0,0.0
0.1991008004002001,0.0,0.0,0.0
0.20434029514757376,0.0,0.0,0.0
0.20957978989494747,0.0,0.0,0.0
0.21481928464232114,0.0,0.0,0.0
0.22005877938969481,0.0,0.0,0.0
0.22529827413706852,0.0,0.0,0.0
0.2305377688844422,0.0,0.0,0.0
0.2357772636318159,0.0,0.0,0.0
0.24101675837918957,0.0,0.0,0.0
0.24625625312656327,0.0,0.0,0.0
0.2514957478739369,0.0,0.0,0.0
0.25673524262131064,0.0,0.0,0.0
0.2619747373686843,0.0,0.0,0.0
0.267214232116058,0.0,0.0,0.0
0.27245372686343167,0.0,0.0,0.0
0.2776932216108054,0.0,0.0,0.0
0.28293271635817907,0.0,0.0,0.0
0.28817221110555274,0.0,0.0,0.0
0.2934117058529264,0.0,0.0,0.0
0.2986512006003001,0.0,0.0,0.0
0.3038906953476738,0.0,0.0,0.0
0.3091301900950475,0.0,0.0,0.0
0.31436968484242117,0.0,0.0,0.0
0.31960917958979485,0.0,0.0,0.0
0.3248486743371686,0.0,0.0,0.0
0.33008816908454225,0.0,0.0,0.0
0.3353276638319159,0.0,0.0,0.0
0.3405671585792896,0.0,0.0,0.0
0.34580665332666327,0.0,0.0,0.0
0.351046148074037,0.0,0.0,0.0
0.3562856428214107,0.0,0.0,0.0
0.36152513756878435,0.0,0.0,0.0
0.366764632316158,0.0,0.0,0.0
0.37200412706353175,0.0,0.0,0.0
0.3772436218109054,0.0,0.0,0.0
0.3824831165582791,0.0,0.0,0.0
0.3877226113056528,0.0,0.0,0.0
0.39296210605302645,0.0,0.0,0.0
0.3982016008004002,0.0,0.0,0.0
0.40344109554777385,0.0,0.0,0.0
0.40868059029514753,0.0,0.0,0.0
0.4139200850425212,0.0,0.0,0.0
0.41915957978989493,0.0,0.0,0.0
0.4243990745372686,0.0,0.0,0.0
0.4296385692846423,0.0,0.0,0.0
0.43487806403201595,0.0,0.0,0.0
0.44011755877938963,0.0,0.0,0.0
0.44535705352676336,0.0,0.0,0.0
0.45059654827413703,0.0,0.0,0.0
0.4558360430215107,0.0,0.0,0.0
0.4610755377688844,0.0,0.0,0.0
0.46631503251625805,0.0,0.0,0.0
0.4715545272636318,0.0,0.0,0.0
0.47679402201100546,0.0,0.0,0.0
0.48203351675837913,0.0,0.0,0.0
0.4872730115057528,0.0,0.0,0.0
0.49251250625312654,0.0,0.0,0.0
0.4977520010005002,0.0,0.0,0.0
0.5029914957478738,0.0,0.0,0.0
0.5082309904952476,0.0,0.0,0.0
0.5134704852426213,0.0,0.0,0.0
0.5187099799899949,0.0,0.0,0.0
0.5239494747373686,0.0,0.0,0.0
0.5291889694847424,0.0,0.0,0.0
0.534428464232116,0.0,0.0,0.0
0.5396679589794897,0.0,0.0,0.0
0.5449074537268633,0.0,0.0,0.0
0.5501469484742371,0.0,0.0,0.0
0.5553864432216108,0.0,0.0,0.0
0.5606259379689844,0.0,0.0,0.0
0.5658654327163581,0.0,0.0,0.0
0.5711049274637318,0.0,0.0,0.0
0.5763444222111055,0.0,0.0,0.0
0.5815839169584792,0.0,0.0,0.0
0.5868234117058528,0.0,0.0,0.0
0.5920629064532266,0.0,0.0,0.0
0.5973024012006002,0.0,0.0,0.0
0.6025418959479739,0.0,0.0,0.0
0.6077813906953476,0.0,0.0,0.0
0.6130208854427213,0.0,0.0,0.0
0.618260380190095,0.0,0.0,0.0
0.6234998749374687,0.0,0.0,0.0
0.6287393696848423,0.0,0.0,0.0
0.6339788644322161,0.0,0.0,0.0
0.6392183591795897,0.0,0.0,0.0
0.6444578539269634,0.0,0.0,0.0
0.6496973486743371,0.0,0.0,0.0
0.6549368434217108,0.0,0.0,0.0
0.6601763381690845,0.0,0.0,0.0
0.6654158329164581,0.0,0.0,0.0
0.6706553276638318,0.0,0.0,0.0
0.6758948224112056,0.0,0.0,0.0
0.6811343171585792,0.0,0.0,0.0
0.6863738119059529,0.0,0.0,0.0
0.6916133066533265,0.0,0.0,0.0
0.6968528014007003,0.0,0.0,0.0
0.702092296148074,0.0,0.0,0.0
0.7073317908954476,0.0,0.0,0.0
0.7125712856428214,0.0,0.0,0.0
0.717810780390195,0.0,0.0,0.0
0.7230502751375687,0.0,0.0,0.0
0.7282897698849424,0.0,0.0,0.0
0.733529264632316,0.0,0.0,0.0
0.7387687593796898,0.0,0.0,0.0
