# composition,1.0KCl
# source,Walz, 2019
# temperature_K,1043
# raw_file,KCl_Walz_2019_1043.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K
0.0,0.0,0.0,0.0
0.007445605812906453,0.0,0.0,0.0
0.014891211625812906,0.0,0.0,0.0
0.02233681743871936,0.0,0.0,0.0
0.029782423251625813,0.0,0.0,0.0
0.037228029064532264,0.0,0.0,0.0
0.04467363487743872,0.0,0.0,0.0
0.052119240690345174,0.0,0.0,0.0
0.059564846503251626,0.0,0.0,0.0
0.06701045231615808,0.0,0.0,0.0
0.07445605812906453,0.0,0.0,0.0
0.08190166394197099,0.0,0.0,0.0
0.08934726975487745,0.0,0.0,0.0
0.09679287556778389,0.0,0.0,0.0
0.10423848138069035,0.0,0.0,0.0
0.11168408719359679,0.0,0.0,0.0
0.11912969300650325,0.0,0.0,0.0
0.1265752988194097,0.0,0.0,0.0
0.13402090463231617,0.0,0.0,0.0
0.1414665104452226,0.0,0.0,0.0
0.14891211625812906,0.0,0.0,0.0
0.15635772207103552,0.0,0.0,0.0
0.16380332788394197,0.0,0.0,0.0
0.17124893369684843,0.0,0.0,0.0
0.1786945395097549,0.0,0.0,0.0
0.18614014532266132,0.0,0.0,0.0
0.19358575113556778,0.0,0.0,0.0
0.20103135694847424,0.0,0.0,0.0
0.2084769627613807,0.0,0.0,0.0
0.21592256857428715,0.0,0.0,0.0
0.22336817438719359,0.0,0.0,0.0
0.23081378020010004,0.0,0.0,0.0
0.2382593860130065,0.0,0.0,0.0
0.24570499182591296,0.0,0.0,0.0
0.2531505976388194,0.0,0.0,0.0
0.26059620345172585,0.0,0.0,0.0
0.26804180926463234,0.0,0.0,0.0
0.27548741507753877,0.0,0.0,0.0
0.2829330208904452,0.0,0.0,0.0
0.2903786267033517,0.0,0.0,0.0
0.2978242325162581,0.0,0.0,0.0
0.3052698383291646,0.0,0.0,0.0
0.31271544414207103,0.0,0.0,0.0
0.32016104995497746,0.0,0.0,0.0
0.32760665576788395,0.0,0.0,0.0
0.3350522615807904,0.0,0.0,0.0
0.34249786739369686,0.0,0.0,0.0
0.3499434732066033,0.0,0.0,0.0
0.3573890790195098,0.0,0.0,0.0
0.3648346848324162,0.0,0.0,0.0
0.37228029064532264,0.0,0.0,0.0
0.37972589645822913,0.0,0.0,0.0
0.38717150227113556,0.0,0.0,0.0
0.39461710808404205,0.0,0.0,0.0
0.4020627138969485,0.0,0.0,0.0
0.4095083197098549,0.0,0.0,0.0
0.4169539255227614,0.0,0.0,0.0
0.4243995313356678,0.0,0.0,0.0
0.4318451371485743,0.0,0.0,0.0
0.43929074296148074,0.0,0.0,0.0
0.44673634877438717,0.0,0.0,0.0
0.45418195458729366,0.0,0.0,0.0
0.4616275604002001,0.0,0.0,0.0
0.4690731662131066,0.0,0.0,0.0
0.476518772026013,0.0,0.0,0.0
0.48396437783891944,0.0,0.0,0.0
0.4914099836518259,0.0,0.0,0.0
0.49885558946473235,0.0,0.0,0.0
0.5063011952776388,0.0,0.0,0.0
0.5137468010905453,0.0,0.0,0.0
0.5211924069034517,0.0,0.0,0.0
0.5286380127163581,0.0,0.0,0.0
0.5360836185292647,0.0,0.0,0.0
0.5435292243421711,0.0,0.0,0.0
0.5509748301550775,0.0,0.0,0.0
0.558420435967984,0.0,0.0,0.0
0.5658660417808904,0.0,0.0,0.0
0.5733116475937969,0.0,0.0,0.0
0.5807572534067034,0.0,0.0,0.0
0.5882028592196098,0.0,0.0,0.0
0.5956484650325162,0.0,0.0,0.0
0.6030940708454227,0.0,0.0,0.0
0.6105396766583292,0.0,0.0,0.0
0.6179852824712356,0.0,0.0,0.0
0.6254308882841421,0.0,0.0,0.0
0.6328764940970485,0.0,0.0,0.0
0.6403220999099549,0.0,0.0,0.0
0.6477677057228615,0.0,0.0,0.0
0.6552133115357679,0.0,0.0,0.0
0.6626589173486743,0.0,0.0,0.0
0.6701045231615808,0.0,0.0,0.0
0.6775501289744872,0.0,0.0,0.0
0.6849957347873937,0.0,0.0,0.0
0.6924413406003002,0.0,0.0,0.0
0.6998869464132066,0.0,0.0,0.0
0.707332552226113,0.0,0.0,0.0
0.7147781580390196,0.0,0.0,0.0
0.722223763851926,0.0,0.0,0.0
0.7296693696648324,0.0,0.0,0.0
0.7371149754777389,0.0,0.0,0.0
0.7445605812906453,0.0,0.0,0.0
0.7520061871035518,0.0,0.0,0.0
0.7594517929164583,0.0,0.0,0.0
0.7668973987293647,0.0,0.0,0.0
0.7743430045422711,0.0,0.0,0.0
0.7817886103551775,0.0,0.0,0.0
0.7892342161680841,0.0,0.0,0.0
0.7966798219809905,0.0,0.0,0.0
0.804125427793897,0.0,0.0,0.0
0.8115710336068034,0.0,0.0,0.0
0.8190166394197098,0.0,0.0,0.0
0.8264622452326164,0.0,0.0,0.0
0.8339078510455228,0.0,0.0,0.0
0.8413534568584292,0.0,0.0,0.0
0.8487990626713356,0.0,0.0,0.0
0.8562446684842421,0.0,0.0,0.0
0.8636902742971486,0.0,0.0,0.0
0.871135880110055,0.0,0.0,0.0
0.8785814859229615,0.0,0.0,0.0
