# composition,0.6LiCl-0.4MgCl2
# source,Numbers, 2026
# temperature_K,870
# raw_file,0.60LiCl-0.40MgCl2_Numbers_2026_870.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Cl-Cl,Li-Cl,Li-Li,Li-Mg,Mg-Cl,Mg-Mg
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005239494747373686,0.0,0.0,0.0,0.0,0.0,0.0
0.010478989494747373,0.0,0.0,0.0,0.0,0.0,0.0
0.015718484242121057,0.0,0.0,0.0,0.0,0.0,0.0
0.020957978989494745,0.0,0.0,0.0,0.0,0.0,0.0
0.026197473736868433,0.0,0.0,0.0,0.0,0.0,0.0
0.031436968484242114,0.0,0.0,0.0,0.0,0.0,0.0
0.0366764632316158,0.0,0.0,0.0,0.0,0.0,0.0
0.04191595797898949,0.0,0.0,0.0,0.0,0.0,0.0
0.04715545272636318,0.0,0.0,0.0,0.0,0.0,0.0
0.052394947473736866,0.0,0.0,0.0,0.0,0.0,0.0
0.05763444222111055,0.0,0.0,0.0,0.0,0.0,0.0
0.06287393696848423,0.0,0.0,0.0,0.0,0.0,0.0
0.06811343171585792,0.0,0.0,0.0,0.0,0.0,0.0
0.0733529264632316,0.0,0.0,0.0,0.0,0.0,0.0
0.07859242121060529,0.0,0.0,0.0,0.0,0.0,0.0
0.08383191595797898,0.0,0.0,0.0,0.0,0.0,0.0
0.08907141070535267,0.0,0.0,0.0,0.0,0.0,0.0
0.09431090545272636,0.0,0.0,0.0,0.0,0.0,0.0
0.09955040020010004,0.0,0.0,0.0,0.0,0.0,0.0
0.10478989494747373,0.0,0.0,0.0,0.0,0.0,0.0
0.11002938969484741,0.0,0.0,0.0,0.0,0.0,0.0
0.1152688844422211,0.0,0.0,0.0,0.0,0.0,0.0
0.12050837918959478,0.0,0.0,0.0,0.0,0.0,0.0
0.12574787393696846,0.0,0.0,0.0,0.0,0.0,0.0
0.13098736868434216,0.0,0.0,0.0,0.0,0.0,0.0
0.13622686343171583,0.0,0.0,0.0,0.0,0.0,0.0
0.14146635817908954,0.0,0.0,0.0,0.0,0.0,0.0
0.1467058529264632,0.0,0.0,0.0,0.0,0.0,0.0
0.1519453476738369,0.0,0.0,0.0,0.0,0.0,0.0
0.15718484242121059,0.0,0.0,0.0,0.0,0.0,0.0
0.1624243371685843,0.0,0.0,0.0,0.0,0.0,0.0
0.16766383191595796,0.0,0.0,0.0,0.0,0.0,0.0
0.17290332666333164,0.0,0.0,0.0,0.0,0.0,0.0
0.17814282141070534,0.0,0.0,0.0,0.0,0.0,0.0
0.183382316158079,0.0,0.0,0.0,0.0,0.0,0.0
0.1886218109054527,0.0,0.0,0.0,0.0,0.0,0.0
0.1938613056528264,0.0,0.0,0.0,0.0,0.0,0.0
0.1991008004002001,0.0,0.0,0.0,0.0,0.0,0.0
0.20434029514757376,0.0,0.0,0.0,0.0,0.0,0.0
0.20957978989494747,0.0,0.0,0.0,0.0,0.0,0.0
0.21481928464232114,0.0,0.0,0.0,0.0,0.0,0.0
0.22005877938969481,0.0,0.0,0.0,0.0,0.0,0.0
0.22529827413706852,0.0,0.0,0.0,0.0,0.0,0.0
0.2305377688844422,0.0,0.0,0.0,0.0,0.0,0.0
0.2357772636318159,0.0,0.0,0.0,0.0,0.0,0.0
0.24101675837918957,0.0,0.0,0.0,0.0,0.0,0.0
0.24625625312656327,0.0,0.0,0.0,0.0,0.0,0.0
0.2514957478739369,0.0,0.0,0.0,0.0,0.0,0.0
0.25673524262131064,0.0,0.0,0.0,0.0,0.0,0.0
