# composition,1.0CaCl2
# source,Bu, 2021
# temperature_K,1100
# raw_file,CaCl2_Bu_2021_1100.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Cl-Cl
0.0,0.0,0.0,0.0
0.00497005104152076,0.0,0.0,0.0
0.00994010208304152,0.0,0.0,0.0
0.014910153124562281,0.0,0.0,0.0
0.01988020416608304,0.0,0.0,0.0
0.024850255207603804,0.0,0.0,0.0
0.029820306249124563,0.0,0.0,0.0
0.03479035729064532,0.0,0.0,0.0
0.03976040833216608,0.0,0.0,0.0
0.044730459373686846,0.0,0.0,0.0
0.04970051041520761,0.0,0.0,0.0
0.05467056145672836,0.0,0.0,0.0
0.059640612498249125,0.0,0.0,0.0
0.06461066353976988,0.0,0.0,0.0
0.06958071458129064,0.0,0.0,0.0
0.0745507656228114,0.008703367222971738,0.0,0.0
0.07952081666433217,0.00876588856342435,0.0,0.0
0.08449086770585293,0.008828409903876962,0.0,0.0
0.08946091874737369,0.008890931244329573,0.0,0.0
0.09443096978889445,0.008953452584782183,0.0,0.0
0.09940102083041522,0.009015973925234795,0.0,0.0
0.10437107187193596,0.009078495265687407,0.0,0.0
0.10934112291345673,0.009141016606140017,0.0,0.0
0.11431117395497749,0.009203537946592628,0.0,0.0
0.11928122499649825,0.00926605928704524,0.0,0.0
0.12425127603801901,0.009328580627497852,0.0,0.0
0.12922132707953976,0.009391101967950462,0.0,0.0
0.13419137812106052,0.009453623308403073,0.0,0.0
0.13916142916258128,0.009516144648855685,0.0,0.0
0.14413148020410205,0.009578665989308295,0.0,0.0
0.1491015312456228,0.009641187329760907,0.0,0.0
0.15407158228714357,0.009703708670213518,0.0,0.0
0.15904163332866433,0.009766230010666128,0.0,0.0
0.1640116843701851,0.00982875135111874,0.0,0.0
0.16898173541170586,0.009891272691571352,0.0,0.0
0.17395178645322662,0.009953794032023964,0.0,0.0
0.17892183749474738,0.009929930133704013,0.0,0.0
0.18389188853626814,0.009898159538474246,0.0,0.0
0.1888619395777889,0.00986638894324448,0.0,0.0
0.19383199061930967,0.009834618348014712,0.0,0.0
0.19880204166083043,0.009802847752784945,0.0,0.0
0.20377209270235117,0.009771077157555179,0.0,0.0
0.20874214374387193,0.009739306562325412,0.0,0.0
