# composition,1.0UCl3
# source,Okamoto, 2005
# temperature_K,1200
# raw_file,UCl3_Okamoto_2005_1200.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,U-Cl,U-U
0.0,0.0,0.0,0.0
0.007379336708354177,0.0,0.0,0.0
0.014758673416708354,0.0,0.0,0.0
0.02213801012506253,0.0,0.0,0.0
0.029517346833416707,0.0,0.0,0.0
0.036896683541770885,0.0,0.0,0.0
0.04427602025012506,0.0,0.0,0.0
0.05165535695847924,0.0,0.0,0.0
0.059034693666833414,0.0,0.0,0.0
0.06641403037518759,0.0,0.0,0.0
0.07379336708354177,0.0,0.0,0.0
0.08117270379189595,0.0,0.0,0.0
0.08855204050025012,0.0,0.0,0.0
0.0959313772086043,0.0,0.0,0.0
0.10331071391695848,0.0,0.0,0.0
0.11069005062531265,0.0,0.0,0.0
0.11806938733366683,0.0,0.0,0.0
0.125448724042021,0.0,0.0,0.0
0.13282806075037518,0.0,0.0,0.0
0.14020739745872937,0.0,0.0,0.0
0.14758673416708354,0.0,0.0,0.0
0.1549660708754377,0.0,0.0,0.0
0.1623454075837919,0.0,0.0,0.0
0.16972474429214607,0.0,0.0,0.0
0.17710408100050024,0.0,0.0,0.0
0.18448341770885443,0.0,0.0,0.0
0.1918627544172086,0.0,0.0,0.0
0.19924209112556276,0.0,0.0,0.0
0.20662142783391696,0.0,0.0,0.0
0.21400076454227113,0.0,0.0,0.0
0.2213801012506253,0.0,0.0,0.0
0.2287594379589795,0.0,0.0,0.0
0.23613877466733366,0.0,0.0,0.0
0.24351811137568782,0.0,0.0,0.0
0.250897448084042,0.0,0.0,0.0
0.2582767847923962,0.0,0.0,0.0
0.26565612150075035,0.0,0.0,0.0
0.2730354582091045,0.0,0.0,0.0
0.28041479491745874,0.0,0.0,0.0
0.2877941316258129,0.0,0.0,0.0
0.2951734683341671,0.0,0.0,0.0
0.30255280504252124,0.0,0.0,0.0
0.3099321417508754,0.0,0.0,0.0
0.3173114784592296,0.0,0.0,0.0
0.3246908151675838,0.0,0.0,0.0
0.33207015187593797,0.0,0.0,0.0
0.33944948858429214,0.0,0.0,0.0
0.3468288252926463,0.0,0.0,0.0
0.35420816200100047,0.0,0.0,0.0
0.36158749870935464,0.0,0.0,0.0
0.36896683541770886,0.0,0.0,0.0
0.376346172126063,0.0,0.0,0.0
0.3837255088344172,0.0,0.0,0.0
0.39110484554277136,0.0,0.0,0.0
0.39848418225112553,0.0,0.0,0.0
0.4058635189594797,0.0,0.0,0.0
0.4132428556678339,0.0,0.0,0.0
0.4206221923761881,0.0,0.0,0.0
0.42800152908454225,0.0,0.0,0.0
0.4353808657928964,0.0,0.0,0.0
0.4427602025012506,0.0,0.0,0.0
0.45013953920960476,0.0,0.0,0.0
0.457518875917959,0.0,0.0,0.0
0.46489821262631315,0.0,0.0,0.0
0.4722775493346673,0.0,0.0,0.0
0.4796568860430215,0.0,0.0,0.0
0.48703622275137565,0.0,0.0,0.0
0.49441555945972987,0.0,0.0,0.0
0.501794896168084,0.0,0.0,0.0
0.5091742328764381,0.0,0.0,0.0
0.5165535695847924,0.0,0.0,0.0
0.5239329062931466,0.0,4.680474952085639e-05,0.0
0.5313122430015007,0.0,0.0001256752389507269,0.0
0.5386915797098549,0.0,0.00020454572838059863,0.0
0.546070916418209,0.0,0.00028341621781046914,0.0
0.5534502531265633,0.0,0.00036228670724034086,0.0
0.5608295898349175,0.0,0.0004411571966702126,0.0
0.5682089265432716,0.0,0.000520027686100083,0.0
0.5755882632516258,0.0,0.0005988981755299548,0.0
0.5829675999599799,0.0,0.0006494998428709551,0.0
0.5903469366683342,0.0,0.0006916807681113033,0.0
0.5977262733766883,0.0,0.0007338616933516508,0.0
0.6051056100850425,0.0,0.0007760426185919989,0.0
0.6124849467933967,0.0,0.0008182235438323471,0.0
0.6198642835017508,0.0,0.0008604044690726946,0.0
0.627243620210105,0.0,0.0009025853943130427,0.0
0.6346229569184592,0.0,0.0009447663195533902,0.0
0.6420022936268134,0.0,0.0009869472447937384,0.0
0.6493816303351676,0.0,0.0010291281700340865,0.0
0.6567609670435217,0.0,0.001071309095274434,0.0
0.6641403037518759,0.0,0.0011134900205147821,0.0
0.67151964046023,0.0,0.0011556709457551297,0.0
0.6788989771685843,0.0,0.0011978518709954778,0.0
0.6862783138769384,0.0,0.0012400327962358254,0.0
