# composition,0.66LiF-0.34BeF2
# source,Yin, 2025
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Yin_2025_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,F-F,Li-F,Li-Li
0.0,0.0,0.0,0.0,0.0,0.0
0.0029826794747373686,0.0,0.0,0.0,0.0,0.0
0.005965358949474737,0.0,0.0,0.0,0.0,0.0
0.008948038424212105,0.0,0.0,0.0,0.0,0.0
0.011930717898949474,0.0,0.0,0.0,0.0,0.0
0.014913397373686844,0.0,0.0,0.0,0.0,0.0
0.01789607684842421,0.0,0.0,0.0,0.0,0.0
0.02087875632316158,0.0,0.0,0.0,0.0,0.0
0.02386143579789895,0.0,0.0,0.0,0.0,0.0
0.026844115272636318,0.0,0.0,0.0,0.0,0.0
0.029826794747373687,0.0,0.0,0.0,0.0,0.0
0.03280947422211106,0.0,0.0,0.0,0.0,0.0
0.03579215369684842,0.0,0.0,0.0,0.0,0.0
0.03877483317158579,0.0,0.0,0.0,0.0,0.0
0.04175751264632316,0.0,0.0,0.0,0.0,0.0
0.04474019212106053,0.0,0.0,0.0,0.0,0.0
0.0477228715957979,0.0,0.0,0.0,0.0,0.0
0.05070555107053527,0.0,0.0,0.0,0.0,0.0
0.053688230545272636,0.0,0.0,0.0,0.0,0.0
0.056670910020010005,0.0,0.0,0.0,0.0,0.0
0.059653589494747375,0.0,0.0,0.0,0.0,0.0
0.06263626896948474,0.0,0.0,0.0,0.0,0.0
0.06561894844422211,0.0,0.0,0.0,0.0,0.0
0.06860162791895948,0.0,0.0,0.0,0.0,0.0
0.07158430739369684,0.0,0.0,0.0,0.0,0.0
0.07456698686843422,0.0,0.0,0.0,0.0,0.0
0.07754966634317158,0.0,0.0,0.0,0.0,0.0
0.08053234581790895,0.0,0.0,0.0,0.0,0.0
0.08351502529264632,0.0,0.0,0.0,0.0,0.0
0.08649770476738369,0.0,0.0,0.0,0.0,0.0
0.08948038424212106,0.0,0.0,0.0,0.0,0.0
0.09246306371685843,0.0,0.0,0.0,0.0,0.0
0.0954457431915958,0.0,0.0,0.0,0.0,0.0
0.09842842266633316,0.0,0.0,0.0,0.0,0.0
0.10141110214107053,0.0,0.0,0.0,0.0,0.0
0.1043937816158079,0.0,0.0,0.0,0.0,0.0
0.10737646109054527,0.0,0.0,0.0,0.0,0.0
0.11035914056528263,0.0,0.0,0.0,0.0,0.0
0.11334182004002001,0.0,0.0,0.0,0.0,0.0
0.11632449951475737,0.0,0.0,0.0,0.0,0.0
0.11930717898949475,0.0,0.0,0.0,0.0,0.0
0.12228985846423211,0.0,0.0,0.0,0.0,0.0
0.12527253793896947,0.0,0.0,0.0,0.0,0.0
0.12825521741370685,0.0,0.0,0.0,0.0,0.0
0.13123789688844423,0.0,0.0,0.0,0.0,0.0
0.13422057636318158,0.0,0.0,0.0,0.0,0.0
0.13720325583791895,0.0,0.0,0.0,0.0,0.0
0.14018593531265633,0.0,0.0,0.0,0.0,0.0
0.14316861478739368,0.0,0.0,0.0,0.0,0.0
0.14615129426213105,0.0,0.0,0.0,0.0,0.0
0.14913397373686843,0.0,0.0,0.0,0.0,0.0
0.1521166532116058,0.0,0.0,0.0,0.0,0.0
0.15509933268634316,0.0,0.0,0.0,0.0,0.0
0.15808201216108053,0.0,0.0,0.0,0.0,0.0
0.1610646916358179,0.0,0.0,0.0,0.0,0.0
0.16404737111055528,0.0,0.0,0.0,0.0,0.0
0.16703005058529263,0.0,0.0,0.0,0.0,0.0
0.17001273006003,0.0,0.0,0.0,0.0,0.0
0.17299540953476739,0.0,0.0,0.0,0.0,0.0
0.17597808900950473,0.0,0.0,0.0,0.0,0.0
0.1789607684842421,0.0,0.0,0.0,0.0,0.0
0.1819434479589795,0.0,0.0,0.0,0.0,0.0
0.18492612743371686,0.0,0.0,0.0,0.0,0.0
0.1879088069084542,0.0,0.0,0.0,0.0,0.0
0.1908914863831916,0.0,0.0,0.0,0.0,0.0
0.19387416585792897,0.0,0.0,0.0,0.0,0.0
0.1968568453326663,0.0,0.0,0.0,0.0,0.0
0.1998395248074037,0.0,0.0,0.0,0.0,0.0
0.20282220428214107,0.0,0.0,0.0,0.0,0.0
0.20580488375687844,0.0,0.0,0.0,0.0,0.0
0.2087875632316158,0.0,0.0,0.0,0.0,0.0
0.21177024270635317,0.0,0.0,0.0,0.0,0.0
0.21475292218109054,0.0,0.0,0.0,0.0,0.0
0.2177356016558279,0.0,0.0,0.0,0.0,0.0
0.22071828113056527,0.0,0.0,0.0,0.0,0.0
0.22370096060530265,0.0,0.0,0.0,0.0,0.0
0.22668364008004002,0.0,0.0,0.0,0.0,0.0
0.22966631955477737,0.0,0.0,0.0,0.0,0.0
0.23264899902951475,0.0,0.0,0.0,0.0,0.0
0.23563167850425212,0.0,0.0,0.0,0.0,0.0
0.2386143579789895,0.0,0.0,0.0,0.0,0.0
0.24159703745372685,0.0,0.0,0.0,0.0,0.0
0.24457971692846422,0.0,0.0,0.0,0.0,0.0
0.2475623964032016,0.0,0.0,0.0,0.0,0.0
0.25054507587793895,0.0,0.0,0.0,0.0,0.0
0.25352775535267635,0.0,0.0,0.0,0.0,0.0
0.2565104348274137,0.0,0.0,0.0,0.0,0.0
0.25949311430215105,0.0,0.0,0.0,0.0,0.0
0.26247579377688846,0.0,0.0,0.0,0.0,0.0
0.2654584732516258,0.0,0.0,0.0,0.0,0.0
0.26844115272636315,0.0,0.0,0.0,0.0,0.0
0.27142383220110056,0.0,0.0,0.0,0.0,0.0
0.2744065116758379,0.0,0.0,0.0,0.0,0.0
0.27738919115057525,0.0,0.0,0.0,0.0,0.0
0.28037187062531266,0.0,0.0,0.0,0.0,0.0
0.28335455010005,0.0,0.0,0.0,0.0,0.0
0.28633722957478736,0.0,0.0,0.0,0.0,0.0
0.28931990904952476,0.0,0.0,0.0,0.0,0.0
0.2923025885242621,0.0,0.0,0.0,0.0,0.0
0.2952852679989995,0.0,0.0,0.0,0.0,0.0
0.29826794747373686,0.0,0.0,0.0,0.0,0.0
0.3012506269484742,0.0,0.0,0.0,0.0,0.0
0.3042333064232116,0.0,0.0,0.0,0.0,0.0
0.30721598589794896,0.0,0.0,0.0,0.0,0.0
0.3101986653726863,0.0,0.0,0.0,0.0,0.0
0.3131813448474237,0.0,0.0,0.0,0.0,0.0
0.31616402432216106,0.0,0.0,0.0,0.0,0.0
0.3191467037968984,0.0,0.0,0.0,0.0,0.0
0.3221293832716358,0.0,0.0,0.0,0.0,0.0
0.32511206274637316,0.0,0.0,0.0,0.0,0.0
0.32809474222111057,0.0,0.0,0.0,0.0,0.0
0.3310774216958479,0.0,0.0,0.0,0.0,0.0
0.33406010117058527,0.0,0.0,0.0,0.0,0.0
0.33704278064532267,0.0,0.0,0.0,0.0,0.0
0.34002546012006,0.0,0.0,0.0,0.0,0.0
0.34300813959479737,0.0,0.0,0.0,0.0,0.0
0.34599081906953477,0.0,0.0,0.0,0.0,0.0
0.3489734985442721,0.0,0.0,0.0,0.0,0.0
0.35195617801900947,0.0,0.0,0.0,0.0,0.0
0.3549388574937469,0.0,0.0,0.0,0.0,0.0
0.3579215369684842,0.0,0.0,0.0,0.0,0.0
0.36090421644322157,0.0,0.0,0.0,0.0,0.0
0.363886895917959,0.0,0.0,0.0,0.0,0.0
0.3668695753926963,0.0,0.0,0.0,0.0,0.0
0.3698522548674337,0.0,0.0,0.0,0.0,0.0
0.3728349343421711,0.0,0.0,0.0,0.0,0.0
0.3758176138169084,0.0,0.0,0.0,0.0,0.0
0.37880029329164583,0.0,0.0,0.0,0.0,0.0
0.3817829727663832,0.0,0.0,0.0,0.0,0.0
0.3847656522411205,0.0,0.0,0.0,0.0,0.0
0.38774833171585793,0.0,0.0,0.0,0.0,0.0
0.3907310111905953,0.0,0.0,0.0,0.0,0.0
0.3937136906653326,0.0,0.0,0.0,0.0,0.0
0.39669637014007003,0.0,0.0,0.0,0.0,0.0
0.3996790496148074,0.0,0.0,0.0,0.0,0.0
0.4026617290895448,0.0,0.0,0.0,0.0,0.0
0.40564440856428213,0.0,0.0,0.0,0.0,0.0
0.4086270880390195,0.0,0.0,0.0,0.0,0.0
0.4116097675137569,0.0,0.0,0.0,0.0,0.0
0.41459244698849423,0.0,0.0,0.0,0.0,0.0
0.4175751264632316,0.0,0.0,0.0,0.0,0.0
0.420557805937969,0.0,0.0,0.0,0.0,0.0
0.42354048541270634,0.0,0.0,0.0,0.0,0.0
0.4265231648874437,0.0,0.0,0.0,0.0,0.0
0.4295058443621811,0.0,0.0,0.0,0.0,0.0
0.43248852383691844,0.0,0.0,0.0,0.0,0.0
0.4354712033116558,0.0,0.0,0.0,0.0,0.0
0.4384538827863932,0.0,0.0,0.0,0.0,0.0
0.44143656226113054,0.0,0.0,0.0,0.0,0.0
0.44441924173586794,0.0,0.0,0.0,0.0,0.0
0.4474019212106053,0.0,0.0,0.0,0.0,0.0
0.45038460068534264,0.0,0.0,0.0,0.0,0.0
0.45336728016008004,0.0,0.0,0.0,0.0,0.0
