# composition,1.0MgCl2
# source,Roy, 2021
# temperature_K,1073
# raw_file,MgCl2_Roy_2021_1073.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Mg-Cl,Mg-Mg
0.0,0.0,0.0,0.0
0.0054653987993997,0.0,0.0,0.0
0.0109307975987994,0.0,0.0,0.0
0.0163961963981991,0.0,0.0,0.0
0.0218615951975988,0.0,0.0,0.0
0.0273269939969985,0.0,0.0,0.0
0.0327923927963982,0.0,0.0,0.0
0.038257791595797896,0.0,0.0,0.0
0.0437231903951976,0.0,0.0,0.0
0.0491885891945973,0.0,0.0,0.0
0.054653987993997,0.0,0.0,0.0
0.0601193867933967,0.0,0.0,0.0
0.0655847855927964,0.0,0.0,0.0
0.0710501843921961,0.0,0.0,0.0
0.07651558319159579,0.0,0.0,0.0
0.0819809819909955,0.0,0.0,0.0
0.0874463807903952,0.0,0.0,0.0
0.0929117795897949,0.0,0.0,0.0
0.0983771783891946,0.0,0.0,0.0
0.1038425771885943,0.0,0.0,0.0
0.109307975987994,0.0,0.0,0.0
0.1147733747873937,0.0,0.0,0.0
0.1202387735867934,0.0,0.0,0.0
0.1257041723861931,0.0,0.0,0.0
0.1311695711855928,0.0,0.0,0.0
0.1366349699849925,0.0,0.0,0.0
0.1421003687843922,0.0,0.0,0.0
0.1475657675837919,0.0,0.0,0.0
0.15303116638319159,0.0,0.0,0.0
0.1584965651825913,0.0,0.0,0.0
0.163961963981991,0.0,0.0,0.0
0.1694273627813907,0.0,0.0,0.0
0.1748927615807904,0.0,0.0,0.0
0.1803581603801901,0.0,0.0,0.0
0.1858235591795898,0.0,0.0,0.0
0.19128895797898948,0.0,0.0,0.0
0.1967543567783892,0.0,0.0,0.0
0.2022197555777889,0.0,0.0,0.0
0.2076851543771886,0.0,0.0,0.0
0.2131505531765883,0.0,0.0,0.0
0.218615951975988,0.0,0.0,0.0
0.22408135077538768,0.0,0.0,0.0
0.2295467495747874,0.0,0.0,0.0
0.2350121483741871,0.0,0.0,0.0
0.2404775471735868,0.0,0.0,0.0
0.2459429459729865,0.0,0.0,0.0
0.2514083447723862,0.0,0.0,0.0
0.2568737435717859,0.0,0.0,0.0
0.2623391423711856,0.0,0.0,0.0
0.2678045411705853,0.0,0.0,0.0
0.273269939969985,0.0,0.0,0.0
0.27873533876938467,0.0,0.0,0.0
0.2842007375687844,0.0,0.0,0.0
0.2896661363681841,0.0,0.0,0.0
0.2951315351675838,0.0,0.0,0.0
0.3005969339669835,0.0,0.0,0.0
0.30606233276638317,0.0,0.0,0.0
0.3115277315657829,0.0,0.0,0.0
0.3169931303651826,0.0,0.0,0.0
0.3224585291645823,0.0,0.0,0.0
0.327923927963982,0.0,0.0,0.0
0.3333893267633817,0.0,0.0,0.0
0.3388547255627814,0.0,0.0,0.0
0.34432012436218107,0.0,0.0,0.0
0.3497855231615808,0.0,0.0,0.0
0.3552509219609805,0.0,0.0,0.0
0.3607163207603802,0.0,0.0,0.0
0.3661817195597799,0.0,0.0,0.0
0.3716471183591796,0.0,0.0,0.0
0.3771125171585793,0.0,0.0,0.0
0.38257791595797896,0.0,0.0,0.0
0.3880433147573787,0.0,0.0,0.0
0.3935087135567784,0.0,0.0,0.0
0.3989741123561781,0.0,0.0,0.0
0.4044395111555778,0.0,0.0,0.0
0.40990490995497747,0.0,0.0,0.0
0.4153703087543772,0.0,0.0,0.0
0.4208357075537769,0.0,0.0,0.0
0.4263011063531766,0.0,0.0,0.0
0.4317665051525763,0.0,0.0,0.0
0.437231903951976,0.0,0.0,0.0
0.4426973027513757,0.0,0.0,0.0
0.44816270155077537,0.0,0.0,0.0
0.4536281003501751,0.0,0.0,0.0
0.4590934991495748,0.0,0.0,0.0
0.4645588979489745,0.0,0.0,0.0
0.4700242967483742,0.0,0.0,0.0
0.47548969554777387,0.0,0.0,0.0
0.4809550943471736,0.0,0.0,0.0
0.48642049314657326,0.0,0.0,0.0
0.491885891945973,0.0,0.0,0.0
0.4973512907453727,0.0,0.0,0.0
0.5028166895447724,0.0,0.0,0.0
0.5082820883441721,0.0,0.0,0.0
0.5137474871435718,0.0,0.0,0.0
0.5192128859429714,0.0,0.0,0.0
0.5246782847423712,0.0,0.0,0.0
0.5301436835417709,0.0,0.0,0.0
0.5356090823411706,0.0,0.0,0.0
0.5410744811405703,0.0,0.0,0.0
0.54653987993997,0.0,0.0,0.0
0.5520052787393697,0.0,0.0,0.0
0.5574706775387693,0.0,0.0,0.0
0.5629360763381691,0.0,0.0,0.0
