# composition,1.0LiCl
# source,Walz, 2019
# temperature_K,878
# raw_file,LiCl_Walz_2019_878.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Li-Cl,Li-Li
0.0,0.0,0.0,0.0
0.006973550170085043,0.0,0.0,0.0
0.013947100340170085,0.0,0.0,0.0
0.02092065051025513,0.0,0.0,0.0
0.02789420068034017,0.0,0.0,0.0
0.03486775085042521,0.0,0.0,0.0
0.04184130102051026,0.0,0.0,0.0
0.048814851190595296,0.0,0.0,0.0
0.05578840136068034,0.0,0.0,0.0
0.06276195153076539,0.0,0.0,0.0
0.06973550170085042,0.0,0.0,0.0
0.07670905187093546,0.0,0.0,0.0
0.08368260204102052,0.0,0.0,0.0
0.09065615221110555,0.0,0.0,0.0
0.09762970238119059,0.0,0.0,0.0
0.10460325255127564,0.0,0.0,0.0
0.11157680272136068,0.0,0.0,0.0
0.11855035289144572,0.0,0.0,0.0
0.12552390306153077,0.0,0.0,0.0
0.1324974532316158,0.0,0.0,0.0
0.13947100340170085,0.0,0.0,0.0
0.1464445535717859,0.0,0.0,0.0
0.15341810374187093,0.0,0.0,0.0
0.16039165391195598,0.0,0.0,0.0
0.16736520408204103,0.0,0.0,0.0
0.17433875425212605,0.0,0.0,0.0
0.1813123044222111,0.0,0.0,0.0
0.18828585459229616,0.0,0.0,0.0
0.19525940476238118,0.0,0.0,0.0
0.20223295493246624,0.0,0.0,0.0
0.2092065051025513,0.0,0.0,0.0
0.2161800552726363,0.0,0.0,0.0
0.22315360544272136,0.0,0.0,0.0
0.23012715561280642,0.0,0.0,0.0
0.23710070578289144,0.0,0.0,0.0
0.2440742559529765,0.0,0.0,0.0
0.25104780612306155,0.0,0.0,0.0
0.2580213562931466,0.0,0.0,0.0
0.2649949064632316,0.0,0.0,0.0
0.27196845663331665,0.0,0.0,0.0
0.2789420068034017,0.0,0.0,0.0
0.28591555697348675,0.0,0.0,0.0
0.2928891071435718,0.0,0.0,0.0
0.29986265731365686,0.0,0.0,0.0
0.30683620748374185,0.0,0.0,0.0
0.3138097576538269,0.0,0.0,0.0
0.32078330782391196,0.0,0.0,0.0
0.327756857993997,0.0,0.0,0.0
0.33473040816408206,0.0,0.0,0.0
0.3417039583341671,0.0,0.0,0.0
0.3486775085042521,0.0,0.0,0.0
0.35565105867433716,0.0,0.0,0.0
0.3626246088444222,0.0,0.0,0.0
0.36959815901450727,0.0,0.0,0.0
0.3765717091845923,0.0,0.0,0.0
0.38354525935467737,0.0,0.0,0.0
0.39051880952476237,0.0,0.0,0.0
0.3974923596948474,0.0,0.0,0.0
0.40446590986493247,0.0,0.0,0.0
0.4114394600350175,0.0,0.0,0.0
0.4184130102051026,0.0,0.0,0.0
0.42538656037518763,0.0,0.0,0.0
0.4323601105452726,0.0,0.0,0.0
0.4393336607153577,0.0,0.0,0.0
0.44630721088544273,0.0,0.0,0.0
0.4532807610555278,0.0,0.0,0.0
0.46025431122561283,0.0,0.0,0.0
0.46722786139569783,0.0,0.0,0.0
0.4742014115657829,0.0,0.0,0.0
0.48117496173586793,0.0,0.0,0.0
0.488148511905953,0.0,0.0,0.0
0.49512206207603804,0.0,0.0,0.0
0.5020956122461231,0.0,0.0,0.0
0.5090691624162081,0.0,0.0,0.0
0.5160427125862932,0.0,0.0,0.0
0.5230162627563782,0.0,0.0,0.0
0.5299898129264632,0.0,0.0,0.0
0.5369633630965482,0.0,0.0,0.0
0.5439369132666333,0.0,0.0,0.0
0.5509104634367183,0.0,0.0,0.0
0.5578840136068034,0.0,0.0,0.0
0.5648575637768884,0.0,0.0,0.0
0.5718311139469735,0.0,0.0,0.0
0.5788046641170586,0.0,0.0,0.0
0.5857782142871436,0.0,0.0,0.0
0.5927517644572287,0.0,0.0,0.0
0.5997253146273137,0.0,0.0,0.0
