Composition,Source,Temperature (K),Avg SCL_1 (A),Avg SCL_0 (A),Avg SCL_Lc (A),Avg SCL_Lq (A),Avg SCL_Oa (A),Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_1 (A),Pair 1 SCL_0 (A),Pair 1 SCL_Lc (A),Pair 1 SCL_Lq (A),Pair 1 SCL_Oa (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A^2),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH_1,Pair 1 b_PH_0,Pair 1 b_PH_Lc,Pair 1 b_PH_Lq,Pair 1 b_PH_Oa,Pair 2 Label,Pair 2 SCL_1 (A),Pair 2 SCL_0 (A),Pair 2 SCL_Lc (A),Pair 2 SCL_Lq (A),Pair 2 SCL_Oa (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A^2),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH_1,Pair 2 b_PH_0,Pair 2 b_PH_Lc,Pair 2 b_PH_Lq,Pair 2 b_PH_Oa,Pair 3 Label,Pair 3 SCL_1 (A),Pair 3 SCL_0 (A),Pair 3 SCL_Lc (A),Pair 3 SCL_Lq (A),Pair 3 SCL_Oa (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A^2),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH_1,Pair 3 b_PH_0,Pair 3 b_PH_Lc,Pair 3 b_PH_Lq,Pair 3 b_PH_Oa,Pair 4 Label,Pair 4 SCL_1 (A),Pair 4 SCL_0 (A),Pair 4 SCL_Lc (A),Pair 4 SCL_Lq (A),Pair 4 SCL_Oa (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A^2),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH_1,Pair 4 b_PH_0,Pair 4 b_PH_Lc,Pair 4 b_PH_Lq,Pair 4 b_PH_Oa,Pair 5 Label,Pair 5 SCL_1 (A),Pair 5 SCL_0 (A),Pair 5 SCL_Lc (A),Pair 5 SCL_Lq (A),Pair 5 SCL_Oa (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A^2),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH_1,Pair 5 b_PH_0,Pair 5 b_PH_Lc,Pair 5 b_PH_Lq,Pair 5 b_PH_Oa,Pair 6 Label,Pair 6 SCL_1 (A),Pair 6 SCL_0 (A),Pair 6 SCL_Lc (A),Pair 6 SCL_Lq (A),Pair 6 SCL_Oa (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A^2),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH_1,Pair 6 b_PH_0,Pair 6 b_PH_Lc,Pair 6 b_PH_Lq,Pair 6 b_PH_Oa
1.0LiCl,"Walz, 2019",878,4.26876,4.26876,4.26876,4.26876,4.26876,4.10511,3.99,Li-Cl,4.26876,4.26876,4.26876,4.26876,4.26876,2.37101,1.32677,3.67506,0.14962,3.64717,0.50848,-10.08404,154.4734,5.8038,51.59061,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.52002,4.52002,4.52002,4.52002,4.52002,4.48028,0.89,Na-Cl,4.52002,4.52002,4.52002,4.52002,4.52002,2.6622,1.26349,4.19256,0.15891,4.11285,0.53377,-13.29471,176.03131,13.94577,35.52825,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walz, 2019",1043,4.96118,4.96118,4.96118,4.96118,4.96118,4.47675,10.82,K-Cl,4.96118,4.96118,4.96118,4.96118,4.96118,2.93357,1.38697,4.59394,0.15377,4.4897,0.47218,-12.36395,153.23877,18.59244,28.70887,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walker, 2026",1043,4.92433,4.92433,4.92433,4.92433,4.92433,4.47675,10,K-Cl,4.92433,4.92433,4.92433,4.92433,4.92433,3.07034,1.1793,4.75222,0.15566,4.5374,0.55092,-10.95731,87.17305,18.59244,21.65324,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Roy, 2021",1073,4.53833,4.53833,4.53833,4.53833,4.53833,4.76796,-4.82,Mg-Cl,4.53833,4.53833,4.53833,4.53833,4.53833,2.43757,1.71525,3.43774,0.10237,4.13184,0.23898,-15.99007,315.6949,14.41908,46.79129,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Walker, 2026",987,4.55681,4.55681,4.55681,4.55681,4.55681,4.76796,-4.43,Mg-Cl,4.55681,4.55681,4.55681,4.55681,4.55681,2.38397,1.96978,3.33232,0.07777,4.07109,0.24159,-15.84391,372.51974,14.41908,50.82833,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0CaCl2,"Bu, 2021",1100,4.75167,4.75167,4.75167,4.75167,4.75167,7.72598,-38.5,Ca-Cl,4.75167,4.75167,4.75167,4.75167,4.75167,2.70371,1.31894,3.95616,0.12393,4.53766,0.26751,-13.98951,224.00786,18.8111,34.50837,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0SrCl2,"McGreevy, 1987",1198,4.58459,4.58459,4.58459,4.58459,4.58459,6.408743,-28.46,Sr-Cl,4.58459,4.58459,4.58459,4.58459,4.58459,2.90019,0.91166,3.88504,0.14444,5.73926,0.16784,-11.55714,89.21377,25.23872,18.80106,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",1473,2.28732,3.78401,3.78401,3.78401,3.78401,2.63857,-13.31,Li-F,2.32172,4.04963,4.04963,4.04963,4.04963,1.81931,0.88914,2.93737,0.09569,0,0,-17.25091,366.70622,5.08315,84.93613,0.4,0,0,0,0,Na-F,2.23571,3.38557,3.38557,3.38557,3.38557,2.19106,0.39081,3.37671,0.08474,0,0,-12.14897,223.92575,10.40219,46.39697,0.6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2024",973,2.09071,3.10652,3.10652,3.10652,3.10652,1.90187,9.93,Be-F,1.6236,3.09163,3.09163,3.09163,3.09163,1.54691,1.30236,2.32285,0.0012,2.95953,0.03108,-19.53051,994.62917,6.11258,127.56107,0.66,0,0,0,0,Li-F,2.33134,3.11419,3.11419,3.11419,3.11419,1.84038,0.75482,2.69093,0.12812,4.29753,0.12649,-9.75176,272.97557,5.08315,73.28165,0.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Yin, 2025",973,2.09946,3.13401,3.13401,3.13401,3.13401,1.90187,10.39,Be-F,1.62745,3.13033,3.13033,3.13033,3.13033,1.55099,1.12589,2.47264,2.00E-05,2.95882,0.0228,-18.35259,971.47126,6.11258,126.06732,0.66,0,0,0,0,Li-F,2.34262,3.1359,3.1359,3.1359,3.1359,1.85821,0.75434,2.77389,0.13228,3.21533,0.1662,-9.74665,256.53397,5.08315,71.04046,0.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32MgCl2-0.68KCl,"Walker, 2026",723,3.14035,4.74091,4.74091,4.74091,4.74091,3.91988,-19.89,K-Cl,3.51109,4.81103,4.81103,4.81103,4.81103,3.12274,0.75542,4.69459,0.12318,4.75222,0.20824,-7.05899,62.80924,18.59244,18.37992,0.32,0,0,0,0,Mg-Cl,2.35254,4.59192,4.59192,4.59192,4.59192,2.33681,1.17805,3.33232,0.01767,7.37721,0.03797,-14.26127,427.48546,14.41908,54.44925,0.68,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Manga, 2014",1100,2.88843,4.60361,4.60361,4.60361,4.60361,4.32778,-33.26,K-Cl,3.04843,4.62094,4.62094,4.62094,4.62094,2.96275,0.61096,4.57563,0.09819,4.67985,0.1451,-11.08502,105.80056,18.59244,23.8548,0.5,0,0,0,0,Na-Cl,2.72842,4.58629,4.58629,4.58629,4.58629,2.57565,0.85239,4.14884,0.07525,4.18854,0.15762,-14.13081,163.59224,13.94577,34.24997,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Walker, 2026",1100,2.96058,4.52666,4.52666,4.52666,4.52666,4.32778,-31.59,K-Cl,3.13838,4.53646,4.53646,4.53646,4.53646,3.07034,0.56922,4.64743,0.09636,4.5898,0.14384,-10.43791,86.26022,18.59244,21.53957,0.5,0,0,0,0,Na-Cl,2.78277,4.51685,4.51685,4.51685,4.51685,2.65118,0.75273,4.22827,0.08511,3.9663,0.15392,-12.99359,143.44397,13.94577,32.07155,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6NaCl-0.4KCl,"Walker, 2026",1100,3.01011,4.43564,4.43564,4.43564,4.43564,4.32778,-30.45,K-Cl,3.08348,4.38451,4.38451,4.38451,4.38451,3.07034,0.44261,4.69983,0.07811,4.85177,0.07969,-10.21109,85.44396,18.59244,21.43742,0.6,0,0,0,0,Na-Cl,2.9612,4.46973,4.46973,4.46973,4.46973,2.65118,0.86883,4.28067,0.10422,4.01869,0.21336,-12.6712,142.22346,13.94577,31.93482,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3NaCl-0.7KCl,"Walker, 2026",1100,3.23666,4.61065,4.61065,4.61065,4.61065,4.32778,-25.21,K-Cl,3.48588,4.62059,4.62059,4.62059,4.62059,3.07034,0.82015,4.75222,0.12771,4.49025,0.27928,-10.83287,87.72271,18.59244,21.7214,0.3,0,0,0,0,Na-Cl,2.65517,4.58745,4.58745,4.58745,4.58745,2.65118,0.46945,4.22827,0.04791,4.01345,0.05737,-13.4795,148.76356,13.94577,32.66082,0.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,2.81677,4.61647,4.61647,4.61647,4.61647,3.76913,-25.27,Ca-Cl,2.85867,5.11917,5.11917,5.11917,5.11917,2.67223,0.4782,3.92275,0.01598,4.70432,0.13917,-8.82043,207.05669,18.8111,33.17703,0.4903,0,0,0,0,Na-Cl,2.77323,4.09388,4.09388,4.09388,4.09388,2.68712,0.47761,4.13861,0.09189,4.27259,0.0862,-9.14005,116.69374,13.94577,28.92695,0.5097,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.465LiF-0.115NaF-0.42KF,"Frandsen, 2020",873,2.34017,3.73138,3.73138,3.73138,3.73138,2.26059,3.52,K-F,2.68131,3.86343,3.86343,3.86343,3.86343,2.65008,0.45459,3.8528,0.09233,3.84872,0.11762,-7.79186,101.53742,12.78567,28.18067,0.58,0,0,0,0,Li-F,2.05422,3.56756,3.56756,3.56756,3.56756,1.85098,1.06329,2.84985,0.044,2.84985,0.14054,-13.22081,255.83124,5.08315,70.94309,0.535,0,0,0,0,Na-F,2.25053,3.91153,3.91153,3.91153,3.91153,2.25053,0.17568,3.35133,0.02051,3.44917,0.01016,-10.29318,175.21106,10.40219,41.04104,0.885,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",1073,2.56884,4.03041,4.03041,4.03041,4.03041,3.92263,-34.51,K-F,2.81056,4.04058,4.04058,4.04058,4.04058,2.56096,0.66201,3.77029,0.11679,0,0,-10.07095,127.30474,12.78567,31.55444,0.41,0,0,0,0,Mg-F,1.95036,3.87542,3.87542,3.87542,3.87542,1.95036,0.27009,3.03817,0.00331,3.4561,0.00572,-21.75103,530.56908,10.66328,70.5384,0.935,0,0,0,0,Na-F,2.27198,4.04222,4.04222,4.04222,4.04222,2.24676,0.56475,3.50353,0.05125,0,0,-13.4404,205.50585,10.40219,44.44774,0.655,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Jiang, 2024",750,2.77881,4.37236,4.37236,4.37236,4.37236,3.65358,-23.94,K-Cl,3.13614,4.09112,4.09112,4.09112,4.09112,3.12538,0.40984,4.544,0.11184,4.92081,0.06462,-6.57537,68.53015,18.59244,19.19874,0.59,0,0,0,0,Mg-Cl,2.41813,4.59498,4.59498,4.59498,4.59498,2.37174,1.29776,3.50959,0.03444,3.69431,0.04213,-14.23684,432.04231,14.41908,54.73868,0.62,0,0,0,0,Na-Cl,2.73385,4.51861,4.51861,4.51861,4.51861,2.73379,0.29142,4.10068,0.03932,4.30756,0.01727,-8.62117,106.50557,13.94577,27.63535,0.79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Walker, 2026",660,2.81096,4.69433,4.69433,4.69433,4.69433,3.65358,-23.06,K-Cl,3.19205,4.80707,4.80707,4.80707,4.80707,3.17513,0.44591,4.69983,0.07659,4.80462,0.073,-6.24918,55.40453,18.59244,17.26253,0.59,0,0,0,0,Mg-Cl,2.43014,4.64144,4.64144,4.64144,4.64144,2.38397,1.19066,3.28516,0.02662,3.80387,0.04067,-12.05579,327.08894,14.41908,47.62819,0.62,0,0,0,0,Na-Cl,2.75603,4.56994,4.56994,4.56994,4.56994,2.75597,0.28161,4.22303,0.03704,4.17588,0.01971,-7.39857,88.88804,13.94577,25.24646,0.79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
