Composition,Source,Temperature (K),Avg SCL_1 (A),Avg SCL_0 (A),Avg SCL_Lc (A),Avg SCL_Lq (A),Avg SCL_Oa (A),Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_1 (A),Pair 1 SCL_0 (A),Pair 1 SCL_Lc (A),Pair 1 SCL_Lq (A),Pair 1 SCL_Oa (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A^2),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH_1,Pair 1 b_PH_0,Pair 1 b_PH_Lc,Pair 1 b_PH_Lq,Pair 1 b_PH_Oa,Pair 2 Label,Pair 2 SCL_1 (A),Pair 2 SCL_0 (A),Pair 2 SCL_Lc (A),Pair 2 SCL_Lq (A),Pair 2 SCL_Oa (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A^2),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH_1,Pair 2 b_PH_0,Pair 2 b_PH_Lc,Pair 2 b_PH_Lq,Pair 2 b_PH_Oa,Pair 3 Label,Pair 3 SCL_1 (A),Pair 3 SCL_0 (A),Pair 3 SCL_Lc (A),Pair 3 SCL_Lq (A),Pair 3 SCL_Oa (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A^2),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH_1,Pair 3 b_PH_0,Pair 3 b_PH_Lc,Pair 3 b_PH_Lq,Pair 3 b_PH_Oa,Pair 4 Label,Pair 4 SCL_1 (A),Pair 4 SCL_0 (A),Pair 4 SCL_Lc (A),Pair 4 SCL_Lq (A),Pair 4 SCL_Oa (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A^2),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH_1,Pair 4 b_PH_0,Pair 4 b_PH_Lc,Pair 4 b_PH_Lq,Pair 4 b_PH_Oa,Pair 5 Label,Pair 5 SCL_1 (A),Pair 5 SCL_0 (A),Pair 5 SCL_Lc (A),Pair 5 SCL_Lq (A),Pair 5 SCL_Oa (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A^2),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH_1,Pair 5 b_PH_0,Pair 5 b_PH_Lc,Pair 5 b_PH_Lq,Pair 5 b_PH_Oa,Pair 6 Label,Pair 6 SCL_1 (A),Pair 6 SCL_0 (A),Pair 6 SCL_Lc (A),Pair 6 SCL_Lq (A),Pair 6 SCL_Oa (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A^2),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH_1,Pair 6 b_PH_0,Pair 6 b_PH_Lc,Pair 6 b_PH_Lq,Pair 6 b_PH_Oa
1.0LiCl,"Li7Numbers, 2026",900,3.96526,3.96526,3.96526,3.96526,3.96526,4.10511,-3.41,Li-Cl,3.96526,3.96526,3.96526,3.96526,3.96526,2.33681,1.33867,3.5419,0.16933,3.9139,0.46715,-10.40356,169.73457,5.8038,54.07904,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Li6Numbers, 2026",900,3.96588,3.96588,3.96588,3.96588,3.96588,4.10511,-3.39,Li-Cl,3.96588,3.96588,3.96588,3.96588,3.96588,2.33681,1.34037,3.5419,0.16961,3.9139,0.46693,-10.41303,170.02143,5.8038,54.12472,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32MgCl2-0.68KCl,"Numbers, 2026",703,3.15782,4.80927,3.67582,3.68536,4.57497,3.91988,-19.44,K-Cl,3.53676,4.90946,4.04208,4.04989,4.73298,3.12798,0.7755,4.69983,0.11747,4.75222,0.21128,-7.017,62.99234,18.59244,18.40669,0.32,0,0.17581,0.17396,0.03227,Mg-Cl,2.35257,4.59635,2.89752,2.91073,4.23918,2.33681,1.17023,3.38471,0.0166,3.75672,0.02193,-13.82784,422.784,14.41908,54.149,0.68,0,0.3736,0.36966,0.06858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Numbers, 2026",950,2.96739,4.64772,4.42561,4.42624,4.59525,4.32778,-31.43,K-Cl,3.14506,4.68036,4.46511,4.46572,4.62932,3.07034,0.5932,4.69983,0.08951,4.49025,0.14424,-9.34046,81.52269,18.59244,20.93973,0.5,0,0.04465,0.04452,0.01038,Na-Cl,2.78972,4.61508,4.38611,4.38676,4.56118,2.65118,0.78026,4.22827,0.07786,3.96106,0.15438,-11.50551,136.75566,13.94577,31.31493,0.5,0,0.04465,0.04452,0.01038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,"Numbers, 2026",855,2.70562,4.43028,3.75,3.75575,4.32903,3.52027,-23.14,Ca-Cl,2.70358,5.02384,4.28058,4.28646,4.90701,2.70358,0.28343,3.90866,0.01517,4.38546,0.00959,-12.20318,209.5775,18.8111,33.37837,0.85,0,0.12498,0.12392,0.01875,Mg-Cl,2.40135,4.58061,3.52936,3.53843,4.43169,2.38921,0.78094,3.38471,0.02726,3.9663,0.02942,-14.13395,330.72462,14.41908,47.89216,0.685,0,0.21474,0.21269,0.02861,Na-Cl,2.88533,4.17536,3.73116,3.73491,4.10655,2.75597,0.56222,4.12348,0.10885,4.33306,0.10135,-8.03243,91.98008,13.94577,25.68181,0.465,0,0.11987,0.11879,0.01771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Numbers, 2026",800,2.83881,4.6682,4.44,4.44153,4.62211,3.76913,-24.68,Ca-Cl,2.87995,5.07982,4.80786,4.80968,5.02491,2.70358,1.00261,3.85627,0.04569,4.49025,0.10513,-11.82206,217.98116,18.8111,34.041,0.4903,0,0.04302,0.04273,0.00857,Na-Cl,2.79605,4.24029,4.05758,4.05881,4.20338,2.70358,0.53222,4.22827,0.09194,4.22827,0.08734,-7.86765,103.39996,13.94577,27.22946,0.5097,0,0.04472,0.04442,0.00891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Numbers, 2026",680,2.8108,4.67098,3.56098,3.57195,4.42539,3.65358,-23.07,K-Cl,3.19158,4.7616,3.84269,3.85105,4.53028,3.17513,0.44112,4.69983,0.0783,4.85701,0.07215,-6.37751,56.78731,18.59244,17.47662,0.59,0,0.21423,0.2118,0.04729,Mg-Cl,2.43024,4.64613,3.19938,3.21416,4.34263,2.38397,1.19577,3.38471,0.02574,3.80387,0.04156,-12.4453,331.86905,14.41908,47.97495,0.62,0,0.29973,0.29601,0.05699,Na-Cl,2.75603,4.53902,3.66533,3.67447,4.37039,2.75597,0.27946,4.22303,0.0381,4.22827,0.0223,-7.5795,90.32241,13.94577,25.44934,0.79,0,0.19635,0.194,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiF,"Walz, 2019",1121,3.43493,3.43493,3.43493,3.43493,3.43493,3.28553,4.55,Li-F,3.43493,3.43493,3.43493,3.43493,3.43493,1.87565,1.24124,2.79035,0.15585,2.80577,0.55566,-12.25391,261.5903,5.08315,71.73716,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.9007,3.9007,3.9007,3.9007,3.9007,5.22361,-25.33,Na-F,3.9007,3.9007,3.9007,3.9007,3.9007,2.16571,1.31205,3.40781,0.15615,3.27405,0.52188,-14.42292,255.19356,10.40219,49.53047,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.36137,4.36137,4.36137,4.36137,4.36137,4.63533,-5.91,K-F,4.36137,4.36137,4.36137,4.36137,4.36137,2.48153,1.31757,3.91232,0.15978,3.77818,0.55944,-12.92438,174.9183,12.78567,36.98758,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
