Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z
0,8916.895277556101,0.00010956295,-0.00011439994,-0.0003383168,-5.378862105053477,-3.333717821460655,-7.250003533069414,19.056573256919002,16.024801277876563,-0.6772653014133656,-9.65673853892406,1.5250756842166453,-7.538933319362356
5,8916.895277556101,2.4769464e-05,3.121384e-05,-0.00020010257,-5.195003148334527,-0.4865560441576855,-6.60016758509564,19.38919281136223,12.619827751063882,0.13591151819017988,-10.17321698119816,2.08288720638906,-9.001946062428786
10,8916.895277556101,-0.00012360245,0.00020778661,-8.385954e-05,-4.825370601108025,1.8387195686217976,-5.491374906409783,19.537911337705374,9.68548798746495,0.4408367740204878,-10.69156792048637,2.6919517709199123,-10.415663870047709
15,8916.895277556101,-0.00026268052,0.0003710356,-2.660293e-05,-3.914559681847769,3.1468318385759053,-4.313180542764622,19.126532737747397,7.7078217927889785,0.6040587841660345,-11.191000495096553,3.361505701223578,-11.75708032295718
20,8916.895277556101,-0.00032860026,0.00048101222,-3.4882705e-05,-2.5346254527455505,3.1844419267526387,-3.460134236937756,18.185852756830712,6.929731154905982,0.9897167157257991,-11.630254831533993,4.101986249940312,-12.995784773853144
25,8916.895277556101,-0.00030873553,0.0004990226,-7.245479e-05,-1.04378297023026,1.9748993497723273,-3.0831719490914997,17.01591199558934,7.321807132863556,1.7164084698149873,-11.951157167398952,4.919452950273479,-14.099438970339023
30,8916.895277556101,-0.00023297363,0.0003913761,-8.9048655e-05,0.14994747718561396,-0.25292703595738675,-3.094390621578803,15.962463936866335,8.656908633832005,2.666182202838889,-12.091439502857277,5.812178211783829,-15.037993898686025
35,8916.895277556101,-0.0001382817,0.00014335522,-7.229877e-05,0.7381896922900149,-3.205370386878771,-3.29806189419005,15.284226092382237,10.652540124613315,3.6177573668381147,-12.001443844017224,6.768990208429971,-15.78589790052304
40,8916.895277556101,-4.053095e-05,-0.00022685059,-5.612743e-05,0.5056802308620343,-6.592534398823832,-3.471157714079617,15.171814054312204,13.041427637284173,4.328116740351825,-11.656522623282978,7.767267055295312,-16.323161872676632
45,8916.895277556101,6.3962754e-05,-0.0006494991,-7.2555566e-05,-0.6620805313930225,-10.116074900073787,-3.45092268799899,15.743705143462297,15.561441702789338,4.620879070799483,-11.060652675010378,8.770793789221573,-16.636159218503806
