formula,molecularWeight,comp,melt,melt_unc,melt_ref,boil,boil_unc,boil_ref,rho_a,rho_b,rho_range,rho_unc,rho_ref,mu_a,mu_b,mu_a2,mu_b2,mu_c,mu_range,mu_unc,mu_ref,k_a,k_b,k_range,k_unc,k_ref,cp_a,cp_b,cp_c,cp_d,cp_unc,cp_ref,sigma_a,sigma_b,sigma_range,sigma_unc,sigma_ref
BeF2-LiF-ThF4,----,0.5-0.25-0.25,980,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,339.50,0.14,2260.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.6-0.2-0.2,850,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,353.80,0.16,2240.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.1-0.36-0.54,1177,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,397.60,0.15,2440.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.2-0.32-0.48,1183,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,374.10,0.14,2440.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.3-0.28-0.42,1170,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,361.00,0.14,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.4-0.24-0.36,1134,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,353.00,0.14,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.5-0.2-0.3,1066,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,335.40,0.14,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.6-0.16-0.24,973,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,351.50,0.15,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.1-0.225-0.675,1256,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,409.10,0.16,2540.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.2-0.2-0.6,1245,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,396.00,0.16,2520.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.3-0.175-0.525,1224,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,376.90,0.15,2440.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.4-0.15-0.45,1188,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,353.50,0.14,2420.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.5-0.125-0.375,1135,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,338.90,0.13,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.6-0.1-0.3,1071,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,338.80,0.14,2340.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4,----,0.7-0.075-0.225,998,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,358.50,0.15,2290.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Surface Tension of Molten Mixtures of Fluorides of Lithium, Beryllium, and Thorium"" Soviet Atomic Energy, vol. 57, no. 6, pp. 853-854 (1984)"
BeF2-LiF-ThF4-UF4,66.0424,0.16-0.71-0.12-0.01,717,20,MSTDB-TC,----,----,----,4.04E+00,8.20E-04,----,5,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",6.20E-02,3.88E+04,----,----,----,873-1073,10,"Cohen, S. I.; Jones, T. N. VISCOSITY MEASUREMENTS ON MOLTEN FLUORIDE MIXTURES ORNL-2278; Oak Ridge National Lab., Tenn.: Oak Ridge, TN (United States), 1957. https://doi.org/10.2172/4803933.",----,----,----,----,----,102.20,----,----,----,25,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",----,----,--------,----,----
BeF2-LiF-ThF4-UF4,65.4448,0.2-0.675-0.12-0.005,753,5*,"Rosenthal, M. W.; Briggs, R. B.; Kasten, P. R. MOLTEN-SALT REACTOR PROGRAM SEMIANNUAL PROGRESS REPORT FOR PERIOD ENDING AUGUST 31, 1968. ORNL-4344; IX: Oak Ridge, TN (United States), 1969. https://doi.org/10.2172/4805939.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,1.16E+00,0.00E+00,811-1142,25,"Rosenthal, M. W.; Briggs, R. B.; Kasten, P. R. MOLTEN-SALT REACTOR PROGRAM SEMIANNUAL PROGRESS REPORT FOR PERIOD ENDING AUGUST 31, 1968. ORNL-4344; IX: Oak Ridge, TN (United States), 1969. https://doi.org/10.2172/4805939.",----,----,----,----,----,----,----,----,--------,----,----
BeF2-LiF-ThF4-UF4,----,0.09-0.729-0.081-0.1,757,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,283.10,0.08,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.08-0.648-0.072-0.2,737,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,289.30,0.10,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.07-0.567-0.063-0.3,710,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,301.80,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.06-0.486-0.054-0.4,702,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,310.50,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.18-0.648-0.072-0.1,701,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,286.10,0.10,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.16-0.576-0.064-0.2,705,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,298.50,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.14-0.504-0.056-0.3,674,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,290.20,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.12-0.432-0.048-0.4,708,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,296.40,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.27-0.567-0.063-0.1,692,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,257.90,0.09,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.24-0.504-0.056-0.2,668,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,281.60,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.21-0.441-0.049-0.3,686,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,283.40,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.18-0.378-0.042-0.4,713,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,290.60,0.13,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.36-0.486-0.054-0.1,669,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,266.40,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.32-0.432-0.048-0.2,663,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,265.20,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.28-0.378-0.042-0.3,649,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,250.80,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.24-0.324-0.036-0.4,811,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,261.90,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.09-0.648-0.162-0.1,704,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,320.70,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.08-0.576-0.144-0.2,698,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,323.90,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.07-0.504-0.126-0.3,670,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,326.10,0.13,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.06-0.432-0.108-0.4,668,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,305.70,0.11,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.18-0.576-0.144-0.1,693,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,290.80,0.10,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.16-0.512-0.128-0.2,674,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,275.50,0.10,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.14-0.448-0.112-0.3,669,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,293.20,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.12-0.384-0.096-0.4,668,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,301.20,0.13,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.27-0.504-0.126-0.1,676,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,293.20,0.12,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.24-0.448-0.112-0.2,670,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,301.10,0.13,2110.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.21-0.392-0.098-0.3,668,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,300.70,0.14,2160.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.18-0.336-0.084-0.4,910,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,303.80,0.14,2190.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.36-0.432-0.108-0.1,654,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,301.60,0.14,2070.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.32-0.384-0.096-0.2,642,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,292.80,0.14,2120.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.28-0.336-0.084-0.3,629,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,303.80,0.15,2160.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-ThF4-UF4,----,0.24-0.288-0.072-0.4,895,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,300.70,0.15,2200.0,10,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Mixtures of Molten Fluorides of Lithium, Beryllium, Thorium, and Uranium"" Soviet Atomic Energy, vol. 61, no. 6, pp. 1041-1043 (1986)"
BeF2-LiF-UF4,161.9706,0.03-0.5-0.47,987,----,"Capelli, E., O. Benes, and R. J. M. Konings. ""Thermodynamic assessment of the LiF-NaF-BeF2-ThF4-UF4 system."" Journal of Nuclear Materials 449 (2014): 111-121.",----,----,----,----,----,----,----,----,1.24E-01,3.96E+04,----,----,----,973-1073,15*,"Blanke, B.C.; Bousquet, E. N.; Curtis, M. L.; Murphy, E. L. Density and Viscosity of Fused Mixtures of Lithium, Beryllium, and Uranium Fluorides. Mound Laboratory. 1959.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
BeF2-LiF-UF4,127.822,0.05-0.6-0.35,872,----,"Capelli, E., O. Benes, and R. J. M. Konings. ""Thermodynamic assessment of the LiF-NaF-BeF2-ThF4-UF4 system."" Journal of Nuclear Materials 449 (2014): 111-121.",----,----,----,5.37E+00,5.80E-04,973-1073,5,"Blanke, B.C.; Bousquet, E. N.; Curtis, M. L.; Murphy, E. L. Density and Viscosity of Fused Mixtures of Lithium, Beryllium, and Uranium Fluorides. Mound Laboratory. 1959.",2.97E-02,4.94E+04,----,----,----,973-1073,15*,"Blanke, B.C.; Bousquet, E. N.; Curtis, M. L.; Murphy, E. L. Density and Viscosity of Fused Mixtures of Lithium, Beryllium, and Uranium Fluorides. Mound Laboratory. 1959.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
BeF2-LiF-UF4,85.663,0.1-0.7-0.2,768,----,"Capelli, E., O. Benes, and R. J. M. Konings. ""Thermodynamic assessment of the LiF-NaF-BeF2-ThF4-UF4 system."" Journal of Nuclear Materials 449 (2014): 111-121.",----,----,----,4.21E+00,4.15E-04,873-1073,5,"Blanke, B.C.; Bousquet, E. N.; Curtis, M. L.; Murphy, E. L. Density and Viscosity of Fused Mixtures of Lithium, Beryllium, and Uranium Fluorides. Mound Laboratory. 1959.",1.81E-02,5.36E+04,----,----,----,873-1073,15*,"Blanke, B.C.; Bousquet, E. N.; Curtis, M. L.; Murphy, E. L. Density and Viscosity of Fused Mixtures of Lithium, Beryllium, and Uranium Fluorides. Mound Laboratory. 1959.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
