formula,molecularWeight,comp,melt,melt_unc,melt_ref,boil,boil_unc,boil_ref,rho_a,rho_b,rho_range,rho_unc,rho_ref,mu_a,mu_b,mu_a2,mu_b2,mu_c,mu_range,mu_unc,mu_ref,k_a,k_b,k_range,k_unc,k_ref,cp_a,cp_b,cp_c,cp_d,cp_unc,cp_ref,sigma_a,sigma_b,sigma_range,sigma_unc,sigma_ref
AlCl3-LiCl-NaCl,92.6819,0.5-0.2-0.3,393,----,MSTDB-TC,----,----,----,2.03E+00,7.94E-04,419-545,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",4.41E-02,1.59E+04,----,----,----,372-534,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,91.077,0.5-0.3-0.2,381,----,MSTDB-TC,----,----,----,2.01E+00,7.95E-04,397-534,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",4.48E-02,1.60E+04,----,----,----,384-534,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,89.4721,0.5-0.4-0.1,402,----,MSTDB-TC,----,----,----,1.98E+00,7.64E-04,418-535,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",4.95E-02,1.58E+04,----,----,----,424-574,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,101.7766,0.6-0.1-0.3,376,----,MSTDB-TC,----,----,----,2.03E+00,8.49E-04,426-520,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",5.99E-02,1.50E+04,----,----,----,387-572,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,100.1717,0.6-0.2-0.2,384,----,MSTDB-TC,----,----,----,2.02E+00,8.69E-04,426-482,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",3.32E-02,1.77E+04,----,----,----,384-532,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,98.5668,0.6-0.3-0.1,392,----,MSTDB-TC,----,----,----,2.00E+00,8.60E-04,426-500,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",3.19E-02,1.80E+04,----,----,----,383-552,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,109.2663,0.7-0.1-0.2,442,----,MSTDB-TC,----,----,----,2.07E+00,9.89E-04,464-545,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",3.66E-02,1.71E+04,----,----,----,439-553,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,107.6615,0.7-0.2-0.1,447,----,MSTDB-TC,----,----,----,2.05E+00,9.89E-04,468-492,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",3.23E-02,1.75E+04,----,----,----,439-533,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,116.7561,0.8-0.1-0.1,454,----,MSTDB-TC,----,----,----,2.11E+00,1.27E-03,473-492,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",2.84E-02,1.62E+04,----,----,----,475-533,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,96.0414,0.502-0.498,430,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,8.99E-02,1.35E+04,----,----,----,480-570,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
