Cl-Cl		Mg-Cl		Mg-Mg	
R (A)	RDF	R (A)	RDF	R (A)	RDF
0.026250000	0.000000000	0.026250000	0.000000000	0.026250000	0.000000000
0.078750000	0.000000000	0.078750000	0.000000000	0.078750000	0.000000000
0.131250000	0.000000000	0.131250000	0.000000000	0.131250000	0.000000000
0.183750000	0.000000000	0.183750000	0.000000000	0.183750000	0.000000000
0.236250000	0.000000000	0.236250000	0.000000000	0.236250000	0.000000000
0.288750000	0.000000000	0.288750000	0.000000000	0.288750000	0.000000000
0.341250000	0.000000000	0.341250000	0.000000000	0.341250000	0.000000000
0.393750000	0.000000000	0.393750000	0.000000000	0.393750000	0.000000000
0.446250000	0.000000000	0.446250000	0.000000000	0.446250000	0.000000000
0.498750000	0.000000000	0.498750000	0.000000000	0.498750000	0.000000000
0.551250000	0.000000000	0.551250000	0.000000000	0.551250000	0.000000000
0.603750000	0.000000000	0.603750000	0.000000000	0.603750000	0.000000000
0.656250000	0.000000000	0.656250000	0.000000000	0.656250000	0.000000000
0.708750000	0.000000000	0.708750000	0.000000000	0.708750000	0.000000000
0.761250000	0.000000000	0.761250000	0.000000000	0.761250000	0.000000000
0.813750000	0.000000000	0.813750000	0.000000000	0.813750000	0.000000000
0.866250000	0.000000000	0.866250000	0.000000000	0.866250000	0.000000000
0.918750000	0.000000000	0.918750000	0.000000000	0.918750000	0.000000000
0.971250000	0.000000000	0.971250000	0.000000000	0.971250000	0.000000000
1.023750000	0.000000000	1.023750000	0.000000000	1.023750000	0.000000000
1.076250000	0.000000000	1.076250000	0.000000000	1.076250000	0.000000000
1.128750000	0.000000000	1.128750000	0.000000000	1.128750000	0.000000000
1.181250000	0.000000000	1.181250000	0.000000000	1.181250000	0.000000000
1.233750000	0.000000000	1.233750000	0.000000000	1.233750000	0.000000000
1.286250000	0.000000000	1.286250000	0.000000000	1.286250000	0.000000000
1.338750000	0.000000000	1.338750000	0.000000000	1.338750000	0.000000000
1.391250000	0.000000000	1.391250000	0.000000000	1.391250000	0.000000000
1.443750000	0.000000000	1.443750000	0.000000000	1.443750000	0.000000000
1.496250000	0.000000000	1.496250000	0.000000000	1.496250000	0.000000000
1.548750000	0.000000000	1.548750000	0.000000000	1.548750000	0.000000000
1.601250000	0.000000000	1.601250000	0.000000000	1.601250000	0.000000000
1.653750000	0.000000000	1.653750000	0.000000000	1.653750000	0.000000000
1.706250000	0.000000000	1.706250000	0.000000000	1.706250000	0.000000000
1.758750000	0.000000000	1.758750000	0.000062409	1.758750000	0.000000000
1.811250000	0.000000000	1.811250000	0.000000000	1.811250000	0.000000000
1.863750000	0.000000000	1.863750000	0.000111150	1.863750000	0.000000000
1.916250000	0.000000000	1.916250000	0.000420575	1.916250000	0.000000000
1.968750000	0.000000000	1.968750000	0.001344751	1.968750000	0.000000000
2.021250000	0.000000000	2.021250000	0.008788879	2.021250000	0.000000000
2.073750000	0.000000000	2.073750000	0.052611010	2.073750000	0.000000000
2.126250000	0.000000000	2.126250000	0.216791107	2.126250000	0.000000000
2.178750000	0.000000000	2.178750000	0.588054390	2.178750000	0.000000000
2.231250000	0.000000000	2.231250000	1.139447210	2.231250000	0.000000000
2.283750000	0.000000000	2.283750000	1.657978602	2.283750000	0.000000000
2.336250000	0.000000000	2.336250000	1.969829900	2.336250000	0.000000000
2.388750000	0.000000000	2.388750000	1.970504038	2.388750000	0.000000000
2.441250000	0.000000000	2.441250000	1.763703996	2.441250000	0.000000000
2.493750000	0.000000000	2.493750000	1.440828031	2.493750000	0.000000000
2.546250000	0.000000000	2.546250000	1.101863904	2.546250000	0.000000000
2.598750000	0.000114873	2.598750000	0.804330371	2.598750000	0.000115409
2.651250000	0.000882947	2.651250000	0.597239945	2.651250000	0.000000000
2.703750000	0.001857170	2.703750000	0.435101009	2.703750000	0.000373170
2.756250000	0.005565529	2.756250000	0.320950476	2.756250000	0.000666881
2.808750000	0.015439071	2.808750000	0.246248546	2.808750000	0.001531362
2.861250000	0.029897569	2.861250000	0.192090385	2.861250000	0.003665405
2.913750000	0.057202937	2.913750000	0.152122976	2.913750000	0.006747704
2.966250000	0.098268324	2.966250000	0.126951141	2.966250000	0.011073074
3.018750000	0.165029232	3.018750000	0.107469354	3.018750000	0.017875824
3.071250000	0.253197002	3.071250000	0.097748122	3.071250000	0.026441987
3.123750000	0.356860750	3.123750000	0.087822825	3.123750000	0.039619039
3.176250000	0.490846746	3.176250000	0.083680690	3.176250000	0.051840394
3.228750000	0.627461022	3.228750000	0.080037105	3.228750000	0.063626227
3.281250000	0.763509348	3.281250000	0.079235739	3.281250000	0.080826884
3.333750000	0.895630477	3.333750000	0.077055124	3.333750000	0.095343084
3.386250000	1.030857882	3.386250000	0.079078576	3.386250000	0.111782073
3.438750000	1.143268881	3.438750000	0.082739326	3.438750000	0.127971355
3.491250000	1.191250979	3.491250000	0.083833352	3.491250000	0.139051074
3.543750000	1.254596486	3.543750000	0.090714463	3.543750000	0.154015773
3.596250000	1.301765026	3.596250000	0.093757571	3.596250000	0.166426547
3.648750000	1.301431744	3.648750000	0.099213867	3.648750000	0.179557308
3.701250000	1.290739584	3.701250000	0.104367337	3.701250000	0.197912353
3.753750000	1.271488112	3.753750000	0.110387681	3.753750000	0.205386643
3.806250000	1.222571402	3.806250000	0.117957326	3.806250000	0.216330416
3.858750000	1.184659367	3.858750000	0.123145118	3.858750000	0.226135518
3.911250000	1.140797708	3.911250000	0.130550290	3.911250000	0.234728356
3.963750000	1.085126130	3.963750000	0.137669983	3.963750000	0.239292144
