r,K-Cl,Mg-Cl
Distance (Å),G(r),G(r)
9.791250,0.24465463,0.11085030
9.843750,0.24618528,0.11114557
9.896250,0.24463882,0.11130363
9.948750,0.24701426,0.11151531
10.001250,0.24754305,0.11053789
10.053750,0.24764830,0.11102204
10.106250,0.24933437,0.11062525
10.158750,0.24701992,0.11039310
10.211250,0.24569869,0.11043230
10.263750,0.24147395,0.10753928
10.316250,0.23736230,0.10689325
10.368750,0.23332398,0.10499448
10.421250,0.22807054,0.10238564
10.473750,0.22427765,0.10111579
