Freq_rad_ps,VDOS_K,VDOS_Mg
0.000000000000000000e+00,1.380640150049534942e-02,6.281370988590311705e-03
8.974696910697879670e-02,1.082090164420153496e-02,4.157367730068100078e-03
1.794939382139575934e-01,1.240971751713536991e-02,3.114742949504382876e-03
2.692409073209364179e-01,1.158718869716403310e-02,3.217573929288685113e-03
3.589878764279151868e-01,1.045689219229407364e-02,3.610283496745157750e-03
4.487348455348939558e-01,1.274240389234955126e-02,4.075256123275556620e-03
5.384818146418728357e-01,1.306931462131428502e-02,4.534488793415246410e-03
6.282287837488516047e-01,1.384541842821867923e-02,4.362358631997137123e-03
7.179757528558303736e-01,1.263143722529801345e-02,3.954308744125912926e-03
8.077227219628092536e-01,1.176740958559387325e-02,4.223515048546159015e-03
8.974696910697879115e-01,1.286354419006392399e-02,4.956435519321273839e-03
9.872166601767666805e-01,1.288950357205897665e-02,4.637162754597593840e-03
1.076963629283745671e+00,1.463695338388962090e-02,3.811333178477091695e-03
1.166710598390724440e+00,1.410783991565348755e-02,4.434765666671286986e-03
1.256457567497703209e+00,1.436820233362796385e-02,6.352809948392299649e-03
1.346204536604681978e+00,1.596302529315295204e-02,6.314643879439638292e-03
1.435951505711660747e+00,1.779108960815155294e-02,6.516436640398958272e-03
1.525698474818639516e+00,1.590267646283770320e-02,6.018659231171873299e-03
1.615445443925618507e+00,1.530143149631555018e-02,6.496067241616642826e-03
1.705192413032597054e+00,1.575151551950150150e-02,6.125043682144495558e-03
1.794939382139575823e+00,1.550980937898386279e-02,5.590128957500674865e-03
1.884686351246554592e+00,1.619727506135392597e-02,5.121263949944020177e-03
1.974433320353533361e+00,1.748441611853472286e-02,6.941057321224590806e-03
2.064180289460512352e+00,1.762954702999489781e-02,8.138108109152964245e-03
2.153927258567491343e+00,1.862607620065971636e-02,6.836198017163231701e-03
2.243674227674469890e+00,1.773255951414004147e-02,5.282013455293437833e-03
2.333421196781448881e+00,1.882425011696338066e-02,5.716456482071573600e-03
