Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z,J_Mg_x,J_Mg_y,J_Mg_z
0,8920.967318813196,-0.0006027357,0.0004914222,-0.0009570916,30.233726562804673,15.57436637139993,-42.31434656878722,-15.696597646105023,-13.612474515139944,33.023116918075885,-8.251767349335903,3.2401417503293253,0.7496853220650583
5,8920.967318813196,-0.00065208325,0.00039887926,-0.0007329323,28.439545558427074,15.198673094824448,-42.05676457966732,-14.052980258600533,-11.569374756451754,34.91131006775937,-8.101203747087464,1.5727350956618233,-1.396090104114112
10,8920.967318813196,-0.00071312656,0.00024882721,-0.0005493635,25.187059780913724,14.894988102909101,-41.050588187978114,-11.757734285119898,-9.44121054554201,36.37032194643942,-7.143963757459612,-0.25174410742731723,-3.8612785493028
15,8920.967318813196,-0.0007802419,7.868235e-05,-0.0004645862,20.98789482492963,14.370398499164123,-39.51117343806441,-8.97454771580475,-7.294834772620414,37.310486342436675,-5.727985141909055,-1.8735299995718613,-6.340857662348275
20,8920.967318813196,-0.0008494048,-7.110646e-05,-0.00050192483,16.36986850923846,13.340260621132748,-37.75204611639677,-5.898617345175683,-5.1514200190148,37.6927475771943,-4.185889141045815,-2.9868069210682973,-8.48224631283708
25,8920.967318813196,-0.00092825503,-0.0001664494,-0.0006367152,11.737897031757598,11.655098487231713,-36.07244145212647,-2.719332878097577,-2.981393957373106,37.53551415957443,-2.7332020554396577,-3.471670945288157,-10.004617521357863
30,8920.967318813196,-0.0010238194,-0.00018770239,-0.00080612634,7.347267121966975,9.34172202591411,-34.587355137637175,0.3965656498059046,-0.7244393224064747,36.90748139411768,-1.4584705882818225,-3.415249105415956,-10.86167090504066
35,8920.967318813196,-0.0011191324,-0.000139617,-0.00094479293,3.3460384879990626,6.575719615175101,-33.20861924962996,3.3081533205151006,1.679076948672372,35.910188493998064,-0.36882995630109416,-3.0527626899897093,-11.243113854158286
40,8920.967318813196,-0.001170703,-5.1917134e-05,-0.0010228009,-0.1564581070551887,3.626538154741624,-31.827981574854714,5.9032357348752535,4.260055030801518,34.65487953938535,0.5385841048326557,-2.684559486803142,-11.36844248138411
45,8920.967318813196,-0.0011341573,3.3881577e-05,-0.0010517676,-3.025748720422604,0.7612611541351146,-30.506726066254537,8.105229927305242,7.0037045325079035,33.23931955316972,1.2058803370371907,-2.562932153236421,-11.274138042616391
50,8920.967318813196,-0.0009905697,7.5890115e-05,-0.0010596977,-5.117162441850275,-1.8754790221542086,-29.43871783310174,9.879881747203523,9.844745468639228,31.73191299204179,1.5226419906164965,-2.7672328334633,-10.834739983227768
55,8920.967318813196,-0.00074910704,3.8561124e-05,-0.0010689878,-6.401508873394963,-4.306370821645504,-28.6892183981618,11.2373087381767,12.673476201247393,30.168805409170336,1.4495613065581283,-3.165071739077053,-10.021131917863817
60,8920.967318813196,-0.00044089425,-8.4436135e-05,-0.0010926758,-7.01214471605727,-6.594044600257362,-28.056811164236983,12.22693931698917,15.350986857743843,28.563149266097096,1.070566605477173,-3.5549081321991487,-9.047883064864868
65,8920.967318813196,-0.00012699913,-0.00025996694,-0.0011337759,-7.038197224099357,-8.646320573513105,-27.30895435589086,12.924577053323116,17.731102449584725,26.919386417933556,0.3989813890282985,-3.882747739528373,-8.151976994384745
70,8920.967318813196,0.00010021133,-0.00044959737,-0.0011755469,-6.358923418591081,-10.265426556714843,-26.3885629695706,13.413307272886996,19.685922379148828,25.244962836798802,-0.7690226077185498,-4.218461614622743,-7.39794458191361
75,8920.967318813196,0.00016149468,-0.00062480825,-0.001177281,-4.842896745902186,-11.433053706121894,-25.21979164880581,13.763010009548122,21.12983058177808,23.554636513266157,-2.6347518646881936,-4.494742913037431,-6.876389171972255
80,8920.967318813196,6.276858e-05,-0.0007462879,-0.0011039105,-2.666597530673249,-12.36266970533917,-23.56414652275094,14.014909857076088,22.03439691235137,21.866803440739456,-5.062950915112348,-4.469693015631879,-6.8442011597657935
85,8920.967318813196,-0.000105850384,-0.0007714224,-0.000961254,-0.3259830965453192,-13.177664819488667,-21.305706603006954,14.175245334417594,22.426894268182807,20.1960462478394,-7.563900614311176,-4.047195455259885,-7.43188399222024
