Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
0.000000000000000000e+00,4.520869747751564069e-03,5.100462452355942686e-03,2.085765686035535079e-03
8.974696910697879670e-02,4.226841269874729613e-03,5.396071611638205909e-03,1.790270196559461905e-03
1.794939382139575934e-01,4.302665386401861684e-03,5.925495428714508579e-03,1.659140142580815781e-03
2.692409073209364179e-01,4.516811306304019391e-03,6.010044030704602899e-03,1.696819251435430220e-03
3.589878764279151868e-01,4.340061580407136507e-03,5.085770072430730558e-03,1.872160566243569278e-03
4.487348455348939558e-01,4.524881883928734590e-03,5.771121065888375201e-03,1.961969051641860098e-03
5.384818146418728357e-01,4.756510687341139985e-03,5.443613616081198134e-03,2.322835549489949292e-03
6.282287837488516047e-01,5.567560965539606645e-03,6.029090308936809264e-03,2.373183231891964028e-03
7.179757528558303736e-01,5.432506070600852562e-03,5.802173177337803175e-03,2.324502858218779455e-03
8.077227219628092536e-01,5.114667574099180346e-03,7.061926524168810407e-03,2.181659291995334017e-03
8.974696910697879115e-01,5.729534451976154089e-03,7.452912399617136162e-03,2.556208451165942197e-03
9.872166601767666805e-01,6.715257644690766567e-03,6.946049116597085432e-03,2.643058197772413243e-03
1.076963629283745671e+00,7.367529367282351499e-03,7.841926142230079208e-03,2.786656231701436018e-03
1.166710598390724440e+00,7.043399819465761408e-03,8.153704436135977493e-03,2.833645550306265921e-03
1.256457567497703209e+00,7.791203231256050785e-03,9.183364461062437645e-03,2.797093673059827552e-03
1.346204536604681978e+00,9.023645059620435602e-03,9.545823432563682945e-03,2.607080629704226597e-03
1.435951505711660747e+00,7.600625251375388129e-03,8.336096822992088845e-03,2.881036897001851282e-03
1.525698474818639516e+00,9.264596037503155038e-03,8.413270541089940685e-03,3.613078468621902170e-03
1.615445443925618507e+00,9.678484164196187248e-03,9.279374621353924865e-03,3.524444296209876780e-03
1.705192413032597054e+00,7.333394441671891792e-03,9.895623052335570866e-03,3.622038562351604252e-03
1.794939382139575823e+00,7.248107674920945681e-03,1.100502771266236718e-02,3.958887263314451316e-03
1.884686351246554592e+00,8.607853327555739856e-03,1.381991717260656026e-02,3.792073045081326664e-03
1.974433320353533361e+00,1.060123685986365076e-02,1.405308576445504255e-02,3.821612141995181077e-03
2.064180289460512352e+00,1.019416507519160103e-02,1.501583625462687283e-02,5.523925479824555798e-03
2.153927258567491343e+00,9.782944476917753568e-03,1.338558852188169966e-02,5.289861383854165336e-03
2.243674227674469890e+00,9.743153839480083594e-03,1.621142320840428253e-02,5.564562038870448854e-03
2.333421196781448881e+00,1.134605774416444328e-02,1.591125084240853013e-02,5.764092278155293243e-03
2.423168165888427428e+00,1.140800671483215359e-02,1.306642501042053900e-02,5.549807899819271528e-03
2.512915134995406419e+00,1.068755251740570802e-02,1.435651045703915940e-02,5.548132911999804559e-03
2.602662104102385410e+00,1.111606314469511941e-02,1.739090476963789725e-02,6.623933783866525760e-03
2.692409073209363957e+00,1.191776476422438252e-02,1.890882614063096531e-02,6.875492658870908762e-03
2.782156042316342948e+00,1.288373713412045013e-02,1.784557306212688349e-02,6.757489969942746984e-03
2.871903011423321495e+00,1.175055747116015951e-02,1.580373991057240635e-02,6.030963389894509336e-03
2.961649980530300041e+00,1.187009447181834078e-02,2.037822762757128189e-02,6.923830297498983523e-03
3.051396949637279032e+00,1.104061898971607329e-02,2.000259679768063431e-02,6.098985857559569707e-03
3.141143918744257579e+00,1.245877295493339962e-02,1.890523985554714431e-02,7.106792530416269731e-03
3.230890887851237014e+00,1.297704144862999245e-02,2.370807477293027099e-02,8.290861252001362550e-03
3.320637856958215117e+00,1.338221860331401461e-02,2.336981391098254257e-02,7.878698132325247933e-03
3.410384826065194108e+00,1.638776620278452681e-02,2.276426571034250584e-02,7.571401117240586336e-03
