Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_K_x,J_K_y,J_K_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Mg_x,J_Mg_y,J_Mg_z,J_Na_x,J_Na_y,J_Na_z
110,7922.875316480056,8.977082e-05,0.00048621782,6.973484e-05,-8.152803306637168,0.7029085993263453,9.760385993863547,7.404059954259816,-5.306132207067127,-5.945271115238732,3.375517549403253,4.478909431715716,-12.628944126028347,-1.543778514042761,3.0556886609416525,12.265432051971652
115,7922.875316480056,0.000113344606,0.00035222663,8.758532e-05,-9.584618381743155,0.5908795991700186,9.349873318652483,9.101937128372182,-7.297509101622415,-8.228218610485575,2.58846566372888,5.480790297667252,-11.761131223972903,-1.0227887014196035,4.157213903163776,14.091079225304634
120,7922.875316480056,9.8441196e-05,0.00022482149,0.00016183846,-10.871897241124483,0.49808441918781465,8.841007218175019,10.33020665156284,-9.031860400203229,-10.25046743381224,2.2883979120495725,6.309440911113621,-10.693588490799435,-0.6637113996355497,5.155709750143273,15.554651434016046
125,7922.875316480056,2.9011811e-05,0.00013615734,0.0002879335,-11.98367513789907,0.4744523550753538,8.246396004799847,11.072644699161454,-10.515598534510936,-11.858137446881097,2.4511185087547576,7.062245621512396,-9.534056850270268,-0.45709187376157323,5.91027494151115,16.59740125727628
130,7922.875316480056,-8.916556e-05,8.6874155e-05,0.00045465908,-12.916344073064637,0.5643632810767345,7.575815539940762,11.529680173622477,-11.600819853500106,-13.042283546062913,2.8225131120023663,7.64997749157831,-8.273770360535842,-0.35285302316949174,6.317853489820323,17.19184131804584
135,7922.875316480056,-0.00022586927,6.448848e-05,0.0006249606,-13.684587883008305,0.7988026275309563,6.840376107999855,11.961627644967223,-12.069053268645831,-13.873188780396754,3.0973963546865204,7.873397203969061,-6.855736369639623,-0.29144010953202293,6.328227608059591,17.340151932708324
140,7922.875316480056,-0.0003367835,5.400507e-05,0.00075107807,-14.309544847290624,1.1907151432263232,6.055700059502653,12.490934189925895,-11.736616528078258,-14.436717407117408,3.145321010991051,7.525967201937442,-5.236226976406748,-0.24371415185921297,5.951308551334136,17.068847233995506
145,7922.875316480056,-0.0003862783,4.030854e-05,0.00080817105,-14.80879202692148,1.7344032443073116,5.2430912586596445,13.044953707914207,-10.492945837952021,-14.757308331645413,3.073411020378285,6.439746718718224,-3.4592251902300504,-0.2265761787264371,5.25017014862044,16.42504500611383
150,7922.875316480056,-0.00037088263,1.7341883e-05,0.0008004318,-15.190001973452297,2.408126243885188,4.427669897459947,13.455495439698385,-8.346403312159993,-14.717977011350532,3.102296457131909,4.550048501328115,-1.7334221108117944,-0.2847931204439822,4.319602960961331,15.475332218824656
155,7922.875316480056,-0.0003189384,-4.8612783e-06,0.0007445471,-15.448988961951441,3.1789425830068536,3.6338903259629487,13.58965346129418,-5.505500579733082,-14.062194170802988,3.399953136890711,1.999582850340654,-0.4232906779849017,-0.45762101036122627,3.2583496083176424,14.30319756249653
160,7922.875316480056,-0.0002662395,-8.266187e-06,0.00066079525,-15.572315148092628,4.009041891084332,2.88039034533993,13.393219997214448,-2.360678945960019,-12.545642737128011,4.017374212374146,-0.861675818251546,0.11736125018288868,-0.7552825359078,2.1446875678781208,12.99949425092043
165,7922.875316480056,-0.00024431432,1.5553936e-05,0.0005633642,-15.543521805040825,4.862211507010494,2.17658909863074,12.852607143236018,0.6670236165382117,-10.128946724083812,4.931454037709794,-3.620598259775737,-0.24128902396986085,-1.1575423986567053,1.0227380445109,11.645249670631776
170,7922.875316480056,-0.0002803096,6.319579e-05,0.00044465662,-15.35085723603396,5.709192572984017,1.5226127157102205,11.99036754748602,3.2705417598831126,-7.011702409465011,6.072598834799304,-5.952155071442553,-1.3533834949099273,-1.6291124646002304,-0.09620420406224778,10.294076091302736
175,7922.875316480056,-0.0003761997,0.00013572669,0.00028068988,-14.993911067064516,6.530628579952743,0.9121755496989694,10.92524975583444,5.317097471984991,-3.5286466747927756,7.288584806955281,-7.698420800546019,-2.8967896889567655,-2.1369267745950715,-1.2179303316874002,8.964863379295162
180,7922.875316480056,-0.00049060344,0.0002501042,5.5285353e-05,-14.487212352277027,7.31647288879213,0.3366720441654091,9.892420443883442,6.848474269850953,-0.05922246914612561,8.334990276588382,-8.890925750544712,-4.475651355534488,-2.6572016763540383,-2.342646399897946,7.649804209517491
185,7922.875316480056,-0.00056710216,0.00042603162,-0.00022026301,-13.859650276772928,8.06173946986274,-0.2114294131020129,9.169065981900413,8.025079974422521,3.0467878024685238,8.945297194743784,-9.708958016240077,-5.716427907683816,-3.17171656464156,-3.446486264786814,6.332671717258813
190,7922.875316480056,-0.000595097,0.00065111497,-0.00049286603,-13.149676054189229,8.760844688925369,-0.7368653254375372,8.9725073768285,9.003147050116135,5.589834035392618,8.921672727327703,-10.356875424034088,-6.40748347899315,-3.6615073665754103,-4.475741370718767,5.0061163976991105
195,7922.875316480056,-0.0006321039,0.0008646365,-0.0006684746,-12.398172023804992,9.40382657495075,-1.2416057900768631,9.398331891149486,9.75653573004264,7.655662639667048,8.187923483169316,-10.87272397962531,-6.6408180658614455,-4.105086653945496,-5.3562633626200995,3.678363063945903
200,7922.875316480056,-0.00072893564,0.0010087932,-0.0006718446,-11.641910355118565,9.976421554699579,-1.7264304196333056,10.438552821521512,9.997736456292728,9.538049352229086,6.767679924142453,-11.030674551090643,-6.729223048386834,-4.481325416128261,-6.0121083620400695,2.3692059391817324
205,7922.875316480056,-0.0008595347,0.0010842464,-0.00052258844,-10.9096598164985,10.463285657791227,-2.193452150896536,12.074000426032274,9.399311160903725,11.32987534126571,4.691158894955904,-10.550010622319833,-6.790024288012852,-4.772502862209098,-6.38121090029779,1.10520244352508
210,7922.875316480056,-0.0009727123,0.0011140804,-0.0003077803,-10.22145687313667,10.851930911702135,-2.6476008425970754,14.219552020110196,7.831383011477437,12.688591552677492,2.0502377938217453,-9.33096639099037,-6.510429985544383,-4.965336343740223,-6.420972212821996,-0.07895962235645726
215,7922.875316480056,-0.0010474079,0.0011017716,-0.00010682642,-9.589761921634535,11.135307698079766,-3.0954174146327365,16.547764876481647,5.336337725494212,13.07373424948353,-0.8230982245033145,-7.432515624358503,-5.3894728087030535,-5.051908250535366,-6.107754276534594,-1.137242764945519
220,7922.875316480056,-0.0010771313,0.001041078,3.6224315e-05,-9.020514183032617,11.312426705821332,-3.5419517806813197,18.523983109737753,2.06276350838072,12.121876618209606,-3.3906731595736117,-5.006463151193178,-3.1119665783768014,-5.02979928032541,-5.437351352513702,-2.0163567825090714
225,7922.875316480056,-0.0010443984,0.00093525264,0.00010897969,-8.513117910183324,11.387214835418769,-3.9877853716907516,19.61544212083651,-1.6958619077626107,9.91179338278696,-5.121636328683211,-2.330100865249709,0.19858655807949077,-4.897691388950211,-4.42987599280457,-2.6709932342034577
230,7922.875316480056,-0.00093054224,0.00080365717,0.00012176439,-8.059406484908948,11.366403638070832,-4.428258203211062,19.46735527315001,-5.435101088106767,7.0194661929831135,-5.674418617592141,0.13779747372521012,3.94264475665151,-4.650533680801477,-3.137723629055815,-3.0822518760885274
235,7922.875316480056,-0.0007443898,0.00067026785,9.574236e-05,-7.642178884635256,11.257315692235633,-4.856005013059097,18.00247614916122,-8.511239733202618,4.332248022224559,-4.989123443384574,1.8335010720393496,7.240977331290572,-4.288176988121582,-1.6482005489946245,-3.2656193733070964
240,7922.875316480056,-0.00052249257,0.00054159923,5.3731033e-05,-7.234372799709207,11.065949686313894,-5.26595360236481,15.43571298633002,-10.451595870695545,2.7205776087480285,-3.2769371989226563,2.386938288916123,9.260626452618828,-3.8414061654776974,-0.06991518911525096,-3.2636494783161893
245,7922.875316480056,-0.00029876758,0.0004029521,2.1338416e-05,-6.800419476147623,10.795537882555715,-5.6602368299181975,12.200908297191642,-11.253436271751877,2.6844590583200274,-0.9251646754375311,1.8951775429514113,9.558164376562136,-3.392326996416177,1.494097628877738,-3.1307857581721024
250,7922.875316480056,-8.6802866e-05,0.00025207785,1.5323025e-05,-6.301031424833751,10.445977044122907,-6.049775083168264,8.83817849100058,-11.302664299694477,4.108906176075359,1.6066516871986325,0.8198374375779407,8.31068173738496,-3.060801360801652,2.9682268312350275,-2.9182120048151106
255,7922.875316480056,0.000112928225,0.00013379399,1.4673972e-05,-5.701148225659097,10.01414840345961,-6.450419680882099,5.874792301356937,-11.01173502304676,6.328627358848711,3.8710771283557053,-0.37971441219813107,6.235431254790832,-2.9617235811474716,4.308678159871873,-2.662038298805534
260,7922.875316480056,0.00030049492,0.00012061876,-2.9992467e-05,-4.978267722118006,9.494894313478932,-6.875355395041893,3.7542989185302513,-10.52083206648252,8.47464361689297,5.472698943781165,-1.5362524346764743,4.229623160892892,-3.1657329468598805,5.493567469707727,-2.3773107689901067
265,7922.875316480056,0.00046908105,0.00025197744,-0.00013907395,-4.127159614896925,8.882247067949999,-7.328434874965772,2.8386268577368163,-9.63215775440051,9.7929051489841,6.054479682618717,-2.8270791245067572,3.0466113591468584,-3.682949826773684,6.508366810364917,-2.059480900393943
270,7922.875316480056,0.00059178454,0.00048709862,-0.0002646797,-3.159022959024412,8.17054034461972,-7.801825402442789,3.31781191046605,-8.020258363263675,9.83827327790594,5.387661185411002,-4.555468499156608,3.109085843469451,-4.4634531343331405,7.336564152712183,-1.69393324403584
275,7922.875316480056,0.0006184037,0.00071945426,-0.00031730984,-2.0962626407587663,7.355655886504163,-8.277931036001995,4.925281486367682,-5.63197935630173,8.680628614958076,3.656771075115854,-6.756191755857775,4.322472577297425,-5.402792992507348,7.963893119849328,-1.2735696248689479
280,7922.875316480056,0.0005326819,0.00087570894,-0.00025621822,-0.9654111838887611,6.437007059119704,-8.734103754068222,6.824191492502113,-2.87843735495711,6.906731734968595,1.5755199729217795,-9.022771183079358,6.097631965933409,-6.351303189382198,8.395579723298962,-0.8186589498033996
285,7922.875316480056,0.00038878983,0.0009694136,-0.00012672554,0.20979769945671434,5.4204818394449,-9.148497906506256,8.026425826892705,-0.29362826225417926,5.132141173023658,-0.018940667704713476,-10.865241649900755,7.8516938883935055,-7.134285685461255,8.669765999343893,-0.38373571949680496
290,7922.875316480056,0.00023973704,0.001025156,1.2903938e-05,1.4136618317073157,4.320696263423367,-9.504065762281265,7.886853164138415,1.8527068455222198,3.602589345853149,-0.6303936250871391,-12.088532549487327,9.393827929840349,-7.5871243987535495,8.846507124071305,-0.040750057025185527
295,7922.875316480056,8.637223e-05,0.0010327065,0.00014373798,2.641021534917229,3.1608624683452105,-9.788597438043343,6.250635353692015,3.5250789643940807,2.3328507010796518,-0.21344523160512363,-12.73064559660813,10.756852208107754,-7.59521461253873,8.976082112326935,0.15049614815168155
300,7922.875316480056,-9.084275e-05,0.0009812514,0.00027183924,3.896335570200164,1.9703808054130674,-9.992012005265696,3.4172570892625327,4.733758517167979,1.3701201740063613,0.8885671320102366,-12.84694630455303,11.913616563086556,-7.119162753626843,9.074184458629698,0.15987663026705734
305,7922.875316480056,-0.00029251637,0.000884221,0.00040609273,5.18878902226453,0.7812321098520506,-10.10309369246081,0.024585944927936643,5.48419305241793,0.859873675114132,2.0643337605477683,-12.455957282514623,12.711196879963076,-6.194711510660018,9.121909225715736,-0.016374939173807945
310,7922.875316480056,-0.00049680716,0.0007616721,0.0005525618,6.5236356158469,-0.3758693163014808,-10.106909847566406,-3.1799344808863435,5.865060759744549,0.9406187624940419,2.6516921239607,-11.642838294070293,12.983893825015379,-4.912396414817086,9.085023606064736,-0.3660006165098153
315,7922.875316480056,-0.00067134085,0.0006127387,0.00070897106,7.891930669259921,-1.474940136443995,-9.98294943866042,-5.625707034704986,6.102748811161175,1.6103475649601684,2.2077371189014467,-10.632415340360216,12.688712976790537,-3.390963857993957,8.935983359740586,-0.8645088749869743
320,7922.875316480056,-0.00077654194,0.00041511067,0.0008586393,9.26335333650951,-2.497404472980354,-9.703748059859231,-7.121334613933298,6.467761040160775,2.690408153428935,0.6988730884193728,-9.703290235765941,11.938018401907737,-1.7578948400191798,8.664310386214876,-1.4730763709846786
325,7922.875316480056,-0.000778308,0.00015336655,0.0009820199,10.587845517404105,-3.433221553290143,-9.234563556401575,-7.859951387391558,7.092058115861954,3.9104299585436326,-1.5061550315141856,-8.999678376092538,10.913598779535658,-0.13874210003315968,8.272218750767593,-2.1378631429576913
330,7922.875316480056,-0.00067954254,-0.00015778629,0.001077057,11.807728692679863,-4.279352571594875,-8.535447530874102,-8.236584118726455,7.838565999614155,5.02520539822749,-3.8437017590323874,-8.392352789922349,9.756009108551929,1.3555539875228346,7.764516046881565,-2.7941646974502206
335,7922.875316480056,-0.00053298497,-0.00048087243,0.001152463,12.874394070053146,-5.035105949876827,-7.56694380865158,-8.633638185266031,8.345930701116565,5.864971439832376,-5.809694106849906,-7.523370603432317,8.52668690895863,2.6519353687467446,7.143922912102082,-3.373112387312837
340,7922.875316480056,-0.0004073815,-0.00077428535,0.0012010531,13.759328406291221,-5.695602891519859,-6.299733535986906,-9.308901325121838,8.23737536194255,6.329513145597817,-7.1094380818550915,-6.0260306517138575,7.228465774057817,3.742007695840111,6.415635027893244,-3.8066429109582955
345,7922.875316480056,-0.00033060295,-0.0009989787,0.001199029,14.4525803949162,-6.246106963164213,-4.727002925301367,-10.37408549053077,7.349790568989986,6.366483895855572,-7.688371420273302,-3.76907750141729,5.8413229738265855,4.692873146911988,5.596770268836393,-4.029201326598674
350,7922.875316480056,-0.00027379495,-0.0011221541,0.001131146,14.951256565263805,-6.660805530478403,-2.876184133787336,-11.810020499554295,5.834084011125806,5.941599180014096,-7.685533779617958,-0.9647008783478883,4.3651740226281746,5.627294512410553,4.722798234194327,-3.978986462852596
355,7922.875316480056,-0.00019468115,-0.0011286434,0.0010035583,15.248288005861298,-6.9089778899030465,-0.8152081557164079,-13.507229719630114,4.014438215303806,4.981901230853401,-7.33715097926613,1.9807098385888606,2.8878769927336303,6.679089599132093,3.8452059443740145,-3.602967524826205
360,7922.875316480056,-7.130619e-05,-0.0010342749,0.0008370582,15.33005535542344,-6.968204069864162,1.3518713506091276,-15.331529636427941,2.14462298298792,3.3507061053750284,-6.8629529914061775,4.734790058721753,1.616072140293376,7.947424478388238,3.020167363291533,-2.8670470031627033
365,7922.875316480056,0.000103109895,-0.00088348816,0.000664802,15.182045130815656,-6.837988063627283,3.501762447940548,-17.17207091992066,0.39022080157781236,0.951160064348988,-6.397060732112709,7.086473285834269,0.7672935470267594,9.470083943411268,2.2926700840549743,-1.768613575428141
370,7922.875316480056,0.0003269988,-0.00072746584,0.00053291133,14.795304555286581,-6.544283562070352,5.516623730338306,-18.941938521601852,-1.0269530069355204,-2.188268521537899,-5.989664224794228,8.819904194463357,0.46904901420877004,11.219295766709802,1.6827083854301446,-0.3458016274287061
375,7922.875316480056,0.00058383046,-0.00060494884,0.00048796617,14.168968736449472,-6.1308746826695755,7.306167418912066,-20.575530053199483,-1.8282313030805488,-5.992973802887812,-5.6229093485773545,9.71047155706108,0.8158253662744875,13.112468448063265,1.1800102761595763,1.322583363677289
380,7922.875316480056,0.00082978106,-0.0005437221,0.0005578961,13.31039290554219,-5.644105365770604,8.818350027828256,-22.064257904621062,-1.8491997056563703,-10.389582374304252,-5.192631228247751,9.674620714999742,1.8943573708287786,15.02949354988548,0.750060188719202,3.128477295142396
385,7922.875316480056,0.001006217,-0.00055583316,0.0007325721,12.236567580918575,-5.121661493636286,10.037120077573473,-23.46661801370681,-1.1767465580388743,-15.135334059172564,-4.518445532771852,8.881790833315588,3.59725103619477,16.83149306933363,0.347992615160023,4.952565397047032
390,7922.875316480056,0.0010877438,-0.00061155955,0.00095238065,10.97726830533685,-4.590461326087909,10.971829916659754,-24.759472673283536,-0.06082171582318363,-19.708974227744527,-3.51299649111151,7.649066705519341,5.507798300318805,18.378197922127114,-0.06640818555331496,6.680948104722368
395,7922.875316480056,0.0010956343,-0.0006598954,0.00113801,9.576805151538284,-4.070914387071473,11.644321017334715,-25.649989848146465,1.3354067869396387,-23.50370436926334,-2.3860623804297516,6.184386615522068,7.095613317362599,19.54224453296227,-0.517503650818413,8.215372371320221
400,7922.875316480056,0.0010561502,-0.00068670255,0.001243501,8.091001785956056,-3.5820900969644685,12.078448787728103,-25.674730202543632,3.0411761542624154,-26.0371696726221,-1.5548894626639536,4.47990983115667,7.933741939776532,20.22161541170679,-1.0076204950340766,9.476581226128722
405,7922.875316480056,0.0009791291,-0.0007199407,0.0012725936,6.5795406738607785,-3.144421648477593,12.29519158891706,-24.501441088181668,5.163007408562974,-27.030781159750973,-1.3482079450126492,2.4292242615608997,7.782826799967019,20.35310595788358,-1.5164343667032663,10.404365096477955
410,7922.875316480056,0.0008716566,-0.0007885202,0.0012605262,5.096853364418224,-2.7794712311112493,12.3144669148496,-22.121443117996368,7.705574528132833,-26.451722806387465,-1.8188900451144883,0.012282632041912045,6.629425045665279,19.92647755990217,-2.007009923313832,10.959433444517591
415,7922.875316480056,0.0007450266,-0.00088422344,0.0012502444,3.685117614330977,-2.5076440141089664,12.161658724860882,-18.833775703064358,10.440001197130751,-24.50744963352428,-2.761559696410944,-2.5621125488125696,4.667334628715629,18.993215803742697,-2.4388683411829115,11.1300587444023
420,7922.875316480056,0.00060411193,-0.0009565305,0.001269337,2.3713377099985005,-2.345095795520767,11.87365885739926,-15.089964008250153,12.897185275451761,-21.57395505038641,-3.858576847899161,-4.836394053885875,2.2111931461862824,17.66020103381195,-2.7843195419712874,10.940705806042638
425,7922.875316480056,0.0004398967,-0.0009490961,0.0013191239,1.1682661922305324,-2.3005968890499315,11.498854908018966,-11.329011163303566,14.52295568474493,-18.127959652524954,-4.821189419625073,-6.25123717780136,-0.3732925479685819,16.06493256223073,-3.039745988183655,10.45400018465832
430,7922.875316480056,0.00023778455,-0.0008456832,0.0013872175,0.077541480531238,-2.372782230813475,11.088799013079534,-7.891494302643309,14.887218282911466,-14.730410838515683,-5.446200200891682,-6.359250120857925,-2.6654871167534893,14.343151093644323,-3.2238106341113744,9.75870230793614
435,7922.875316480056,6.4142305e-06,-0.00067305396,0.0014717787,-0.9060587689099853,-2.5483072140193075,10.684437826927006,-4.978563633409408,13.805599375057337,-11.968423989841186,-5.639543310939543,-4.963479546571056,-4.21105115662575,12.607163748733889,-3.3624374680051705,8.946640977188757
440,7922.875316480056,-0.00019408493,-0.0004644843,0.0015829629,-1.789930833438973,-2.8019520521044727,10.303745361579768,-2.5997081087510914,11.41381847476498,-10.232864801691102,-5.470991333834166,-2.210560759445092,-4.710575397415219,10.943628496454021,-3.4699299831221433,8.091298093426552
445,7922.875316480056,-0.00030221915,-0.00024161651,0.0017077207,-2.5793020525561032,-3.0996893716944145,9.936998818080593,-0.5802549281946794,8.18799170670956,-9.499054736972644,-5.180332950880614,1.3823257601732406,-4.2259149874131126,9.422888020279043,-3.5392519196424264,7.239574371506272
450,7922.875316480056,-0.00034364493,-2.2281889e-05,0.0017938465,-3.2740339038245443,-3.4048620695390968,9.551340138070355,1.3058609024025145,4.659899673213313,-9.487209042411559,-5.054817681386697,5.224400816453251,-3.030606070705822,8.105988475072063,-3.548062212324454,6.418078255530666
455,7922.875316480056,-0.00038894263,0.00017296537,0.0017899785,-3.8672989901660353,-3.684974858025218,9.10181773335351,3.2123471000264825,1.1113969165668287,-9.976784139308213,-5.304688405656992,8.97977622643773,-1.3211052583916043,7.04263791084666,-3.47482151757447,5.647675006596067
460,7922.875316480056,-0.00046716613,0.00032015145,0.0016773016,-4.346536946548384,-3.915707469691544,8.543948594549857,5.195179333869984,-2.280000242254008,-10.810165636562031,-6.029132307238245,12.440274865700099,0.7599419460724801,6.263487257216166,-3.3131902401613624,4.957878632882306
465,7922.875316480056,-0.00056532,0.00040309652,0.0014680603,-4.696367722317462,-4.08109701957,7.8431856843635455,7.224288150984304,-5.224994920414593,-11.759963548321588,-7.2168213045446405,15.314977864107982,2.9759203300831487,5.771898207618488,-3.0775088640469916,4.3924613482124855
470,7922.875316480056,-0.0006634821,0.0004246925,0.0011906531,-4.9030909341017255,-4.170785638995033,6.979621236281657,9.192826950350192,-7.359820989530253,-12.48282809562988,-8.746996808033504,17.257939206573397,4.952819196157215,5.5402582783571965,-2.795955468776698,4.001991329078258
475,7922.875316480056,-0.00075355853,0.0003973552,0.0008734267,-4.960449087877294,-4.176044067070682,5.9493941039072356,10.91460216964207,-8.383481891478713,-12.560300079240273,-10.388255992431727,17.982397121077867,6.23452548533934,5.517100278944763,-2.491494143531214,3.8279840477955744
480,7922.875316480056,-0.0008382927,0.00032913563,0.00053719664,-4.875562218257927,-4.086679179960644,4.765102419547457,12.135154850634192,-8.156315426213386,-11.610540809172095,-11.820807908866659,17.335311159745082,6.407432301315943,5.644212898726874,-2.160939372570626,3.889609697598893
485,7922.875316480056,-0.00091752945,0.00022637313,0.00020084095,-4.672943325254835,-3.8900748759013526,3.45586373628974,12.591041990998402,-6.758291520909899,-9.441529645021541,-12.70648559303881,15.349225350792745,5.257157968244805,5.871384916930292,-1.7694816773040447,4.180111599857149
