Composition,Source,Temperature (K),Average SCL (A),Average SCL (A) [b_PH=zero],Average SCL (A) [b_PH=fraction],Average SCL (A) [b_PH=L_classical],Average SCL (A) [b_PH=L_quantum],Average SCL (A) [b_PH=O_CSV],Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
0.5NaCl-0.5KCl,"Manga, 2014",1100,4.01471,,,,,,4.32778,-7.23,K-Cl,4.05538,2.96275,0.61096,4.57563,0.09819,4.67985,0.1451,-11.08502,105.80056,18.59244,23.8548,0.12341,Na-Cl,3.97403,2.57565,0.85239,4.14884,0.07525,4.18854,0.15762,-14.13081,163.59224,13.94577,34.24997,0.12341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Walker, 2026",1100,4.10834,,,,,,4.32778,-5.07,K-Cl,4.14217,3.07034,0.56922,4.64743,0.09636,4.5898,0.14384,-10.43791,86.26022,18.59244,21.53957,0.09258,Na-Cl,4.07452,2.65118,0.75273,4.22827,0.08511,3.9663,0.15392,-12.99359,143.44397,13.94577,32.07155,0.09258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6NaCl-0.4KCl,"Walker, 2026",1100,4.06522,,,,,,4.32778,-6.07,K-Cl,3.97215,3.07034,0.44261,4.69983,0.07811,4.85177,0.07969,-10.21109,85.44396,18.59244,21.43742,0.10925,Na-Cl,4.12727,2.65118,0.86883,4.28067,0.10422,4.01869,0.21336,-12.6712,142.22346,13.94577,31.93482,0.07283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3NaCl-0.7KCl,"Walker, 2026",1100,4.24174,,,,,,4.32778,-1.99,K-Cl,4.36425,3.07034,0.82015,4.75222,0.12771,4.49025,0.27928,-10.83287,87.72271,18.59244,21.7214,0.05555,Na-Cl,3.9559,2.65118,0.46945,4.22827,0.04791,4.01345,0.05737,-13.4795,148.76356,13.94577,32.66082,0.12961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7LiCl-0.3CaCl2,"Liang, 2024",1073,3.24778,,,,,,0,,Ca-Cl,3.12632,2.61724,0.56789,3.82444,0.02357,4.95248,0.05852,-15.21559,227.36997,18.8111,34.76637,0.36773,Li-Cl,3.29984,2.25607,0.85061,3.63149,0.1154,3.89371,0.2346,-11.26089,151.28128,5.8038,51.05479,0.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,3.44895,,,,,,3.76913,-8.49,Ca-Cl,3.66182,2.67223,0.4782,3.92275,0.01598,4.70432,0.13917,-8.82043,207.05669,18.8111,33.17703,0.25252,Na-Cl,3.22766,2.68712,0.47761,4.13861,0.09189,4.27259,0.0862,-9.14005,116.69374,13.94577,28.92695,0.26251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.718KCl-0.282CaCl2,"Wei, 2022",1300,4.13821,,,,,,0,,Ca-Cl,2.6517,2.57547,0.75775,4.01863,0.01824,4.66249,0.04812,-22.20748,311.59356,18.8111,40.69931,0.57303,K-Cl,4.72205,4.7217,0.39311,6.86793,0.18524,4.63289,0.21626,-5.01235,13.65526,18.59244,8.57002,0.22506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",1073,3.37591,,,,,,3.92263,-13.94,K-F,3.55321,2.56096,0.66201,3.77029,0.11679,0,0,-10.07095,127.30474,12.78567,31.55444,0.13496,Mg-F,2.19183,1.95036,0.27009,3.03817,0.00331,3.4561,0.00572,-21.75103,530.56908,10.66328,70.5384,0.51441,Na-F,3.29578,2.24676,0.56475,3.50353,0.05125,0,0,-13.4404,205.50585,10.40219,44.44774,0.19302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33NaCl-0.45MgCl2-0.22KCl,"Jiang, 2024",750,3.08786,,,,,,0,,K-Cl,3.29,3.05106,0.21029,4.60621,0.0455,4.96168,0.01578,-6.39828,66.91139,18.59244,18.97063,0.35843,Mg-Cl,2.95583,2.2883,1.32878,3.57685,0.01282,3.68793,0.07916,-13.43187,432.98409,14.41908,54.79831,0.34595,Na-Cl,3.13315,2.63635,0.40072,4.08042,0.06305,4.3174,0.039,-7.89067,122.34324,13.94577,29.61889,0.30859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiF,"Walz, 2019",1121,3.43493,,,,,,3.28553,4.55,Li-F,3.43493,1.87565,1.24124,2.79035,0.15585,2.80577,0.55566,-12.25391,261.5903,5.08315,71.73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
