Composition,Source,Temperature (K),Average SCL (A),Average SCL (A) [b_PH=zero],Average SCL (A) [b_PH=fraction],Average SCL (A) [b_PH=L_classical],Average SCL (A) [b_PH=L_quantum],Average SCL (A) [b_PH=O_CSV],Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
1.0MgCl2,"Walker, 2026",987,4.55681,,,,,,4.76796,-4.43,Mg-Cl,4.55681,2.38397,1.96978,3.33232,0.07777,4.07109,0.24159,-15.84391,372.51974,14.41908,50.82833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,"Wei, 2022",1023,2.74659,,,,,,3.52027,-21.98,Ca-Cl,2.89151,2.62021,0.30433,3.8782,0.01377,4.898,0.01464,-15.20618,240.62489,18.8111,35.7654,0.44983,Mg-Cl,2.27532,1.98004,1.16212,2.81375,0.00174,3.95264,0.04529,-20.29217,402.19624,14.41908,52.81414,0.49451,Na-Cl,2.98344,2.65743,0.50694,3.97497,0.11914,4.28017,0.10951,-8.73038,115.55399,13.94577,28.78533,0.32471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0CaCl2,"Bu, 2021",1100,4.75167,,,,,,7.72598,-38.5,Ca-Cl,4.75167,2.70371,1.31894,3.95616,0.12393,4.53766,0.26751,-13.98951,224.00786,18.8111,34.50837,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0ThF4,"Dai, 2015",1633,4.21822,,,,,,0,,Th-F,4.21822,2.23615,1.02821,3.15925,0.05707,4.3768,0.12491,-22.8924,551.86332,17.5606,56.05909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0UF4,"OcadizFlores, 2021",1357,4.19622,,,,,,0,,U-F,4.19622,2.18397,1.08594,2.99799,0.04886,4.28355,0.12934,-19.63951,562.42338,17.59412,56.53897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0SrCl2,"McGreevy, 1987",1198,4.58459,,,,,,6.408743,-28.46,Sr-Cl,4.58459,2.90019,0.91166,3.88504,0.14444,5.73926,0.16784,-11.55714,89.21377,25.23872,18.80106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64NaCl-0.36UCl3,"Andersson, 2022",1250,3.02621,,,,,,2.5393,19.18,Na-Cl,3.09194,2.65778,0.58913,4.24622,0.12733,4.56114,0.1,-11.1216,126.56997,13.94577,30.12619,0.28764,U-Cl,2.90937,2.77544,0.69311,4.08357,0.03029,4.69956,0.0344,-18.79079,294.39365,30.85476,30.88895,0.51136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",1473,3.22617,,,,,,2.63857,22.27,Li-F,3.42519,1.81931,0.88914,2.93737,0.09569,0,0,-17.25091,366.70622,5.08315,84.93613,0.12052,Na-F,2.92763,2.19106,0.39081,3.37671,0.08474,0,0,-12.14897,223.92575,10.40219,46.39697,0.18077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiF-0.5BeF2,"Sun, 2024",900,nan,,,,,,0,,Be-F,nan,1.53366,1.66556,2.25102,0,2.94859,0.14211,-17.22533,710.20643,6.11258,107.79034,nan,Li-F,nan,1.86018,0.52753,2.78532,0.09182,3.21574,0.09273,-8.62204,228.0077,5.08315,66.97429,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.465LiF-0.115NaF-0.42KF,"Frandsen, 2020",873,2.95192,,,,,,2.26059,30.58,K-F,3.12383,2.65008,0.45459,3.8528,0.09233,3.84872,0.11762,-7.79186,101.53742,12.78567,28.18067,0.26193,Li-F,2.78359,1.85098,1.06329,2.84985,0.044,2.84985,0.14054,-13.22081,255.83124,5.08315,70.94309,0.24723,Na-F,3.00473,2.25053,0.17568,3.35133,0.02051,3.44917,0.01016,-10.29318,175.21106,10.40219,41.04104,0.2597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,"NumbersNVE, 2026",738,2.83712,,,,,,0,,K-Cl,3.18715,3.12274,0.59512,4.59504,0.09276,4.5898,0.15372,-7.27585,66.60476,18.59244,18.92712,0.5,Li-Cl,2.48709,2.28442,1.09787,3.54714,0.06108,3.38471,0.14079,-11.0334,197.63688,5.8038,58.35497,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,"NumbersNVT, 2026",738,2.83741,,,,,,0,,K-Cl,3.18672,3.12274,0.59242,4.64743,0.09315,4.59504,0.15665,-7.24795,65.83719,18.59244,18.81774,0.5,Li-Cl,2.48811,2.28442,1.09322,3.59429,0.05868,3.38471,0.13996,-11.00734,192.70646,5.8038,57.62249,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.41KCl-0.38MgCl2,Trajectory,680,4.635361317,4.635361317,2.783344405,3.143439447,3.135990555,2.814766081,,,K-Cl,4.790221284,3.17625,0.447257925,4.64625,0.077810044,,,,,,,0,Mg-Cl,4.556819068,2.33625,1.203862542,3.33375,0.025611898,,,,,,,0,Na-Cl,4.475139736,2.70375,0.280611856,4.17375,0.037900625,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25LiCl-0.75KCl,Trajectory,934,4.591933066,4.591933066,3.309531205,3.932590699,3.929159188,3.368599042,,,K-Cl,4.686836976,3.07125,0.893434849,4.59375,0.132015003,,,,,,,0,Li-Cl,4.307221335,2.28375,0.575298401,3.70125,0.027258189,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.275NaCl-0.325KCl-0.40MgCl2,Trajectory,700,4.561166272,4.561166272,2.738020842,3.042882849,3.036630678,2.764864402,,,K-Cl,4.682943636,3.17625,0.339250782,4.64625,0.063965922,,,,,,,0,Mg-Cl,4.553025416,2.33625,1.246976975,3.33375,0.027402768,,,,,,,0,Na-Cl,4.429088814,2.70375,0.357985803,4.22625,0.050926819,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2839NaCl-0.2725KCl-0.4436MgCl2,Trajectory,680,4.571135986,4.571135986,2.743223694,3.060108726,3.053529823,2.778115274,,,K-Cl,4.662701109,3.17625,0.272818498,4.54125,0.052105561,,,,,,,0,Mg-Cl,4.637147713,2.38875,1.297130895,3.33375,0.032068081,,,,,,,0,Na-Cl,4.380102884,2.70375,0.354416572,4.12125,0.053246451,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33NaCl-0.22KCl-0.45MgCl2,Trajectory,750,4.512136987,4.512136987,2.739335084,3.052420618,3.047077728,2.773871617,,,K-Cl,4.495739461,3.17625,0.20960905,4.59375,0.044779542,,,,,,,0,Mg-Cl,4.615425428,2.38875,1.250149031,3.49125,0.035720237,,,,,,,0,Na-Cl,4.382220796,2.75625,0.393126731,4.12125,0.063112304,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43KCl-0.57MgCl2,Trajectory,750,4.549588958,4.549588958,2.945381577,3.49437398,3.486959169,3.048098305,,,K-Cl,4.455658399,3.17625,0.396154488,4.80375,0.087903464,,,,,,,0,Mg-Cl,4.620448854,2.38875,1.519265524,3.43875,0.042059408,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,Trajectory,800,4.67348544,4.67348544,2.839312311,2.91199158,2.911431027,2.852279269,,,Ca-Cl,5.086508948,2.70375,1.006373852,3.80625,0.044950435,,,,,,,0,Na-Cl,4.244119579,2.70375,0.53026415,4.22625,0.091251368,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535LiCl-0.086NaCl-0.379KCl,Trajectory,650,4.519400044,4.519400044,2.813692127,3.484793668,3.476412405,2.879312088,,,K-Cl,4.670882957,3.12375,0.450110803,4.64625,0.069664472,,,,,,,0,Li-Cl,4.386341748,2.33625,1.19087368,3.43875,0.06211062,,,,,,,0,Na-Cl,4.679564752,2.70375,0.139338075,4.12125,0.01324002,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,Trajectory,855,4.434761011,4.434761011,2.705916866,2.894222211,2.891533244,2.721764101,,,Ca-Cl,5.025659518,2.70375,0.282423643,3.91125,0.015055652,,,,,,,0,Mg-Cl,4.583768952,2.38875,0.785489513,3.38625,0.026861095,,,,,,,0,Na-Cl,4.181354885,2.75625,0.565181454,4.17375,0.10857392,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56NaCl-0.44MgCl2,Trajectory,750,4.379320717,4.379320717,2.712129308,3.102657549,3.096146657,2.754680224,,,Mg-Cl,4.602413285,2.38875,1.101113676,3.38625,0.034005357,,,,,,,0,Na-Cl,4.204033699,2.70375,0.603337474,4.17375,0.107832921,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56NaCl-0.44MgCl2,Trajectory,760,4.401461764,4.401461764,2.7364767,3.128767092,3.122456859,2.779162007,,,Mg-Cl,4.608067897,2.38875,1.135741754,3.43875,0.033934568,,,,,,,0,Na-Cl,4.239128373,2.75625,0.602597699,4.17375,0.110428101,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,Trajectory,738,4.5008788,4.5008788,2.838437179,3.66684952,3.659353608,2.920191659,,,K-Cl,4.622484717,3.07125,0.594495358,4.69875,0.091007915,,,,,,,0,Li-Cl,4.379272883,2.33625,1.096689088,3.64875,0.057212719,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,Trajectory,760,4.433732473,4.433732473,2.837801698,3.601866458,3.59504908,2.914317885,,,K-Cl,4.576258975,3.12375,0.587987048,4.59375,0.09415488,,,,,,,0,Li-Cl,4.291205971,2.28375,1.090108856,3.54375,0.057397435,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,Trajectory,938,4.287578552,4.287578552,2.805668345,3.442032542,3.438054556,2.873710654,,,K-Cl,4.360258017,3.07125,0.551694598,4.69875,0.101149663,,,,,,,0,Li-Cl,4.214899086,2.28375,1.03681611,3.59625,0.068605431,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,Trajectory,1130,4.528286259,4.528286259,2.961276538,3.016517231,3.016386853,2.972653165,,,K-Cl,4.522952331,3.07125,0.564757564,4.80375,0.096988257,,,,,,,0,Na-Cl,4.533620186,2.65125,0.758377518,4.22625,0.083987094,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,Trajectory,930,4.74265179,4.74265179,2.994142679,3.057922309,3.057696879,3.007123199,,,K-Cl,4.775987679,3.07125,0.609664558,4.75125,0.08872998,,,,,,,0,Na-Cl,4.7093159,2.70375,0.795792963,4.17375,0.076417108,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,Trajectory,950,4.682269303,4.682269303,2.946844734,3.011739643,3.011524992,2.960282129,,,K-Cl,4.720205086,3.01875,0.594492573,4.75125,0.087755224,,,,,,,0,Na-Cl,4.644333521,2.65125,0.801381524,4.22625,0.075814282,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60LiCl-0.40MgCl2,Trajectory,870,4.146597313,4.146597313,2.575808982,2.603800926,2.603618386,2.580435517,,,Li-Cl,3.876570718,2.33625,0.764674748,3.59625,0.115361237,,,,,,,0,Mg-Cl,4.551637204,2.38875,0.901885514,3.33375,0.035936553,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68KCl-0.32MgCl2,Trajectory,903,4.578936985,4.578936985,3.102116576,3.697523146,3.691910804,3.165901615,,,K-Cl,4.564805557,3.12375,0.709415894,4.59375,0.138255928,,,,,,,0,Mg-Cl,4.60896627,2.33625,1.184247856,3.28125,0.013812945,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00CsCl,Trajectory,935,5.472219001,5.472219001,5.472219001,5.472219001,5.472219001,5.472219001,,,Cs-Cl,5.472219001,3.38625,1.21451042,5.22375,0.151699939,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00KCl,Trajectory,1060,4.918755643,4.918755643,4.918755643,4.918755643,4.918755643,4.918755643,,,K-Cl,4.918755643,3.01875,1.184777355,4.69875,0.152996595,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00LiCl,Trajectory,900,4.126113455,4.126113455,4.126113455,4.126113455,4.126113455,4.126113455,,,Li-Cl,4.126113455,2.33625,1.344653207,3.49125,0.169429767,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00MgCl2,Trajectory,1000,4.566354841,4.566354841,4.566354841,4.566354841,4.566354841,4.566354841,,,Mg-Cl,4.566354841,2.38875,1.983629106,3.33375,0.077359164,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00NaCl,Trajectory,1090,4.419755488,4.419755488,4.419755488,4.419755488,4.419755488,4.419755488,,,Na-Cl,4.419755488,2.65125,1.188143449,4.12125,0.167008551,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00RbCl,Trajectory,1015,5.16211872,5.16211872,5.16211872,5.16211872,5.16211872,5.16211872,,,Rb-Cl,5.16211872,3.22875,1.197770998,4.90875,0.154074836,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-6_1.00LiCl,Trajectory,900,4.126113455,4.126113455,4.126113455,4.126113455,4.126113455,4.126113455,,,Li-Cl,4.126113455,2.33625,1.344653207,3.49125,0.169429767,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-7_1.00LiCl,Trajectory,900,4.120433913,4.120433913,4.120433913,4.120433913,4.120433913,4.120433913,,,Li-Cl,4.120433913,2.33625,1.344492235,3.54375,0.168680759,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
