r (A),g(r)_weighted_Li-F,g(r)_weighted_F-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.0028162733811905954,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.005632546762381191,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.008448820143571786,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.011265093524762381,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.014081366905952977,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.01689764028714357,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.01971391366833417,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.022530187049524763,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.025346460430715357,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.028162733811905954,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.03097900719309655,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.03379528057428714,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.03661155395547774,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.03942782733666834,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.04224410071785893,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.045060374099049526,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.04787664748024012,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.050692920861430714,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.053509194242621315,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.05632546762381191,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.0591417410050025,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.0619580143861931,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.0647742877673837,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.06759056114857429,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.07040683452976489,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.07322310791095547,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.07603938129214607,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.07885565467333668,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.08167192805452726,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.08448820143571786,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.08730447481690845,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.09012074819809905,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.09293702157928965,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.09575329496048024,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.09856956834167084,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.10138584172286143,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.10420211510405203,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.10701838848524263,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.10983466186643322,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.11265093524762382,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.1154672086288144,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.118283482010005,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.12109975539119561,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.1239160287723862,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.12673230215357678,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.1295485755347674,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.13236484891595798,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.13518112229714857,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.13799739567833919,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
