r (A),g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,1.0,4.543788176253528,4.48028
0.007970645927963982,0.0,0.00010039032104578903,1.0,4.543788176253528,4.48028
0.015941291855927964,0.0,0.00020078064209157805,1.0,4.543788176253528,4.48028
0.023911937783891946,0.0,0.0003011709631373671,1.0,4.543788176253528,4.48028
0.03188258371185593,0.0,0.0004015612841831561,1.0,4.543788176253528,4.48028
0.03985322963981991,0.0,0.0005019516052289451,1.0,4.543788176253528,4.48028
0.04782387556778389,0.0,0.0006023419262747342,1.0,4.543788176253528,4.48028
0.05579452149574787,0.0,0.0007027322473205232,1.0,4.543788176253528,4.48028
0.06376516742371185,0.0,0.0008031225683663122,1.0,4.543788176253528,4.48028
0.07173581335167584,0.0,0.0009035128894121012,1.0,4.543788176253528,4.48028
0.07970645927963982,0.0,0.0010039032104578903,1.0,4.543788176253528,4.48028
0.0876771052076038,0.0,0.0011042935315036793,1.0,4.543788176253528,4.48028
0.09564775113556778,0.0,0.0012046838525494683,1.0,4.543788176253528,4.48028
0.10361839706353176,0.0,0.0013050741735952573,1.0,4.543788176253528,4.48028
0.11158904299149575,0.0,0.0014054644946410464,1.0,4.543788176253528,4.48028
0.11955968891945973,0.0,0.0015058548156868354,1.0,4.543788176253528,4.48028
0.1275303348474237,0.0,0.0016062451367326244,1.0,4.543788176253528,4.48028
0.1355009807753877,0.0,0.0017066354577784134,1.0,4.543788176253528,4.48028
0.14347162670335167,0.0,0.0017429830396976094,1.0,4.543788176253528,4.48028
0.15144227263131566,0.0,0.0017417324845743652,1.0,4.543788176253528,4.48028
0.15941291855927964,0.0,0.0017404819294511208,1.0,4.543788176253528,4.48028
0.16738356448724362,0.0,0.0017392313743278764,1.0,4.543788176253528,4.48028
0.1753542104152076,0.0,0.0017379808192046322,1.0,4.543788176253528,4.48028
0.18332485634317158,0.0,0.0017367302640813877,1.0,4.543788176253528,4.48028
0.19129550227113556,0.0,0.0017354797089581433,1.0,4.543788176253528,4.48028
0.19926614819909955,0.0,0.0017342291538348991,1.0,4.543788176253528,4.48028
0.20723679412706353,0.0,0.0017329785987116547,1.0,4.543788176253528,4.48028
0.2152074400550275,0.0,0.0017317280435884103,1.0,4.543788176253528,4.48028
0.2231780859829915,0.0,0.0017304774884651661,1.0,4.543788176253528,4.48028
0.23114873191095547,0.0,0.0017292269333419215,1.0,4.543788176253528,4.48028
0.23911937783891946,0.0,0.001727976378218677,1.0,4.543788176253528,4.48028
0.24709002376688344,0.0,0.0017267258230954327,1.0,4.543788176253528,4.48028
0.2550606696948474,0.0,0.0017254752679721885,1.0,4.543788176253528,4.48028
0.2630313156228114,0.0,0.001724224712848944,1.0,4.543788176253528,4.48028
0.2710019615507754,0.0,0.0017229741577256996,1.0,4.543788176253528,4.48028
0.27897260747873937,0.0,0.0017217236026024554,1.0,4.543788176253528,4.48028
0.28694325340670335,0.0,0.0017204730474743443,1.0,4.543788176253528,4.48028
0.29491389933466733,0.0,0.0017192224923424171,1.0,4.543788176253528,4.48028
0.3028845452626313,0.0,0.0017179719372104898,1.0,4.543788176253528,4.48028
0.3108551911905953,0.0,0.0017167213820785626,1.0,4.543788176253528,4.48028
0.3188258371185593,0.0,0.0017154708269466355,1.0,4.543788176253528,4.48028
0.32679648304652326,0.0,0.0017142202718147081,1.0,4.543788176253528,4.48028
0.33476712897448724,0.0,0.001712969716682781,1.0,4.543788176253528,4.48028
0.3427377749024512,0.0,0.0017117191615508539,1.0,4.543788176253528,4.48028
0.3507084208304152,0.0,0.0017104686064189265,1.0,4.543788176253528,4.48028
0.3586790667583792,0.0,0.0017092180512869994,1.0,4.543788176253528,4.48028
0.36664971268634317,0.0,0.0017079674961550722,1.0,4.543788176253528,4.48028
0.37462035861430715,0.0,0.0017067169410231449,1.0,4.543788176253528,4.48028
0.38259100454227113,0.0,0.0017054663858912177,1.0,4.543788176253528,4.48028
0.3905616504702351,0.0,0.0017042158307592906,1.0,4.543788176253528,4.48028
0.3985322963981991,0.0,0.0017029652756273632,1.0,4.543788176253528,4.48028
0.4065029423261631,0.0,0.001701714720495436,1.0,4.543788176253528,4.48028
0.41447358825412706,0.0,0.001700464165363509,1.0,4.543788176253528,4.48028
0.42244423418209104,0.0,0.0016992136102315816,1.0,4.543788176253528,4.48028
0.430414880110055,0.0,0.0016979630641603537,1.0,4.543788176253528,4.48028
0.438385526038019,0.0,0.001696712527484324,1.0,4.543788176253528,4.48028
0.446356171965983,0.0,0.001695461990808294,1.0,4.543788176253528,4.48028
0.45432681789394697,0.0,0.0016942114541322643,1.0,4.543788176253528,4.48028
0.46229746382191095,0.0,0.0016929609174562348,1.0,4.543788176253528,4.48028
0.47026810974987493,0.0,0.001691710380780205,1.0,4.543788176253528,4.48028
0.4782387556778389,0.0,0.001690459844104175,1.0,4.543788176253528,4.48028
0.4862094016058029,0.0,0.0016892093074281453,1.0,4.543788176253528,4.48028
0.4941800475337669,0.0,0.0016879587707521156,1.0,4.543788176253528,4.48028
0.5021506934617308,0.0,0.0016867082340760856,1.0,4.543788176253528,4.48028
0.5101213393896948,0.0,0.001685457697400056,1.0,4.543788176253528,4.48028
0.5180919853176589,0.0,0.0016842071607240262,1.0,4.543788176253528,4.48028
0.5260626312456228,0.0,0.0016829566240479962,1.0,4.543788176253528,4.48028
0.5340332771735867,0.0,0.0016817060873719665,1.0,4.543788176253528,4.48028
0.5420039231015508,0.0,0.0016804555506959367,1.0,4.543788176253528,4.48028
