r (A),g(r)_weighted_Li-Li,g(r)_weighted_Ca-Li,g(r)_weighted_Li-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Cl-Cl,S_i_Li-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.0049475287094096505,0.0,1.5289025678026097e-05,0.0,7.113037184490825e-06,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.009895057418819301,0.0,3.0578051356052194e-05,0.0,1.422607436898165e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.014842586128228951,0.0,4.586707703407829e-05,0.0,2.1339111553472477e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.019790114837638602,0.0,6.115610271210439e-05,0.0,2.84521487379633e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.02473764354704825,0.0,7.644512839013048e-05,0.0,3.5565185922454125e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.029685172256457903,0.0,9.173415406815657e-05,0.0,4.2678223106944954e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.034632700965867555,0.0,0.00010702317974618268,0.0,4.979126029143578e-05,0.0,0.0,1.0,1.0,2.7701897594140767,0
0.039580229675277204,0.0,0.00012231220542420878,0.0,5.69042974759266e-05,0.00021008948883192622,0.0,1.0,1.0,2.7701897594140767,0
0.04452775838468685,0.0,0.00013760123110223487,0.0,6.401733466041741e-05,0.000222382041973749,0.0,1.0,1.0,2.7701897594140767,0
0.0494752870940965,0.0,0.00015289025678026096,0.0,7.113037184490825e-05,0.0002346745951155718,0.0,1.0,1.0,2.7701897594140767,0
0.05442281580350616,0.0,0.00016817928245828708,0.0,7.824340902939909e-05,0.0002469671482573946,0.0,1.0,1.0,2.7701897594140767,0
0.059370344512915806,0.0,0.00018346830813631315,0.0,8.535644621388991e-05,0.0002592597013992174,0.0,1.0,1.0,2.7701897594140767,0
0.06431787322232546,0.0,0.00019875733381433927,0.0017625015148497439,9.246948339838073e-05,0.00027155225454104025,0.0,1.0,1.0,2.7701897594140767,0
0.06926540193173511,0.0,0.00021404635949236536,0.0017607347829936189,9.958252058287157e-05,0.00028384480768286303,0.0,1.0,1.0,2.7701897594140767,0
0.07421293064114476,0.0,0.00022933538517039148,0.0017589680511374938,0.00010669555776736237,0.0002961373608246858,0.0,1.0,1.0,2.7701897594140767,0
0.07916045935055441,0.0,0.00024462441084841755,0.0017572013192813686,0.0001138085949518532,0.0003084299139665086,0.0,1.0,1.0,2.7701897594140767,0
0.08410798805996406,0.0,0.00025991343652644364,0.0017554345874252436,0.00012092163213634403,0.0003207224671083314,0.0,1.0,1.0,2.7701897594140767,0
0.0890555167693737,0.0,0.00027520246220446974,0.0017536678555691186,0.00012803466932083483,0.0003330150202501542,0.008417804581667689,1.0,1.0,2.7701897594140767,0
0.09400304547878335,0.0,0.00029049148788249583,0.0017519011237129936,0.00013514770650532566,0.00034530757339197696,0.008414523508220605,1.0,1.0,2.7701897594140767,0
0.098950574188193,0.0,0.0003057805135605219,0.0017501343918568685,0.0001422607436898165,0.0003576001265337998,0.008411242434773519,1.0,1.0,2.7701897594140767,0
0.10389810289760266,0.0,0.00032106953923854807,0.0017483676600007433,0.00014937378087430734,0.0003698926796756226,0.008407961361326433,1.0,1.0,2.7701897594140767,0
0.10884563160701231,0.0,0.00033635856491657417,0.0017466009281446183,0.00015648681805879817,0.0003821852328174454,0.008404680287879348,1.0,1.0,2.7701897594140767,0
0.11379316031642196,0.0,0.0003516475905946002,0.0017448341962884933,0.00016359985524328898,0.0003944777859592682,0.008401399214432264,1.0,1.0,2.7701897594140767,0
0.11874068902583161,0.0,0.0003669366162726263,0.001743067464432368,0.00017071289242777982,0.000406770339101091,0.008398118140985178,1.0,1.0,2.7701897594140767,0
0.12368821773524126,0.0,0.0003822256419506524,0.001741300732576243,0.0001722165559690663,0.00041906289224291377,0.008394837067538094,1.0,1.0,2.7701897594140767,0
0.12863574644465092,0.0,0.00039751466762867854,0.0017395340007201178,0.00017204182424703196,0.0004246238245935198,0.008391555994091008,1.0,1.0,2.7701897594140767,0
0.13358327515406057,0.0,0.0003906743178285748,0.0017377672688639928,0.0001718670925249976,0.00042386665379803867,0.008388274920643922,1.0,1.0,2.7701897594140767,0
0.13853080386347022,0.0,0.0003764773654132648,0.0017360005370078678,0.00017169236080296325,0.0004231094830025575,0.008384993847196837,1.0,1.0,2.7701897594140767,0
0.14347833257287987,0.0,0.00036228041299795493,0.0017342338051517428,0.00017151762908092891,0.00042235231220707635,0.008381712773749753,1.0,1.0,2.7701897594140767,0
0.14842586128228952,0.0,0.000348083460582645,0.0017324670732956177,0.00017134289735889455,0.0004215951414115951,0.008378431700302667,1.0,1.0,2.7701897594140767,0
