r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,1.0,1.0,2.692709838088354,0
0.003940102376188095,0.0,0.0,1.0,1.0,2.692709838088354,0
0.00788020475237619,0.0,0.0,1.0,1.0,2.692709838088354,0
0.011820307128564283,0.0,0.0,1.0,1.0,2.692709838088354,0
0.01576040950475238,0.0,0.0,1.0,1.0,2.692709838088354,0
0.019700511880940474,0.0,0.0,1.0,1.0,2.692709838088354,0
0.023640614257128566,0.0,0.0,1.0,1.0,2.692709838088354,0
0.02758071663331666,0.0,0.0,1.0,1.0,2.692709838088354,0
0.03152081900950476,0.0,0.0,1.0,1.0,2.692709838088354,0
0.03546092138569285,0.0,0.0,1.0,1.0,2.692709838088354,0
0.03940102376188095,0.0,0.0,1.0,1.0,2.692709838088354,0
0.04334112613806904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.04728122851425713,0.0,0.0,1.0,1.0,2.692709838088354,0
0.05122133089044523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.05516143326663332,0.0,0.0,1.0,1.0,2.692709838088354,0
0.05910153564282142,0.0,0.0,1.0,1.0,2.692709838088354,0
0.06304163801900951,0.0,0.0,1.0,1.0,2.692709838088354,0
0.06698174039519761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0709218427713857,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0748619451475738,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0788020475237619,0.0,0.0,1.0,1.0,2.692709838088354,0
0.08274214989994999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.08668225227613809,0.0,0.0,1.0,1.0,2.692709838088354,0
0.09062235465232618,0.0,0.0,1.0,1.0,2.692709838088354,0
0.09456245702851426,0.0,0.0,1.0,1.0,2.692709838088354,0
0.09850255940470236,0.0,0.0,1.0,1.0,2.692709838088354,0
0.10244266178089045,0.0,0.0,1.0,1.0,2.692709838088354,0
