r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.007445605812906453,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.014891211625812906,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.02233681743871936,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.029782423251625813,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.037228029064532264,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.04467363487743872,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.052119240690345174,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.059564846503251626,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.06701045231615808,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.07445605812906453,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.08190166394197099,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.08934726975487745,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.09679287556778389,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.10423848138069035,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.11168408719359679,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.11912969300650325,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.1265752988194097,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.13402090463231617,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.1414665104452226,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.14891211625812906,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.15635772207103552,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.16380332788394197,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.17124893369684843,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.1786945395097549,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.18614014532266132,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.19358575113556778,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.20103135694847424,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2084769627613807,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.21592256857428715,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.22336817438719359,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.23081378020010004,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2382593860130065,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.24570499182591296,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2531505976388194,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.26059620345172585,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.26804180926463234,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.27548741507753877,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2829330208904452,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2903786267033517,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.2978242325162581,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.3052698383291646,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.31271544414207103,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.32016104995497746,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.32760665576788395,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.3350522615807904,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.34249786739369686,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.3499434732066033,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.3573890790195098,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.3648346848324162,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.37228029064532264,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.37972589645822913,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.38717150227113556,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.39461710808404205,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4020627138969485,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4095083197098549,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4169539255227614,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4243995313356678,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4318451371485743,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.43929074296148074,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.44673634877438717,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.45418195458729366,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4616275604002001,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4690731662131066,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.476518772026013,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.48396437783891944,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.4914099836518259,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.49885558946473235,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5063011952776388,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5137468010905453,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5211924069034517,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5286380127163581,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5360836185292647,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5435292243421711,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5509748301550775,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.558420435967984,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5658660417808904,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5733116475937969,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5807572534067034,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5882028592196098,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.5956484650325162,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6030940708454227,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6105396766583292,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6179852824712356,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6254308882841421,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6328764940970485,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6403220999099549,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6477677057228615,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6552133115357679,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6626589173486743,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6701045231615808,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6775501289744872,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6849957347873937,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6924413406003002,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.6998869464132066,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.707332552226113,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7147781580390196,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.722223763851926,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7296693696648324,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7371149754777389,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7445605812906453,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7520061871035518,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7594517929164583,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7668973987293647,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7743430045422711,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7817886103551775,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7892342161680841,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.7966798219809905,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.804125427793897,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8115710336068034,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8190166394197098,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8264622452326164,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8339078510455228,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8413534568584292,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8487990626713356,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8562446684842421,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8636902742971486,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.871135880110055,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8785814859229615,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8860270917358679,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.8934726975487743,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9009183033616809,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9083639091745873,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9158095149874937,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9232551208004002,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9307007266133066,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9381463324262131,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9455919382391196,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.953037544052026,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9604831498649324,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9679287556778389,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9753743614907454,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9828199673036518,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9902655731165583,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
0.9977111789294647,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0051567847423712,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0126023905552777,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.020047996368184,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0274936021810905,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.034939207993997,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0423848138069034,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0498304196198098,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0572760254327163,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.064721631245623,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0721672370585293,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0796128428714358,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0870584486843422,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.0945040544972486,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.101949660310155,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1093952661230615,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.116840871935968,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1242864777488744,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1317320835617808,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1391776893746874,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1466232951875939,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
