r (A),g(r)_weighted_U-Cl,g(r)_weighted_U-U,g(r)_weighted_K-U,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_U-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.20340446334767384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.20731608764282142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.211227711937969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.21513933623311657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.21905096052826412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2229625848234117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.22687420911855927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.23078583341370684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.23469745770885442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.238609082004002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.24252070629914957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.24643233059429714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2503439548894447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2542555791845923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.25816720347973987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.26207882777488745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.265990452070035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2699020763651826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2738137006603302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.27772532495547775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2816369492506253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2855485735457729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2894601978409205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
