r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.32509888380190094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.3324874947973987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.33987610579289645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.3472647167883942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.3546533277838919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.36204193877938967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.36943054977488743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.3768191607703852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.38420777176588294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.3915963827613807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.39898499375687846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.40637360475237616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4137622157478739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4211508267433717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.42853943773886943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4359280487343672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.44331665972986495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.45070527072536265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4580938817208604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.46548249271635816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4728711037118559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4802597147073537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.48764832570285144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.4950369366983492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.502425547693847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5098141586893447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5172027696848425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5245913806803402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5319799916758379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5393686026713357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5467572136668334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5541458246623312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5615344356578289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5689230466533266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5763116576488244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5837002686443221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5910888796398199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.5984774906353176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6058661016308154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6132547126263131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6206433236218108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6280319346173087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6354205456128064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6428091566083042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6501977676038019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6575863785992997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6649749895947974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6723636005902951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6797522115857929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6871408225812906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.6945294335767884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7019180445722861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7093066555677838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7166952665632816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7240838775587793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7314724885542772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7388610995497749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7462497105452727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7536383215407704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7610269325362681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7684155435317659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7758041545272636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7831927655227614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7905813765182591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.7979699875137569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8053585985092546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8127472095047523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8201358205002501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8275244314957478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8349130424912456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8423016534867434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8496902644822412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8570788754777389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8644674864732366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8718560974687344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8792447084642321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8866333194597299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.8940219304552276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9014105414507253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9087991524462231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9161877634417208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9235763744372186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9309649854327163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
