r (A),g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.005138771490745373,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.010277542981490745,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.015416314472236119,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.02055508596298149,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.025693857453726862,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.030832628944472237,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.035971400435217606,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.04111017192596298,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.046248943416708356,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.051387714907453724,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.0565264863981991,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.061665257888944475,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.06680402937968985,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.07194280087043521,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.07708157236118059,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.08222034385192596,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.08735911534267134,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.09249788683341671,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.09763665832416207,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.10277542981490745,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.10791420130565282,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.1130529727963982,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.11819174428714357,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.12333051577788895,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.12846928726863432,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.1336080587593797,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.13874683025012505,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.14388560174087042,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.1490243732316158,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.15416314472236117,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.15930191621310655,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.16444068770385192,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.1695794591945973,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.17471823068534267,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.17985700217608805,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.18499577366683342,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.1901345451575788,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.19527331664832415,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.20041208813906952,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
