r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.004962725703851926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.009925451407703852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.014888177111555777,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.019850902815407703,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.02481362851925963,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.029776354223111555,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.034739079926963484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.03970180563081541,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.04466453133466733,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.04962725703851926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.05458998274237119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.05955270844622311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.06451543415007503,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.06947815985392697,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.07444088555777889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.07940361126163081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.08436633696548274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.08932906266933466,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.0942917883731866,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.09925451407703852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.10421723978089044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.10917996548474238,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.1141426911885943,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.11910541689244622,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.12406814259629814,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.12903086830015006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.133993594004002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.13895631970785394,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.14391904541170586,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.14888177111555778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.1538444968194097,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.15880722252326163,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.16376994822711355,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.16873267393096547,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.1736953996348174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.17865812533866932,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.18362085104252127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.1885835767463732,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.1935463024502251,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.19850902815407703,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.20347175385792896,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.20843447956178088,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2133972052656328,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.21835993096948475,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.22332265667333667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2282853823771886,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.23324810808104052,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.23821083378489244,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.24317355948874436,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.24813628519259628,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2530990108964482,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.25806173660030013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.26302446230415205,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.267987188008004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2729499137118559,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2779126394157079,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2828753651195598,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.2878380908234117,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.29280081652726364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.29776354223111556,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3027262679349675,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3076889936388194,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.31265171934267133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.31761444504652325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3225771707503752,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3275398964542271,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.332502622158079,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.33746534786193094,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.34242807356578286,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3473907992696348,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3523535249734867,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.35731625067733863,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3622789763811906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.36724170208504253,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.37220442778889445,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3771671534927464,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3821298791965983,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.3870926049004502,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.39205533060430214,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.39701805630815407,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.401980782012006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4069435077158579,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.41190623341970983,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.41686895912356176,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4218316848274137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4267944105312656,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4317571362351175,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4367198619389695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4416825876428214,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.44664531334667334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.45160803905052527,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4565707647543772,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4615334904582291,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.46649621616208103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.47145894186593296,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4764216675697849,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4813843932736368,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.4863471189774887,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.49130984468134065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.49627257038519257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5012352960890445,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5061980217928964,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5111607474967483,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5161234732006003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5210861989044522,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5260489246083041,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.531011650312156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.535974376016008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5409371017198599,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5458998274237118,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5508625531275637,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5558252788314157,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5607880045352677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5657507302391196,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5707134559429715,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5756761816468234,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5806389073506754,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5856016330545273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5905643587583792,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.5955270844622311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.600489810166083,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.605452535869935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6104152615737869,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6153779872776388,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6203407129814907,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6253034386853427,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6302661643891946,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6352288900930465,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6401916157968984,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6451543415007504,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
