r (A),g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Cl-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
11.827141088464233,0.35049267487700414,0.3187171333333333,0.3127717854853959,8.269321503244193e-05,4.2644764101541295,4.10511
11.834114638634317,0.3506927157266365,0.3187171333333333,0.31272404846967733,8.269321503244193e-05,4.2644764101541295,4.10511
11.841088188804402,0.350892756576269,0.3187171333333333,0.31267631145395874,8.269321503244193e-05,4.2644764101541295,4.10511
11.848061738974488,0.3510927974259015,0.3187171333333333,0.31262857443824016,8.269321503244193e-05,4.2644764101541295,4.10511
11.855035289144572,0.35129283827553387,0.3187171333333333,0.3125808374225216,8.269321503244193e-05,4.2644764101541295,4.10511
11.862008839314658,0.35149287912516625,0.3187171333333333,0.312533100406803,7.142586431967716e-06,4.2644764101541295,4.10511
11.868982389484742,0.3516929199747987,0.3187171333333333,0.3124853633910844,7.142586431967716e-06,4.2644764101541295,4.10511
11.875955939654828,0.3518929608244311,0.3187171333333333,0.3124376263753658,7.142586431967716e-06,4.2644764101541295,4.10511
11.882929489824912,0.35209300167406354,0.3187171333333333,0.31238988935964723,7.142586431967716e-06,4.2644764101541295,4.10511
11.889903039994998,0.3522930425236959,0.3187171333333333,0.31234215234392865,7.142586431967716e-06,4.2644764101541295,4.10511
11.896876590165082,0.3524930833733283,0.3187171333333333,0.31229441532821006,7.142586431967716e-06,4.2644764101541295,4.10511
11.903850140335168,0.3526931242229608,0.3187171333333333,0.3122466783124915,7.142586431967716e-06,4.2644764101541295,4.10511
11.910823690505254,0.3528931650725933,0.3187171333333333,0.3121989412967729,7.142586431967716e-06,4.2644764101541295,4.10511
11.917797240675338,0.35309320592222565,0.3187171333333333,0.3121512042810543,7.142586431967716e-06,4.2644764101541295,4.10511
11.924770790845423,0.353293246771858,0.3187171333333333,0.3121034672653357,7.142586431967716e-06,4.2644764101541295,4.10511
11.931744341015508,0.35349328762149046,0.3187171333333333,0.31205573024961714,7.142586431967716e-06,4.2644764101541295,4.10511
11.938717891185593,0.3536933284711229,0.3187171333333333,0.31200799323389855,7.142586431967716e-06,4.2644764101541295,4.10511
11.945691441355677,0.3538933693207553,0.3187171333333333,0.31196025621817997,7.142586431967716e-06,4.2644764101541295,4.10511
11.952664991525763,0.3540934101703877,0.3187171333333333,0.3119542914642052,7.142586431967716e-06,4.2644764101541295,4.10511
11.959638541695847,0.3542934510200201,0.3187171333333333,0.3120020284799238,7.142586431967716e-06,4.2644764101541295,4.10511
11.966612091865933,0.35449349186965257,0.3187171333333333,0.3120497654956424,7.142586431967716e-06,4.2644764101541295,4.10511
11.973585642036019,0.35469353271928505,0.3187171333333333,0.312097502511361,7.142586431967716e-06,4.2644764101541295,4.10511
11.980559192206103,0.3545942846622943,0.3187171333333333,0.31214523952707957,7.142586431967716e-06,4.2644764101541295,4.10511
11.987532742376189,0.3544017453465485,0.3187171333333333,0.31219297654279815,7.142586431967716e-06,4.2644764101541295,4.10511
11.994506292546273,0.35420920603080275,0.3187171333333333,0.31224071355851674,7.142586431967716e-06,4.2644764101541295,4.10511
12.001479842716359,0.35401666671505694,0.3187171333333333,0.3122884505742353,7.142586431967716e-06,4.2644764101541295,4.10511
12.008453392886443,0.35382412739931124,0.3187171333333333,0.3123361875899539,7.142586431967716e-06,4.2644764101541295,4.10511
12.015426943056529,0.35363158808356543,0.3187171333333333,0.3123839246056725,7.142586431967716e-06,4.2644764101541295,4.10511
12.022400493226613,0.3534390487678197,0.3187171333333333,0.3124316616213911,7.142586431967716e-06,4.2644764101541295,4.10511
12.029374043396698,0.35324650945207386,0.3187171333333333,0.31247939863710966,7.142586431967716e-06,4.2644764101541295,4.10511
12.036347593566784,0.3530539701363281,0.3187171333333333,0.31252713565282825,7.142586431967716e-06,4.2644764101541295,4.10511
12.043321143736868,0.3528614308205823,0.3187171333333333,0.31257487266854683,7.142586431967716e-06,4.2644764101541295,4.10511
12.050294693906954,0.3526688915048366,0.3187171333333333,0.3126226096842655,7.142586431967716e-06,4.2644764101541295,4.10511
12.057268244077038,0.3524763521890908,0.3187171333333333,0.312670346699984,7.142586431967716e-06,4.2644764101541295,4.10511
12.064241794247124,0.35228381287334504,0.3187171333333333,0.31271808371570264,7.142586431967716e-06,4.2644764101541295,4.10511
12.071215344417208,0.3520912735575992,0.3187171333333333,0.3127658207314212,7.142586431967716e-06,4.2644764101541295,4.10511
12.078188894587294,0.3518987342418535,0.3187171333333333,0.3128135577471398,7.142586431967716e-06,4.2644764101541295,4.10511
12.08516244475738,0.35170619492610766,0.3187171333333333,0.3128612947628584,7.142586431967716e-06,4.2644764101541295,4.10511
12.092135994927464,0.35151365561036185,0.3187171333333333,0.312909031778577,7.142586431967716e-06,4.2644764101541295,4.10511
12.09910954509755,0.35132111629461615,0.3187171333333333,0.31295676879429557,7.142586431967716e-06,4.2644764101541295,4.10511
12.106083095267634,0.35112857697887034,0.31877341363902456,0.31300450581001416,7.142586431967716e-06,4.2644764101541295,4.10511
12.11305664543772,0.3509360376631246,0.3188442146128746,0.31305224282573274,7.142586431967716e-06,4.2644764101541295,4.10511
12.120030195607804,0.3507434983473788,0.31891501558672464,0.3130999798414513,7.142586431967716e-06,4.2644764101541295,4.10511
12.12700374577789,0.350550959031633,0.3189858165605746,0.3131477168571699,7.142586431967716e-06,4.2644764101541295,4.10511
12.133977295947973,0.3503584197158872,0.31905661753442466,0.3131954538728885,7.142586431967716e-06,4.2644764101541295,4.10511
12.14095084611806,0.3501658804001415,0.31912741850827464,0.31328329221618606,7.142586431967716e-06,4.2644764101541295,4.10511
12.147924396288145,0.35000459317667626,0.3191982194821247,0.3134134840871752,7.142586431967716e-06,4.2644764101541295,4.10511
12.15489794645823,0.3499316616109597,0.3192690204559747,0.31354367595816424,7.142586431967716e-06,4.2644764101541295,4.10511
12.161871496628315,0.34985873004524304,0.31933982142982476,0.31367386782915335,7.142586431967716e-06,4.2644764101541295,4.10511
12.168845046798399,0.3497857984795264,0.3194106224036748,0.3138040597001424,7.142586431967716e-06,4.2644764101541295,4.10511
12.175818596968485,0.34971286691380976,0.31948142337752483,0.31393425157113153,7.142586431967716e-06,4.2644764101541295,4.10511
12.182792147138569,0.3496399353480931,0.3195522243513748,0.3140644434421206,7.142586431967716e-06,4.2644764101541295,4.10511
12.189765697308655,0.3495670037823765,0.31962302532522485,0.31419463531310965,7.142586431967716e-06,4.2644764101541295,4.10511
12.196739247478739,0.34949407221665996,0.31969382629907483,0.31432482718409877,7.142586431967716e-06,4.2644764101541295,4.10511
12.203712797648825,0.3494211406509433,0.3197646272729249,0.3144550190550879,7.142586431967716e-06,4.2644764101541295,4.10511
12.21068634781891,0.3493482090852267,0.3198354282467749,0.31458521092607694,7.142586431967716e-06,4.2644764101541295,4.10511
12.217659897988995,0.34927527751951004,0.31990622922062495,0.314715402797066,7.142586431967716e-06,4.2644764101541295,4.10511
12.22463344815908,0.3492023459537934,0.319977030194475,0.3148455946680552,7.142586431967716e-06,4.2644764101541295,4.10511
12.231606998329164,0.34912941438807676,0.32004783116832497,0.31497578653904423,7.142586431967716e-06,4.2644764101541295,4.10511
12.23858054849925,0.3490564828223601,0.320118632142175,0.3151059784100333,7.142586431967716e-06,4.2644764101541295,4.10511
12.245554098669334,0.34898355125664354,0.320189433116025,0.31523617028102235,7.142586431967716e-06,4.2644764101541295,4.10511
12.25252764883942,0.3489024419748593,0.32026023408987503,0.31536636215201147,7.142586431967716e-06,4.2644764101541295,4.10511
12.259501199009504,0.3488149241181412,0.32033103506372507,0.3154965540230006,7.142586431967716e-06,4.2644764101541295,4.10511
12.26647474917959,0.34872740626142307,0.3204018360375751,0.31562674589398965,7.142586431967716e-06,4.2644764101541295,4.10511
12.273448299349676,0.34863988840470506,0.32047263701142514,0.31575693776497876,7.142586431967716e-06,4.2644764101541295,4.10511
12.28042184951976,0.34855237054798693,0.3205434379852751,0.3158871296359678,7.142586431967716e-06,4.2644764101541295,4.10511
12.287395399689846,0.3484648526912688,0.32061423895912516,0.31601732150695694,7.142586431967716e-06,4.2644764101541295,4.10511
12.29436894985993,0.34837733483455074,0.3206850399329752,0.316147513377946,7.142586431967716e-06,4.2644764101541295,4.10511
12.301342500030016,0.3482898169778326,0.3207558409068252,0.3162777052489351,7.142586431967716e-06,4.2644764101541295,4.10511
12.3083160502001,0.34820229912111456,0.3208266418806752,0.3164078971199242,7.142586431967716e-06,4.2644764101541295,4.10511
12.315289600370185,0.34811478126439643,0.32089744285452526,0.3165380889909133,7.142586431967716e-06,4.2644764101541295,4.10511
12.32226315054027,0.3480272634076784,0.3209682438283753,0.31666828086190235,7.142586431967716e-06,4.2644764101541295,4.10511
12.329236700710355,0.3479397455509603,0.32103904480222534,0.3168333094349217,7.142586431967716e-06,4.2644764101541295,4.10511
12.336210250880441,0.3478522276942422,0.3211098457760753,0.31702859724561205,7.142586431967716e-06,4.2644764101541295,4.10511
12.343183801050525,0.3477647098375241,0.32118064674992536,0.3172238850563023,7.142586431967716e-06,4.2644764101541295,4.10511
12.350157351220611,0.347677191980806,0.3212514477237754,0.3174191728669926,7.142586431967716e-06,4.2644764101541295,4.10511
12.357130901390695,0.34745651257421845,0.3213553138249234,0.31761446067768284,7.142586431967716e-06,4.2644764101541295,4.10511
12.364104451560781,0.3472141554025144,0.32149932494815203,0.3178097484883732,7.142586431967716e-06,4.2644764101541295,4.10511
12.371078001730865,0.3469717982308103,0.3216433360713806,0.3180050362990634,7.142586431967716e-06,4.2644764101541295,4.10511
12.37805155190095,0.34672944105910625,0.3217873471946092,0.3182003241097537,7.142586431967716e-06,4.2644764101541295,4.10511
12.385025102071035,0.3464870838874022,0.3219313583178378,0.31839561192044397,7.142586431967716e-06,4.2644764101541295,4.10511
12.39199865224112,0.34624472671569806,0.32207536944106646,0.31859089973113425,7.142586431967716e-06,4.2644764101541295,4.10511
12.398972202411207,0.346002369543994,0.3222193805642951,0.31878618754182453,7.142586431967716e-06,4.2644764101541295,4.10511
12.40594575258129,0.3457600123722899,0.3223633916875237,0.31898147535251475,7.142586431967716e-06,4.2644764101541295,4.10511
12.412919302751376,0.34551765520058575,0.3225074028107523,0.3191767631632051,7.142586431967716e-06,4.2644764101541295,4.10511
12.41989285292146,0.3452752980288818,0.3226514139339809,0.3193720509738953,7.142586431967716e-06,4.2644764101541295,4.10511
12.426866403091546,0.3450329408571776,0.32279542505720954,0.31956733878458565,7.142586431967716e-06,4.2644764101541295,4.10511
12.43383995326163,0.34479058368547355,0.32293943618043813,0.3197626265952759,7.142586431967716e-06,4.2644764101541295,4.10511
12.440813503431716,0.3445482265137695,0.3230834473036668,0.3199579144059662,7.142586431967716e-06,4.2644764101541295,4.10511
12.4477870536018,0.3443058693420654,0.3232274584268954,0.32015320221665644,7.142586431967716e-06,4.2644764101541295,4.10511
12.454760603771886,0.34406351217036135,0.32337146955012397,0.3203484900273467,7.142586431967716e-06,4.2644764101541295,4.10511
12.461734153941972,0.34382115499865723,0.3235154806733526,0.320543777838037,7.142586431967716e-06,4.2644764101541295,4.10511
12.468707704112056,0.3436119624053347,0.3236594917965812,0.3207390656487273,7.142586431967716e-06,4.2644764101541295,4.10511
12.475681254282142,0.3434051019667834,0.32380350291980986,0.32093435345941757,7.142586431967716e-06,4.2644764101541295,4.10511
12.482654804452226,0.3431982415282321,0.32394751404303845,0.32112964127010785,7.142586431967716e-06,4.2644764101541295,4.10511
12.489628354622312,0.34299138108968075,0.32409152516626705,0.3213249290807981,7.142586431967716e-06,4.2644764101541295,4.10511
12.496601904792396,0.3427845206511294,0.32423553628949564,0.32152021689148835,7.142586431967716e-06,4.2644764101541295,4.10511
12.503575454962482,0.34257766021257813,0.32437954741272423,0.3217155047021787,7.142586431967716e-06,4.2644764101541295,4.10511
12.510549005132566,0.34237079977402685,0.3245235585359528,0.3219107925128689,7.142586431967716e-06,4.2644764101541295,4.10511
12.517522555302651,0.34216393933547545,0.3246675696591815,0.32213142335922673,7.142586431967716e-06,4.2644764101541295,4.10511
12.524496105472737,0.34195707889692406,0.3248115807824101,0.32237010846255576,7.142586431967716e-06,4.2644764101541295,4.10511
12.531469655642821,0.3417502184583728,0.3249555919056387,0.3226087935658848,7.142586431967716e-06,4.2644764101541295,4.10511
12.538443205812907,0.3415433580198215,0.3250996030288673,0.3228474786692138,7.142586431967716e-06,4.2644764101541295,4.10511
12.545416755982991,0.34133649758127016,0.3252436141520959,0.3230861637725428,7.142586431967716e-06,4.2644764101541295,4.10511
12.552390306153077,0.3411296371427188,0.32538762527532455,0.3233248488758718,7.142586431967716e-06,4.2644764101541295,4.10511
12.559363856323161,0.34094406582507564,0.32553163639855315,0.3235635339792008,7.142586431967716e-06,4.2644764101541295,4.10511
12.566337406493247,0.34078361639410387,0.3256756475217818,0.3238022190825298,7.142586431967716e-06,4.2644764101541295,4.10511
12.573310956663333,0.34062316696313216,0.3258196586450104,0.32404090418585885,7.142586431967716e-06,4.2644764101541295,4.10511
12.580284506833417,0.3404627175321604,0.325963669768239,0.3242795892891879,7.142586431967716e-06,4.2644764101541295,4.10511
12.587258057003503,0.3403022681011887,0.32610768089146763,0.3245182743925169,7.142586431967716e-06,4.2644764101541295,4.10511
12.594231607173587,0.34014181867021687,0.3262516920146962,0.3247569594958458,7.142586431967716e-06,4.2644764101541295,4.10511
12.601205157343673,0.33998136923924516,0.3263957031379249,0.3249956445991749,7.142586431967716e-06,4.2644764101541295,4.10511
12.608178707513757,0.33982091980827345,0.32653971426115347,0.3252343297025039,7.142586431967716e-06,4.2644764101541295,4.10511
12.615152257683842,0.3396604703773017,0.32668372538438206,0.3254730148058329,7.142586431967716e-06,4.2644764101541295,4.10511
12.622125807853926,0.33950002094633,0.32682773650761066,0.3257116999091619,7.142586431967716e-06,4.2644764101541295,4.10511
12.629099358024012,0.3393395715153582,0.3269717476308393,0.3259503850124909,7.142586431967716e-06,4.2644764101541295,4.10511
12.636072908194098,0.3391791220843864,0.32711575875406795,0.32618907011581993,7.142586431967716e-06,4.2644764101541295,4.10511
12.643046458364182,0.3390186726534147,0.32725976987729655,0.3264277552191489,7.142586431967716e-06,4.2644764101541295,4.10511
12.650020008534268,0.3388582232224429,0.32740378100052514,0.32666644032247794,7.142586431967716e-06,4.2644764101541295,4.10511
12.656993558704352,0.3386977737914712,0.32754779212375373,0.32690512542580696,7.142586431967716e-06,4.2644764101541295,4.10511
12.663967108874438,0.3385395358401767,0.3276918032469824,0.327143810529136,7.142586431967716e-06,4.2644764101541295,4.10511
12.670940659044522,0.33838200368140603,0.327835814370211,0.3273824956324649,7.142586431967716e-06,4.2644764101541295,4.10511
12.677914209214608,0.3382244715226353,0.3279798254934396,0.327621180735794,7.142586431967716e-06,4.2644764101541295,4.10511
12.684887759384692,0.33806693936386456,0.3281238366166682,0.32785986583912297,7.142586431967716e-06,4.2644764101541295,4.10511
12.691861309554778,0.3379094072050939,0.3282678477398968,0.328098550942452,7.142586431967716e-06,4.2644764101541295,4.10511
12.698834859724863,0.3377518750463231,0.32841185886312546,0.328337236045781,7.142586431967716e-06,4.2644764101541295,4.10511
12.705808409894948,0.33759434288755236,0.32855586998635405,0.3285814134693239,7.142586431967716e-06,4.2644764101541295,4.10511
12.712781960065033,0.3374368107287816,0.3286998811095827,0.32882877803038724,7.142586431967716e-06,4.2644764101541295,4.10511
12.719755510235117,0.33727927857001094,0.3288438922328113,0.32907614259145046,7.142586431967716e-06,4.2644764101541295,4.10511
12.726729060405203,0.3371217464112402,0.3289879033560399,0.3293235071525138,7.142586431967716e-06,4.2644764101541295,4.10511
12.733702610575287,0.3369642142524695,0.3291319144792685,0.329570871713577,7.142586431967716e-06,4.2644764101541295,4.10511
12.740676160745373,0.3368066820936987,0.32927592560249713,0.32981823627464035,7.142586431967716e-06,4.2644764101541295,4.10511
12.747649710915457,0.3365825234872093,0.3294199367257257,0.3300656008357036,7.142586431967716e-06,4.2644764101541295,4.10511
12.754623261085543,0.33629371452039303,0.3295639478489544,0.3303129653967669,7.142586431967716e-06,4.2644764101541295,4.10511
12.761596811255629,0.33600490555357665,0.32970795897218297,0.33056032995783025,7.142586431967716e-06,4.2644764101541295,4.10511
12.768570361425713,0.3357160965867605,0.32985197009541156,0.33080769451889347,7.142586431967716e-06,4.2644764101541295,4.10511
12.775543911595799,0.3354272876199442,0.3299959812186402,0.3310550590799568,7.142586431967716e-06,4.2644764101541295,4.10511
12.782517461765883,0.335138478653128,0.3301399923418688,0.33130242364102,7.142586431967716e-06,4.2644764101541295,4.10511
12.789491011935969,0.33484966968631175,0.3302840034650974,0.33154978820208336,7.142586431967716e-06,4.2644764101541295,4.10511
12.796464562106053,0.33456086071949553,0.330428014588326,0.3317971527631466,7.142586431967716e-06,4.2644764101541295,4.10511
12.803438112276138,0.33427205175267927,0.33057202571155464,0.3320445173242099,7.142586431967716e-06,4.2644764101541295,4.10511
12.810411662446223,0.333983242785863,0.33071603683478323,0.33229188188527314,7.142586431967716e-06,4.2644764101541295,4.10511
12.817385212616308,0.33369443381904673,0.3308600479580118,0.3325392464463365,7.142586431967716e-06,4.2644764101541295,4.10511
12.824358762786394,0.33340562485223046,0.3310040590812405,0.3327866110073998,7.142586431967716e-06,4.2644764101541295,4.10511
12.831332312956478,0.3331168158854143,0.33114807020446907,0.33303397556846304,7.142586431967716e-06,4.2644764101541295,4.10511
12.838305863126564,0.332828006918598,0.3312920813276977,0.33328134012952637,7.142586431967716e-06,4.2644764101541295,4.10511
12.845279413296648,0.3325391979517818,0.3314360924509263,0.3335287046905896,7.142586431967716e-06,4.2644764101541295,4.10511
12.852252963466734,0.3322503889849655,0.3315801035741549,0.33377606925165293,7.142586431967716e-06,4.2644764101541295,4.10511
12.859226513636818,0.33196158001814935,0.3317241146973835,0.33402343381271615,7.142586431967716e-06,4.2644764101541295,4.10511
12.866200063806904,0.331672771051333,0.33186812582061215,0.3342707983737795,7.142586431967716e-06,4.2644764101541295,4.10511
12.873173613976988,0.3313839620845168,0.33201213694384074,0.3345181629348427,7.142586431967716e-06,4.2644764101541295,4.10511
12.880147164147074,0.33109515311770055,0.3321561480670694,0.33476552749590605,7.142586431967716e-06,4.2644764101541295,4.10511
12.88712071431716,0.3308063441508843,0.332300159190298,0.3350128920569693,7.142586431967716e-06,4.2644764101541295,4.10511
12.894094264487244,0.33051753518406807,0.3324441703135266,0.33524250855301674,7.142586431967716e-06,4.2644764101541295,4.10511
12.90106781465733,0.3302287262172518,0.3325881814367552,0.3354638347392903,7.142586431967716e-06,4.2644764101541295,4.10511
12.908041364827413,0.3299399172504356,0.3327321925599838,0.3356851609255638,7.142586431967716e-06,4.2644764101541295,4.10511
12.9150149149975,0.3296520035152401,0.33287620368321247,0.33590648711183735,7.142586431967716e-06,4.2644764101541295,4.10511
12.921988465167583,0.3295019728738344,0.33302021480644106,0.3361278132981108,7.142586431967716e-06,4.2644764101541295,4.10511
12.92896201533767,0.3293519422324287,0.33316422592966966,0.33634913948438433,7.142586431967716e-06,4.2644764101541295,4.10511
12.935935565507753,0.32920191159102297,0.33330823705289825,0.33657046567065785,7.142586431967716e-06,4.2644764101541295,4.10511
12.942909115677839,0.32905188094961724,0.3334522481761269,0.3367917918569314,7.142586431967716e-06,4.2644764101541295,4.10511
12.949882665847925,0.3289018503082115,0.33359625929935555,0.3370131180432049,7.142586431967716e-06,4.2644764101541295,4.10511
12.956856216018009,0.32875181966680583,0.3337402704225841,0.3372344442294784,7.142586431967716e-06,4.2644764101541295,4.10511
12.963829766188095,0.3286017890254001,0.33388428154581273,0.337455770415752,7.142586431967716e-06,4.2644764101541295,4.10511
12.970803316358179,0.32845175838399443,0.3340282926690413,0.3376770966020255,7.142586431967716e-06,4.2644764101541295,4.10511
12.977776866528265,0.3283017277425887,0.33417230379227,0.33789842278829896,7.142586431967716e-06,4.2644764101541295,4.10511
12.984750416698349,0.32815169710118297,0.3343163149154985,0.3381197489745725,7.142586431967716e-06,4.2644764101541295,4.10511
12.991723966868435,0.32800166645977724,0.33446032603872716,0.33834107516084605,7.142586431967716e-06,4.2644764101541295,4.10511
12.998697517038519,0.3278516358183715,0.3346043371619558,0.33856240134711946,7.142586431967716e-06,4.2644764101541295,4.10511
13.005671067208604,0.3277016051769658,0.3347483482851844,0.33878372753339303,7.142586431967716e-06,4.2644764101541295,4.10511
13.01264461737869,0.32755157453556005,0.33489235940841305,0.3390050537196666,7.142586431967716e-06,4.2644764101541295,4.10511
13.019618167548774,0.3274015438941544,0.3350363705316416,0.33922637990594007,7.142586431967716e-06,4.2644764101541295,4.10511
13.02659171771886,0.32725151325274865,0.33518038165487024,0.33944770609221364,7.142586431967716e-06,4.2644764101541295,4.10511
13.033565267888944,0.327101482611343,0.3353243927780989,0.3396690322784871,7.142586431967716e-06,4.2644764101541295,4.10511
13.04053881805903,0.32695501811512395,0.3354684039013275,0.3398903584647606,7.142586431967716e-06,4.2644764101541295,4.10511
13.047512368229114,0.32680915499791907,0.3356124150245561,0.34011168465103414,7.142586431967716e-06,4.2644764101541295,4.10511
13.0544859183992,0.3266632918807142,0.33575642614778467,0.3403330108373077,7.142586431967716e-06,4.2644764101541295,4.10511
13.061459468569286,0.3265174287635093,0.3359004372710133,0.3405543370235812,7.142586431967716e-06,4.2644764101541295,4.10511
13.06843301873937,0.32637156564630443,0.33604444839424197,0.3407756632098547,7.142586431967716e-06,4.2644764101541295,4.10511
13.075406568909456,0.32622570252909955,0.33618845951747056,0.34099698939612827,7.142586431967716e-06,4.2644764101541295,4.10511
13.08238011907954,0.32607983941189467,0.33633247064069915,0.34118344704202774,7.142586431967716e-06,4.2644764101541295,4.10511
13.089353669249626,0.32593397629468973,0.33647648176392775,0.3413570362125827,7.142586431967716e-06,4.2644764101541295,4.10511
13.09632721941971,0.3257881131774849,0.3366204928871564,0.3415306253831376,7.142586431967716e-06,4.2644764101541295,4.10511
13.103300769589795,0.32564225006027997,0.33676450401038505,0.3417042145536926,7.142586431967716e-06,4.2644764101541295,4.10511
