r (A),g(r)_weighted_U-Cl,g(r)_weighted_U-U,g(r)_weighted_K-U,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_U-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.0039703953531765885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.007940790706353177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.011911186059529765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.015881581412706354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.01985197676588294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.02382237211905953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.02779276747223612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.03176316282541271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.035733558178589295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.03970395353176588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.043674348884942475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.04764474423811906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.05161513959129565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.05558553494447224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.05955593029764883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.06352632565082542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.067496721004002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.07146711635717859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.07543751171035518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.07940790706353176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.08337830241670836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.08734869776988495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.09131909312306154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.09528948847623812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.09925988382941471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.1032302791825913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.10720067453576788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.11117106988894448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.11514146524212107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.11911186059529766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.12308225594847425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.12705265130165083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.13102304665482742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.134993442008004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.1389638373611806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.14293423271435718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.14690462806753377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.15087502342071035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.15484541877388694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.15881581412706353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
0.16278620948024014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.109364228327787,0
