r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Cl,S_i_Na-Cl,S_i_Ca-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.509041288766351,3.52027
0.007443771500750375,0.0,0.0,0.0,0.00021565668859198535,0.0,0.0,1.0,1.0,1.0,2.509041288766351,3.52027
0.01488754300150075,0.0,0.0,0.0,0.0004313133771839707,0.0,0.0,1.0,1.0,1.0,2.509041288766351,3.52027
0.022331314502251128,0.0,0.0,0.0,0.0006469700657759562,0.0,0.0,1.0,1.0,1.0,2.509041288766351,3.52027
0.0297750860030015,0.0,0.0,0.0,0.0008626267543679414,0.0,0.0,1.0,1.0,1.0,2.509041288766351,3.52027
0.037218857503751875,0.0,0.0,0.0,0.0010782834429599267,0.0,0.0018503894633336401,1.0,1.0,1.0,2.509041288766351,3.52027
0.044662629004502255,0.0,0.0,0.0,0.0012939401315519123,0.0,0.0020347727914368204,1.0,1.0,1.0,2.509041288766351,3.52027
0.05210640050525263,0.0,0.0,0.0,0.0015095968201438974,0.0,0.00221915611954,1.0,1.0,1.0,2.509041288766351,3.52027
0.059550172006003,0.0,0.0,0.0,0.0017252535087358828,0.0,0.0024035394476431804,1.0,1.0,1.0,2.509041288766351,3.52027
0.06699394350675338,0.0,0.0,0.0,0.001940910197327868,0.0,0.0025879227757463607,1.0,1.0,1.0,2.509041288766351,3.52027
0.07443771500750375,0.0,0.0,0.0,0.0021565668859198535,0.0,0.002772306103849541,1.0,1.0,1.0,2.509041288766351,3.52027
0.08188148650825412,0.0,0.0,1.650620992119318e-05,0.002372223574511839,0.0,0.0029566894319527207,1.0,1.0,1.0,2.509041288766351,3.52027
0.08932525800900451,0.0,0.0,3.82783683932194e-05,0.0025878802631038246,0.0007036644449895974,0.0031410727600559014,1.0,1.0,1.0,2.509041288766351,3.52027
0.09676902950975488,0.0023539368589237455,0.0,6.0050526865245573e-05,0.0028035369516958095,0.000699402026964182,0.0033254560881590812,1.0,1.0,1.0,2.509041288766351,3.52027
0.10421280101050526,0.0023148687117629857,0.0054509496487663645,8.182268533727175e-05,0.003019193640287795,0.0006951396089387666,0.0035098394162622615,1.0,1.0,1.0,2.509041288766351,3.52027
0.11165657251125563,0.0022758005646022258,0.005411647046202882,0.00010359484380929792,0.0032348503288797802,0.0006908771909133512,0.0036942227443654417,1.0,1.0,1.0,2.509041288766351,3.52027
0.119100344012006,0.002236732417441466,0.005372344443639399,0.00012536700228132412,0.0034505070174717656,0.0006866147728879358,0.003878606072468622,1.0,1.0,1.0,2.509041288766351,3.52027
0.12654411551275638,0.002197664270280706,0.0053330418410759165,0.0001471391607533503,0.003666163706063751,0.0006823523548625204,0.004062989400571803,1.0,1.0,1.0,2.509041288766351,3.52027
0.13398788701350675,0.0021585961231199466,0.005293739238512433,0.0001689113192253765,0.0037235857702240527,0.000678089936837105,0.0042473727286749825,1.0,1.0,1.0,2.509041288766351,3.52027
0.14143165851425712,0.0021195279759591867,0.005254436635948951,0.00019068347769740263,0.0037184141575452036,0.0006738275188116896,0.004394192203352947,1.0,1.0,1.0,2.509041288766351,3.52027
0.1488754300150075,0.002080459828798427,0.005215134033385469,0.00021245563616942883,0.0037132425448663546,0.0006695651007862741,0.0045192956685506614,1.0,1.0,1.0,2.509041288766351,3.52027
0.15631920151575787,0.002041391681637667,0.005175831430821986,0.0002223205526253349,0.0037080709321875055,0.0006653026827608587,0.004644399133748375,1.0,1.0,1.0,2.509041288766351,3.52027
0.16376297301650825,0.0020023235344769075,0.005136528828258503,0.0002210286246319564,0.0037028993195086556,0.0006610402647354433,0.00476950259894609,1.0,1.0,1.0,2.509041288766351,3.52027
0.17120674451725862,0.0019632553873161476,0.005097226225695021,0.00021973669663857788,0.0036977277068298065,0.0006567778467100279,0.004894606064143804,1.0,1.0,1.0,2.509041288766351,3.52027
0.17865051601800902,0.0019241872401553877,0.0050579236231315374,0.0002184447686451994,0.003692556094150957,0.0006525154286846125,0.005019709529341518,1.0,1.0,1.0,2.509041288766351,3.52027
0.1860942875187594,0.0018851190929946278,0.005018621020568055,0.0002171528406518209,0.0036873844814721076,0.0006483261982817137,0.005144812994539232,1.0,1.0,1.0,2.509041288766351,3.52027
0.19353805901950977,0.0018460509458338682,0.004979318418004572,0.00021586091265844243,0.003682212868793258,0.0006458071673544383,0.005269916459736947,1.0,1.0,1.0,2.509041288766351,3.52027
0.20098183052026014,0.0018069827986731085,0.0049400158154410895,0.00021456898466506392,0.003677041256114409,0.0006432881364271631,0.005395019924934661,1.0,1.0,1.0,2.509041288766351,3.52027
0.20842560202101051,0.0017679146515123488,0.004910764955006064,0.0002132770566716854,0.003671869643435559,0.0006407691054998879,0.005520123390132374,1.0,1.0,1.0,2.509041288766351,3.52027
0.2158693735217609,0.001728846504351589,0.004886234723379978,0.00021198512867830693,0.00366669803075671,0.0006382500745726127,0.0056452268553300895,1.0,1.0,1.0,2.509041288766351,3.52027
0.22331314502251126,0.0016897783571908293,0.0048617044917538925,0.00021069320068492842,0.003661526418077861,0.0006357310436453374,0.005770330320527804,1.0,1.0,1.0,2.509041288766351,3.52027
0.23075691652326163,0.0016507102100300696,0.004837174260127807,0.0002094012726915499,0.003656354805399011,0.0006332120127180621,0.005895433785725517,1.0,1.0,1.0,2.509041288766351,3.52027
0.238200688024012,0.00161164206286931,0.004812644028501722,0.00020810934469817142,0.0036514517132515975,0.0006306929817907869,0.006020537250923231,1.0,1.0,1.0,2.509041288766351,3.52027
0.24564445952476238,0.00157257391570855,0.004788113796875637,0.0002068174167047929,0.003646879509042317,0.0006281739508635116,0.006087797467858923,1.0,1.0,1.0,2.509041288766351,3.52027
0.25308823102551276,0.0015429749155695558,0.004763583565249551,0.0002055254887114144,0.003642307304833036,0.0006256549199362364,0.006051040096623765,1.0,1.0,1.0,2.509041288766351,3.52027
