r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_Mg-F,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-F,S_i_K-F,S_i_Mg-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.002964068324662331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.005928136649324662,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.008892204973986993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.011856273298649325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.014820341623311657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.017784409947973985,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.020748478272636317,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.02371254659729865,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.02667661492196098,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.029640683246623313,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.032604751571285645,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.03556881989594797,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.0385328882206103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.041496956545272634,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.044461024869934966,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.0474250931945973,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.05038916151925963,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.05335322984392196,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.056317298168584294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.059281366493246626,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.06224543481790895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.06520950314257129,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.06817357146723362,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.07113763979189594,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.07410170811655828,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.0770657764412206,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.08002984476588294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.08299391309054527,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.08595798141520761,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.08892204973986993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.09188611806453227,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.0948501863891946,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.09781425471385692,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.10077832303851926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.10374239136318159,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.10670645968784392,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.10967052801250625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.11263459633716859,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.11559866466183091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.11856273298649325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.12152680131115558,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1244908696358179,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.12745493796048024,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.13041900628514258,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1333830746098049,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.13634714293446723,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.13931121125912957,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.14227527958379188,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.14523934790845422,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.14820341623311656,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1511674845577789,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1541315528824412,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.15709562120710355,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1600596895317659,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.16302375785642823,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.16598782618109054,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.16895189450575288,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.17191596283041521,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.17488003115507753,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.17784409947973986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1808081678044022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.18377223612906454,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.18673630445372685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.1897003727783892,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.19266444110305153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.19562850942771384,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.19859257775237618,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.20155664607703852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.20452071440170086,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.20748478272636317,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2104488510510255,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.21341291937568785,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.21637698770035016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2193410560250125,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.22230512434967484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.22526919267433718,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2282332609989995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.23119732932366183,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.23416139764832417,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2371254659729865,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.24008953429764882,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.24305360262231115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2460176709469735,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2489817392716358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.25194580759629814,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2549098759209605,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2578739442456228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.26083801257028516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.26380208089494744,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
0.2667661492196098,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5726325231610927,3.92263
