r (A),g(r)_weighted_U-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-U,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.0034606487773886944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.006921297554777389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.010381946332166082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.013842595109554778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.017303243886943473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.020763892664332165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.02422454144172086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.027685190219109555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.03114583899649825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.034606487773886946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.03806713655127564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.04152778532866433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.04498843410605303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.04844908288344172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.05190973166083042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.05537038043821911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.0588310292156078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.0622916779929965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.0657523267703852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.06921297554777389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.07267362432516258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.07613427310255128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.07959492187993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.08305557065732866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.08651621943471736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.08997686821210606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.09343751698949475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.09689816576688344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.10035881454427213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.10381946332166084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.10728011209904953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.11074076087643822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.11420140965382691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.1176620584312156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.12112270720860431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.124583355985993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.12804400476338168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.1315046535407704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.1349653023181591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.13842595109554778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.14188659987293648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.14534724865032517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.14880789742771386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.15226854620510255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.15572919498249124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.15918984375987993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
0.16265049253726863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.894243513078916,2.5393
