Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z,J_Na_x,J_Na_y,J_Na_z
110,7996.158752467902,0.00044706132,0.0012855465,0.00047218677,7.937843384454552,-7.768542355886121,-8.3008834433748,-10.485962929676075,13.304973717273844,-0.37416237723069834,-4.143291196180734,11.2090180507294,-10.337545499887332,9.292134064471135,-7.312114456731805,3.1052844968723323
115,7996.158752467902,0.0002727365,0.0014573325,0.0006674683,7.351892360530271,-7.776665218319203,-6.546691945859379,-11.258919617573104,14.276977672727034,-0.5830229446523506,-3.634731401870021,11.340118099622531,-11.43346427594732,10.142482024740708,-8.40709522779217,2.655872512484779
120,7996.158752467902,0.00018154705,0.001547073,0.00071155396,5.762959421088977,-7.748925766004642,-5.012740876267232,-11.078546551453611,15.215552385139963,-0.7166860641804877,-2.992998729829787,11.329706019480044,-12.476274887606982,10.909309402602481,-9.362997299945718,2.2983949186524804
125,7996.158752467902,0.00018780271,0.0015224316,0.0006524838,3.1897337472515357,-7.520404377543992,-3.954693818330158,-9.93349189177475,15.867292841554667,-0.5267691939984243,-2.2361576715981295,11.221346604133986,-13.432368529349864,11.58063973800106,-10.134899841473825,2.0065244814065184
130,7996.158752467902,0.00028351624,0.0013802144,0.00056199956,-0.29935586170488393,-6.760643524080615,-3.449544103397673,-7.844827778773786,15.794317647189237,0.033370188416066426,-1.3948308641471607,11.062124874913978,-14.261091443148949,12.139738433581876,-10.662463759815736,1.7699582932397564
135,7996.158752467902,0.00043185253,0.0011538129,0.0005072787,-4.3161962839543975,-5.226445430328704,-3.443317951594394,-5.150954209229843,14.655457150420476,0.8771652536907251,-0.5053236345326235,10.88809297279481,-14.925522396100028,12.573197708867589,-10.883769230343756,1.5843683116815326
140,7996.158752467902,0.0005804198,0.0009031656,0.00052307564,-8.213129536077235,-2.9234122743283937,-3.8327410790333287,-2.459849508904835,12.391573187480608,1.8948375663349406,0.3976010752825011,10.716511380514975,-15.401151546414512,12.876101413314679,-10.751336801369328,1.4317480388523784
145,7996.158752467902,0.00069437077,0.00068600266,0.0005979416,-11.36325442832042,-0.1427173803996542,-4.5329981897556335,-0.3738926685272874,9.277702272331439,3.040647656264623,1.2859143426988802,10.547943469760911,-15.679447309772245,13.051956258965657,-10.249593033274873,1.2644908593462545
150,7996.158752467902,0.00077121257,0.00053395255,0.0006937052,-13.354951138236558,2.5981145987360375,-5.511054201167896,0.7069194310593501,5.869132208645384,4.3602505708484305,2.1407997098516267,10.374643623230485,-15.767034255742788,13.107955677724458,-9.408555029885619,1.010530583636569
155,7996.158752467902,0.00082446303,0.00044670908,0.0007719841,-14.006964578645626,4.705000477738259,-6.751920413676887,0.6054099181720183,2.841509088895905,5.9228531580909465,2.9526841796699506,10.19001405993008,-15.682777543250007,13.049593920643453,-8.303188114930531,0.604537413728099
160,7996.158752467902,0.00085395883,0.00040776952,0.0008089473,-13.318590075450109,5.720593306153068,-8.159193535902775,-0.6774772231864983,0.7518008974823118,7.678014024909127,3.718925470975001,9.996144913760917,-15.454070251962278,12.87786520723169,-7.035203593893681,0.027942212672930733
165,7996.158752467902,0.0008338098,0.0004047544,0.0008001631,-11.444984732584473,5.502931995575046,-9.503182013271614,-2.982662530280278,-0.17028754149374414,9.377845507164508,4.439568269598886,9.808461375740125,-15.112750894146043,12.588802425433848,-5.707770280417759,-0.669220217769473
170,7996.158752467902,0.0007363374,0.0004342358,0.0007593871,-8.652286784035297,4.250621949804418,-10.515058913922873,-6.034764397146272,-0.06815199769040528,10.675353565098977,5.112645747788838,9.656586562638084,-14.691350923374294,12.175128915517444,-4.405720817224943,-1.376251353962584
175,7996.158752467902,0.0005677418,0.00049464835,0.0007110519,-5.2345754475203865,2.3928919575572296,-11.007076930072687,-9.529164324979273,0.6462223693154003,11.270449773486966,5.730831300178898,9.580653818788095,-14.220687889249993,11.633631934625765,-3.1864326241790017,-1.9499927183135939
180,7996.158752467902,0.0003803752,0.0005746244,0.0006787804,-1.4784754526439645,0.45916657826396623,-10.862641643354324,-13.182253847552555,1.4334537311471993,10.931871095175937,6.280720083666302,9.62357769592022,-13.728886376764157,10.98073297044105,-2.0828626005764876,-2.2476507739414253
185,7996.158752467902,0.0002481837,0.0006449994,0.0006768555,2.322552702677582,-1.011083085478413,-9.917897194674767,-16.737832411705266,1.7438795916925658,9.406414712388408,6.744860435382498,9.820851270842512,-13.24065682960255,10.271143229037289,-1.1203120865917358,-2.1551675825688315
190,7996.158752467902,0.00021949879,0.0006684678,0.0007036655,5.870640737096052,-1.5437676056964396,-7.911339804682827,-19.979592429394835,1.1271913602715715,6.389259336482877,7.105626235277078,10.189829743196286,-12.775328246225136,9.604049090665946,-0.33991783507518125,-1.6098979882447824
195,7996.158752467902,0.00029195801,0.00062975404,0.0007405302,8.861272443875876,-0.8879565663729866,-4.663712004403239,-22.706431102279524,-0.5940559875277902,1.7211537652304214,7.349060217243596,10.720705974226847,-12.342982156627576,9.096822115118567,0.19464240538072186,-0.6217663244691036
200,7996.158752467902,0.00042161442,0.0005591882,0.000762871,10.961223165858044,0.7709532423549259,-0.3360172743485943,-24.64816475363928,-3.138704617388389,-4.337113295207661,7.466296914264011,11.371902680208267,-11.939871252095791,8.821368495976213,0.429184687704395,0.7056954782303131
205,7996.158752467902,0.0005384895,0.0005153351,0.0007535187,11.838344696505896,2.8458390740932824,4.569135248915812,-25.429759930219866,-5.853916342432743,-11.105114421449535,7.45148250029647,12.072267014647922,-11.546032355912493,8.74065667960097,0.3691466465046629,2.1747051495178082
210,7996.158752467902,0.00057724566,0.00053170364,0.0007039147,11.30183159220594,4.735589762712015,9.43172618050459,-24.712084724538222,-8.120037398159871,-17.766179775642012,7.297918089404766,12.73031162214288,-11.12772316845413,8.713059413530324,0.08747190847715824,3.554870400795312
215,7996.158752467902,0.0005181339,0.0005872638,0.0006072395,9.451828105131952,6.168812396323892,13.652532695727242,-22.4252727401285,-9.656311485787912,-23.61341655961333,6.9960930418759295,13.24773175801788,-10.644899152673776,8.578076030367562,-0.32689682253622454,4.698476804819779
220,7996.158752467902,0.0003981172,0.00062965613,0.00046090953,6.647211488849804,7.199229881079054,16.673497316347603,-18.825502929040745,-10.477984388679713,-28.129903299876975,6.536570891432475,13.532637555703372,-10.06170889350661,8.24244505196814,-0.8205470193548585,5.610808761156636
225,7996.158752467902,0.000287489,0.0006124122,0.000283397,3.327281894544809,7.981763316608386,18.065770315741354,-14.343458293183572,-10.672009776609011,-31.03027692623183,5.917279563829779,13.509445553556404,-9.357001049658455,7.699621453204351,-1.385862941713282,6.4142013286538475
230,7996.158752467902,0.00024992213,0.00052071223,0.0001212256,-0.08049867765969232,8.611241082121385,17.659932664413752,-9.471670877910064,-10.259069994165431,-32.29309688676399,5.151437079785082,13.125671057705448,-8.531898495446248,7.001457318495998,-2.0445060688317485,7.257756495505579
235,7996.158752467902,0.00030599398,0.0003808433,2.7578651e-05,-3.1035709212696236,9.142320163488737,15.553672014437435,-4.791403833559729,-9.249173130533345,-32.09490341942315,4.271681513048079,12.357331595127151,-7.612145350136151,6.2240182318562125,-2.817142534268993,8.246070283035056
240,7996.158752467902,0.0004195981,0.00023979331,2.8834727e-05,-5.162073998242179,9.662611234058975,12.02941626084623,-1.0058003798198574,-7.761553143037199,-30.703565533126916,3.32826631224465,11.212063968783738,-6.644368449967905,5.440333104823121,-3.679785762821763,9.411211313050604
245,7996.158752467902,0.00051371456,0.00012597335,0.00010443128,-5.635334549598541,10.268643461385043,7.5286255263091535,1.1585283337176955,-6.034912653102541,-28.46565440358741,2.3816842330926553,9.726277657986474,-5.687382614981933,4.695847007765887,-4.526672229370075,10.717104771360187
250,7996.158752467902,0.00051707705,3.601794e-05,0.00020154117,-4.067583332328853,10.979594593193585,2.635099714363717,1.1859242147389133,-4.320658817511461,-25.82098654830538,1.4917051127341798,7.954278952211143,-4.801670122727691,3.9906789708327137,-5.179878543359434,12.080249642644212
255,7996.158752467902,0.0004083193,-4.9762806e-05,0.0002882344,-0.4454915332877807,11.690582563233736,-2.0891694959608484,-0.9394402247648488,-2.7496476694239034,-23.17112304119423,0.705948801995091,5.952884243479319,-4.040548863472585,3.2797078615182977,-5.460482994239198,13.393534320113012
260,7996.158752467902,0.0002090903,-0.00015758585,0.00038992256,4.577843458946587,12.170034202553186,-6.289511001192184,-4.518329399071673,-1.2298182594538705,-20.715618971929377,0.05125528357906628,3.7690891777293007,-3.445171540813325,2.4899552046406166,-5.275969143057507,14.542994890825113
265,7996.158752467902,-4.7310823e-05,-0.0003078041,0.0005368167,9.825608817644095,12.186863395395314,-9.803652160331584,-8.301507301906392,0.4677126959388591,-18.47683309844474,-0.4696094102181272,1.4372250781871552,-3.043344336053641,1.5462326885169446,-4.6584653908531495,15.416523151177152
270,7996.158752467902,-0.00032491816,-0.00049219735,0.00070199487,14.153124994632964,11.755593561198882,-12.521773437645496,-11.077139252427013,2.429722659551076,-16.448689256060295,-0.8743265202791557,-1.012351823637756,-2.850159494105546,0.3990658898398829,-3.739628683381949,15.913315291615774
275,7996.158752467902,-0.00058976415,-0.00068018254,0.000825027,16.875999593941813,11.11378230137311,-14.301900770555108,-12.130933223999328,4.551892501032154,-14.697057667603488,-1.1904405516687442,-3.5364260630357887,-2.8670379295847024,-0.9539006869565796,-2.6959124952655715,15.958689421747
280,7996.158752467902,-0.0008196978,-0.0008509939,0.00085771293,17.84903984875025,10.419676039632439,-14.991328565851177,-11.341302121626951,6.774714008913389,-13.358160033109431,-1.4412941602421234,-6.063294476372858,-3.0772486588877737,-2.4657185141079685,-1.69775917713842,15.519430547411211
285,7996.158752467902,-0.001003449,-0.000996897,0.0007916975,17.374670730570934,9.57034284722144,-14.485438501531348,-9.078055689905751,9.2302954093095,-12.595215569523543,-1.635388302434749,-8.490083288410416,-3.4410602111649577,-4.060501827185609,-0.8772183213469418,14.6144075017143
290,7996.158752467902,-0.0011252281,-0.0010956123,0.00066438864,15.947898279302606,8.276075274860744,-12.756396430991915,-5.9178553348915095,12.17216213397044,-12.57202390703647,-1.7660114693206745,-10.698390612445975,-3.897287970064289,-5.663306174119746,-0.3165101127261609,13.318401858028366
295,7996.158752467902,-0.0011588538,-0.0011128599,0.00053143804,13.950864156207963,6.259890542790207,-9.889483883289248,-2.310169858481867,15.806972678630006,-13.399329906031607,-1.8229804296496335,-12.581630243463179,-4.374836257197975,-7.216988531396304,-0.05189652412364598,11.756343555643681
300,7996.158752467902,-0.0010920702,-0.001028434,0.0004324429,11.542796899151721,3.48065207619479,-6.1259347252161,1.5396047914814943,20.105132127281856,-15.055203203356037,-1.8100586758445028,-14.070539822228922,-4.809769674296339,-8.671617607975598,-0.08190772104999855,10.083601124336997
305,7996.158752467902,-0.00094688305,-0.0008422491,0.00036879658,8.726304767735275,0.32226149359744316,-1.8327323188822238,5.588251132770483,24.627977455143295,-17.369677420876943,-1.7568601165911428,-15.145889558489172,-5.158309314171865,-9.956970437411904,-0.37101254579748133,8.45341271171462
310,7996.158752467902,-0.00076506584,-0.0005689795,0.00030491853,5.439511523147373,-2.425343943844519,2.569111620766874,9.847939431817892,28.54155075282982,-20.059636232476315,-1.7169905964800458,-15.834805150350759,-5.399472980881191,-10.969734890717767,-0.848064449589498,6.982691575358034
315,7996.158752467902,-0.0005789201,-0.00024266263,0.00019875306,1.6582859465798494,-3.8989429475961064,6.6475933094258135,14.292145343617038,30.9342511787829,-22.755349816060924,-1.7527290825781714,-16.194054096793437,-5.529099271367349,-11.596976958757551,-1.407916982777448,5.729549598435982
320,7996.158752467902,-0.00039573884,8.271536e-05,3.8333408e-05,-2.4725849267614866,-3.568373304912848,9.967800493868365,18.74682566493815,31.21655629682185,-25.01084901696363,-1.9145483294740737,-16.28857209871235,-5.551211116380918,-11.758966831290557,-1.926273726162532,4.6869537276140125
325,7996.158752467902,-0.00020966677,0.00034390693,-0.00014371824,-6.56371367635977,-1.4328093634004748,12.109395489372785,22.825291615896774,29.328988985602102,-26.335943136880314,-2.225776943287075,-16.17449407279669,-5.4714627652540075,-11.435075093342927,-2.2883482087282627,3.7907042570838487
330,7996.158752467902,-3.6615005e-05,0.00048506827,-0.00028467824,-10.068413567152604,1.975118636163506,12.772734790901835,26.007986742975433,25.76874962274428,-26.326617537056745,-2.677871247960738,-15.89181071124217,-5.294750096171091,-10.66097615206516,-2.41871985264616,2.9413266051357594
335,7996.158752467902,7.948591e-05,0.0004820623,-0.00032747895,-12.523529325740967,5.720222342293572,11.923575343280048,27.875331774221692,21.47566318543044,-24.839488788978503,-3.2351079405451504,-15.46524825716365,-5.027013945346161,-9.51596868836921,-2.297299412396665,2.0356209274761903
340,7996.158752467902,0.0001085914,0.00036186012,-0.00025058104,-13.749792087966782,8.765706018690118,9.775258741930541,28.313687931505264,17.532812063370102,-21.998819715814026,-3.843963061368286,-14.908215137105755,-4.679487242461809,-8.119206928822926,-1.9569654139896606,0.9957419809923511
345,7996.158752467902,5.912086e-05,0.00019115416,-6.899992e-05,-13.847781562964812,10.327923357806732,6.615284330065717,27.52282565112459,14.802986936488876,-18.035379050906574,-4.4431761968115655,-14.22598167444262,-4.272776411537242,-6.6311418310545145,-1.4715909727598104,-0.21443476020631325
350,7996.158752467902,-4.0563504e-05,4.31813e-05,0.00017800185,-13.077399593332231,10.075078891750174,2.719334448425454,25.89414562333608,13.72198950751566,-13.201744114302944,-4.97285689242186,-13.417844587363971,-3.8389726520328704,-5.243162716422624,-0.9458862372408534,-1.5859236220623645
355,7996.158752467902,-0.00016029697,-3.097081e-05,0.00043612835,-11.752743495939214,8.156987127251204,-1.5775465776972606,23.882802972423676,14.262153399902436,-7.8397152554166105,-5.382186495906226,-12.479582560343216,-3.42107328644507,-4.147146063424108,-0.5062204675665329,-3.0689709262716867
360,7996.158752467902,-0.00027375852,-1.145813e-05,0.0006497723,-10.154239846849961,5.144222408780342,-5.8279774692204,21.882297560895537,15.976160005295794,-2.430651744469705,-5.635095807163325,-11.406571686842609,-3.0695003657312636,-3.492234641107891,-0.2804733269691553,-4.579176549383376
365,7996.158752467902,-0.00036596024,0.00010021003,0.0007748452,-8.449984045835592,1.842533575079733,-9.55406508193153,20.109644359002274,18.152740175238797,2.4843653766743374,-5.7132504176223495,-10.196955092738747,-2.835990129297178,-3.345682606927105,-0.36498102428195733,-6.001616121493683
370,7996.158752467902,-0.0004327666,0.00029390774,0.00077963975,-6.656175921003454,-0.9965168557102064,-12.387788690423243,18.549426499502303,20.08174685691447,6.443787250465486,-5.6161270569381125,-8.854189034253023,-2.7651975492337524,-3.6763963785599767,-0.7977032636659782,-7.198107462269674
375,7996.158752467902,-0.0004661303,0.00055490586,0.00064316567,-4.680478144104131,-2.9139625431563676,-14.145481424115477,17.00765813036473,21.291514242565988,9.151401103067702,-5.358756087541097,-7.388785943017821,-2.884754236307535,-4.3676969564515025,-1.5554280604406872,-8.028472014934508
380,7996.158752467902,-0.00044795466,0.0008559674,0.00036520092,-2.45666226017231,-3.8117938571378103,-14.796006685043155,15.272675756264153,21.632836180340398,10.469402899748335,-4.968331523929792,-5.819604695461704,-3.1955924773212327,-5.2469548662595775,-2.568099823769086,-8.385110462257849
385,7996.158752467902,-0.00036615052,0.00114886,-1.7336519e-05,-0.08165787789941883,-3.8833309721668696,-14.369298953374141,13.280529164069826,21.22371084577717,10.353001441450996,-4.481166976625546,-4.174666811864837,-3.665661178631316,-6.116977228343123,-3.7323750466781407,-8.22534854430587
390,7996.158752467902,-0.0002349271,0.0013725468,-0.00043412804,2.162280258859097,-3.4981499400165834,-12.888539014195317,11.1665563194993,20.344216685696317,8.797620667480313,-3.94038673601277,-2.490403233947246,-4.230498914359677,-6.787722691468182,-4.922325239199933,-7.585889905922795
395,7996.158752467902,-8.9601104e-05,0.0014861877,-0.0008149508,3.9249532854756364,-3.0542821949203702,-10.394749654617385,9.18133001315532,19.30467167502649,5.8623756298484855,-3.393437396884438,-0.8079447783311036,-4.801990924788887,-7.112118508197702,-6.0091063731993986,-6.572942161465746
400,7996.158752467902,3.5940066e-05,0.001503986,-0.0011154888,4.968045595831496,-2.826471506807274,-7.064288836343965,7.535939451911917,18.3161725027636,1.7722300807336477,-2.888286969046349,0.8332593596060631,-5.282862714062693,-7.014970054380931,-6.889622365695328,-5.332385799555323
405,7996.158752467902,0.00012217154,0.0014861118,-0.001308041,5.2923323329942615,-2.902848317848248,-3.308318592266348,6.273846554642933,17.440827427173296,-3.0021054877006064,-2.4683188928214443,2.4020810664588215,-5.581884920022466,-6.497132314300209,-7.5067223684123805,-4.0149985504965136
410,7996.158752467902,0.0001670133,0.0014811826,-0.0013680256,5.127626006875358,-3.2141497781887214,0.312701890790434,5.25918984819832,16.619360954431258,-7.843777875495073,-2.167385225995859,3.879769759390955,-5.625250576187872,-5.618702768017349,-7.85164306616262,-2.7509810849721377
415,7996.158752467902,0.0001869805,0.0014800655,-0.0012840286,4.7927448799947125,-3.604768565335826,3.3494486033683852,4.297856429147535,15.73681564975197,-12.25977276758291,-2.006334270812986,5.2597441353937455,-5.362328615570922,-4.483539398763489,-7.95845340149445,-1.634655152122559
420,7996.158752467902,0.00020643885,0.0014277342,-0.0010776994,4.5325341997227735,-3.8978026175792824,5.630779277689383,3.292661516695772,14.684973781858945,-16.05582856086672,-1.9910872788862983,6.543084236931508,-4.767156300011456,-3.2333805730343306,-7.896917854650025,-0.7151024569599944
425,7996.158752467902,0.000240183,0.0012743685,-0.00080660183,4.465579245742516,-3.895590009928265,7.15892697017591,2.2819327211487295,13.351751906264424,-19.23011569310889,-2.1113985601081007,7.7309563787712685,-3.83816931637576,-2.035385634164661,-7.753781207500293,0.002050196269281823
430,7996.158752467902,0.0002839857,0.0010154919,-0.0005388424,4.660935263891657,-3.384091184936688,7.90601012808804,1.3304388079173415,11.597334752657945,-21.750623017192044,-2.340268699914631,8.816844187123978,-2.5979302256239034,-1.050377700823694,-7.596750727139448,0.5352351177473778
435,7996.158752467902,0.00032111013,0.0006971132,-0.00032020448,5.1995823868492845,-2.2448979182737734,7.7851794596095925,0.43336641726051006,9.336997672870082,-23.504323203122976,-2.6359010972049512,9.782427470112497,-1.092218766207415,-0.3963197371451972,-7.441189909860992,0.9040546396693556
440,7996.158752467902,0.00033726761,0.0003921745,-0.00016444072,6.114583945344817,-0.5718113230615476,6.787385381158513,-0.4364706095706816,6.654519039438229,-24.437359185022576,-2.948340092782346,10.599387822119796,0.613539474554083,-0.12904551352791938,-7.248758281746274,1.1291262806164917
445,7996.158752467902,0.0003233817,0.00016598863,-6.988468e-05,7.2862494995925555,1.3517062025274287,5.034656342421498,-1.2119513602989285,3.8068402472020857,-24.639282229144516,-3.230915830350896,11.2355220272148,2.4413060854583737,-0.24265411386684022,-6.9607309779399715,1.2560117015212184
450,7996.158752467902,0.0002667948,5.810503e-05,-3.156883e-05,8.418314675894251,3.17054153641934,2.6531060040402945,-1.6809374826440147,1.1393045248542943,-24.241160212345637,-3.453090594757997,11.660330301369003,4.308504214248197,-0.6835583609611353,-6.536838658766652,1.3722420989482074
455,7996.158752467902,0.00015650952,8.66288e-05,-2.7542275e-05,9.131924988366407,4.553169075872438,-0.33769757399875466,-1.5458923451548001,-0.9953545754405146,-23.29028420533992,-3.609211296716567,11.846352163360324,6.133096155026387,-1.3760929446946397,-5.970828522553274,1.5875781149964485
460,7996.158752467902,-9.701122e-07,0.0002549211,-1.1519401e-05,9.136280922800395,5.2501880412236,-3.948129679894352,-0.5681543642109421,-2.3030925439933423,-21.778858716114836,-3.7186561796992104,11.76758738982612,7.834402426276748,-2.2487418871826526,-5.281345189006897,1.9852783647705103
465,7996.158752467902,-0.00018649401,0.00054083974,5.587002e-05,8.364312293705623,5.159434589331658,-8.038646005006173,1.2932865082097025,-2.632788091567721,-19.786673859095526,-3.8168589158452604,11.400077791593548,9.333398869537442,-3.2400118122680146,-4.493386625381317,2.584613155472925
470,7996.158752467902,-0.00038760813,0.00087903737,0.00017379237,6.930722586053049,4.332417198755001,-12.216543586793136,3.8926289572556367,-2.009214778537981,-17.58864613342435,-3.940964500943992,10.728401569009337,10.557298558502035,-4.28165907051541,-3.6182664002662195,3.3405831195571407
475,7996.158752467902,-0.00058892113,0.0011688137,0.00030862688,4.964483462979002,2.8816031843979086,-15.911938046890445,7.037147678253987,-0.5708081242090781,-15.612379177030068,-4.116137555335046,9.756409945606764,11.4480113205207,-5.284765286145805,-2.633867585216575,4.168997713914267
480,7996.158752467902,-0.00075089256,0.0013216005,0.00041823066,2.5445924869264447,0.9449335298812445,-18.630466337111443,10.555681391802079,1.4487703355253974,-14.219082442059015,-4.347621934983509,8.51601823541573,11.969434098951561,-6.151923793550188,-1.4763848819128895,4.972806497237161
485,7996.158752467902,-0.0008400349,0.0013081307,0.0004662582,-0.21674601986971886,-1.2801642113955962,-20.149914285838697,14.248243406283239,3.7070695132889444,-13.527003699940412,-4.620541910583016,7.067297175570319,12.110184715376628,-6.810227360576639,-0.06086516898350869,5.659425285979796
