r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Na-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0052394947473736,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0104789894947473,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.015718484242121,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0209579789894947,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0261974737368684,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0314369684842421,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0366764632316158,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0419159579789895,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0471554527263631,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0523949474737368,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0576344422211105,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0628739369684842,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0681134317158579,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0733529264632316,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0785924212106053,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.083831915957979,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0890714107053526,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0943109054527263,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.0995504002001,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1047898949474737,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1100293896948474,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1152688844422211,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1205083791895948,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1257478739369684,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1309873686843422,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1362268634317158,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1414663581790895,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1467058529264632,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1519453476738369,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1571848424212106,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1624243371685843,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.167663831915958,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1729033266633316,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1781428214107053,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.183382316158079,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1886218109054527,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1938613056528264,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.1991008004002001,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2043402951475738,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2095797898949475,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2148192846423211,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2200587793896948,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2252982741370685,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2305377688844422,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2357772636318159,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2410167583791896,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2462562531265633,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2514957478739369,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2567352426213106,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2619747373686844,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.267214232116058,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2724537268634317,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2776932216108054,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2829327163581791,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2881722111055528,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2934117058529265,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.2986512006003001,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3038906953476739,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3091301900950475,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3143696848424212,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3196091795897949,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3248486743371686,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3300881690845423,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.335327663831916,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3405671585792896,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3458066533266633,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.351046148074037,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3562856428214107,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3615251375687844,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3667646323161581,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3720041270635318,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3772436218109055,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3824831165582791,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3877226113056528,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3929621060530265,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.3982016008004002,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4034410955477739,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4086805902951476,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4139200850425213,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.419159579789895,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4243990745372686,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4296385692846423,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.434878064032016,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4401175587793897,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4453570535267634,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4505965482741371,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4558360430215107,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4610755377688845,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4663150325162581,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4715545272636318,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4767940220110055,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4820335167583792,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4872730115057529,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4925125062531266,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.4977520010005002,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5029914957478739,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5082309904952477,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5134704852426213,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.518709979989995,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5239494747373687,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5291889694847424,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5344284642321161,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5396679589794898,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5449074537268634,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5501469484742372,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5553864432216108,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5606259379689845,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5658654327163583,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5711049274637319,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5763444222111056,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5815839169584793,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.586823411705853,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5920629064532267,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.5973024012006003,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.602541895947974,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6077813906953478,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6130208854427214,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6182603801900951,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6234998749374687,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6287393696848425,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6339788644322162,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6392183591795898,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6444578539269635,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6496973486743373,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6549368434217109,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6601763381690846,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6654158329164582,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.670655327663832,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6758948224112057,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6811343171585793,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.686373811905953,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6916133066533267,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.6968528014007004,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7020922961480741,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7073317908954477,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7125712856428215,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7178107803901952,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7230502751375688,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7282897698849425,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7335292646323162,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7387687593796899,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7440082541270636,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7492477488744372,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.754487243621811,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7597267383691846,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7649662331165583,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.770205727863932,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7754452226113057,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7806847173586794,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7859242121060531,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7911637068534267,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.7964032016008005,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.8016426963481741,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.8068821910955478,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
0.8121216858429215,0.0,0.0,0.0,1.0,4.41960447145454,4.48028
