r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,S_i_K-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0074456058129064,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0148912116258129,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0223368174387193,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0297824232516258,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0372280290645322,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0446736348774387,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0521192406903451,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0595648465032516,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.067010452316158,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0744560581290645,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0819016639419709,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0893472697548774,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.0967928755677838,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1042384813806903,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1116840871935967,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1191296930065032,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1265752988194097,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1340209046323161,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1414665104452226,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.148912116258129,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1563577220710355,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1638033278839419,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1712489336968484,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1786945395097549,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1861401453226613,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.1935857511355677,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2010313569484742,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2084769627613807,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2159225685742871,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2233681743871935,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2308137802001,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2382593860130065,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2457049918259129,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2531505976388194,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2605962034517258,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2680418092646323,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2754874150775387,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2829330208904452,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2903786267033517,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
0.2978242325162581,0.0,0.0,0.0,1.0,4.961175387531277,4.47675
