r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,1.0,1.0,2.692709838088354,0
0.003940102376188,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0078802047523761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0118203071285642,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0157604095047523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0197005118809404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0236406142571285,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0275807166333166,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0315208190095047,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0354609213856928,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0394010237618809,0.0,0.0,1.0,1.0,2.692709838088354,0
0.043341126138069,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0472812285142571,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0512213308904452,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0551614332666333,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0591015356428214,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0630416380190095,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0669817403951976,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0709218427713857,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0748619451475738,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0788020475237619,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0827421498999499,0.0,0.0,1.0,1.0,2.692709838088354,0
0.086682252276138,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0906223546523261,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0945624570285142,0.0,0.0,1.0,1.0,2.692709838088354,0
0.0985025594047023,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1024426617808904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1063827641570785,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1103228665332666,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1142629689094547,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1182030712856428,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1221431736618309,0.0,0.0,1.0,1.0,2.692709838088354,0
0.126083276038019,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1300233784142071,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1339634807903952,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1379035831665833,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1418436855427714,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1457837879189595,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1497238902951476,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1536639926713356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1576040950475238,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1615441974237118,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1654842997998999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.169424402176088,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1733645045522761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1773046069284642,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1812447093046523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1851848116808404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1891249140570285,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1930650164332166,0.0,0.0,1.0,1.0,2.692709838088354,0
0.1970051188094047,0.0,0.0,1.0,1.0,2.692709838088354,0
