Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.944297082,-2.22E-16,1.190412783,1.78E-15,2.283266129,0.00E+00,1.988687783,0,1.415789474,0,1.918720376,0.000872915
2.018567639,0.003945205,1.238348868,1.78E-15,2.355846774,0.009369144,2.056561086,0,1.485287696,0.009279457,1.968837626,0.02525867
2.119363395,0.017753425,1.30758988,0.018062397,2.407258065,0.020299813,2.127828054,0.015416959,1.514985524,0.03406614,2.005983114,0.108969036
2.206896552,0.042410959,1.342136916,0.110563833,2.449030669,0.038073495,2.175339367,0.046250876,1.538550822,0.067705997,2.030222528,0.263192111
2.299734748,0.103561644,1.369879224,0.373095516,2.492590974,0.067715544,2.216063348,0.104064471,1.557413056,0.117404689,2.052119347,0.492857074
2.363395225,0.180493151,1.385480817,0.797241411,2.531026537,0.110445134,2.25,0.200420463,1.570445145,0.175344614,2.068297516,0.790210861
2.421750663,0.262356164,1.401006991,1.26672704,2.551525505,0.143190986,2.283936652,0.33917309,1.580219212,0.239120063,2.083685991,1.018163109
2.464190981,0.344219178,1.410710849,1.695260652,2.575099317,0.196523724,2.317873303,0.516468115,1.595779556,0.353744563,2.091461711,1.302604982
2.50928382,0.436931507,1.413945469,1.949748189,2.59508581,0.232167088,2.34841629,0.732305536,1.609165288,0.489222488,2.099074467,1.568571424
2.549071618,0.514849315,1.422783222,2.421996454,2.606616479,0.263589875,2.365384615,0.878766643,1.62037061,0.60334643,2.115858485,1.967605246
2.572944297,0.571068493,1.428321555,2.777656833,2.62184835,0.30971338,2.389140271,1.056061668,1.633135793,0.735770129,2.127494904,2.298235694
2.584333312,0.63647134,1.431983917,3.049187855,2.636083744,0.350449073,2.402714932,1.198668535,1.64020913,0.839080577,2.131355603,2.567225992
2.612732095,0.66969863,1.434571613,3.356742504,2.643770857,0.395565579,2.419683258,1.333566924,1.64829473,0.9479271,2.143452461,2.874478619
2.655172414,0.780164384,1.446147902,4.03961715,2.659657556,0.434199069,2.436651584,1.449194114,1.655951642,1.068104814,2.150604778,3.150232143
2.692307692,0.846246575,1.450324047,4.585303028,2.671956936,0.478198321,2.45361991,1.568675543,1.668185813,1.245627119,2.159816135,3.493821975
2.716180371,0.932054795,1.457860873,5.181032879,2.68220642,0.52152134,2.470588235,1.707428171,1.675957042,1.386409686,2.166047575,3.792485942
2.722939768,0.971956218,1.466849467,5.65217609,2.690991691,0.554711363,2.480769231,1.774877365,1.68430445,1.521541314,2.174504345,4.110745636
2.732646697,1.003110832,1.470799351,6.159030557,2.699219371,0.58674843,2.483147492,1.828858265,1.696993589,1.687370389,2.187495904,4.419281542
2.741916284,1.025200134,1.478637858,6.536544658,2.705944767,0.622838695,2.488299393,1.873565858,1.705738807,1.870234874,2.191839892,4.575347975
2.766578249,1.057315068,1.483737829,7.0296997,2.712885349,0.667234867,2.49684496,1.90755778,1.718599421,2.068157445,2.201972125,4.835532538
2.785922236,1.100777191,1.490063307,7.396862041,2.727867273,0.756629939,2.502467122,1.941201584,1.727305067,2.212176641,2.208317957,4.966012494
2.809018568,1.15890411,1.495026596,7.718627893,2.735375616,0.808031003,2.509724713,1.971989577,1.735242569,2.306258398,2.214949766,5.138184007
2.82946238,1.223506047,1.500414089,8.068345121,2.743703321,0.841173774,2.51344553,1.99639258,1.746892772,2.49280688,2.219582605,5.247042836
2.83898126,1.260207685,1.509690205,8.386527794,2.75441869,0.889910667,2.517575372,2.029826984,1.758651048,2.683314485,2.227764442,5.428673592
2.871175519,1.301629616,1.520116407,8.735107466,2.773426823,0.926908367,2.527756367,2.061079323,1.764383009,2.814916903,2.23473655,5.5433143
2.907161804,1.332493151,1.527804074,8.978581371,2.785433361,0.962404303,2.532908268,2.098182758,1.775984042,2.92002165,2.236343773,5.634415494
2.92171277,1.370905293,1.534450717,9.166525554,2.801714206,1.066028621,2.538182976,2.128088551,1.785474615,3.033166038,2.241787122,5.700325733
2.924655496,1.396023468,1.541861452,9.244013492,2.807300771,1.106216712,2.555429864,2.156447092,1.800907352,3.146291811,2.244882703,5.77991692
2.937452287,1.41996425,1.556419566,9.21257379,2.819258502,1.211602491,2.560599737,2.18080058,1.812598819,3.195393639,2.247043364,5.85504886
2.963825745,1.441858445,1.565940725,9.086093401,2.838511044,1.282018935,2.569004525,2.202697968,1.821424879,3.253031089,2.253554171,5.947017909
2.989542602,1.46350284,1.579227696,8.952928298,2.844711386,1.319593973,2.575881714,2.223839306,1.826905379,3.301623751,2.261274575,6.019070714
3.009626706,1.485404143,1.588129889,8.302576158,2.85644764,1.37145811,2.585972851,2.241240364,1.834210526,3.329248366,2.278580815,5.977198697
3.036507731,1.522159305,1.602696405,7.849934361,2.866697124,1.404534727,2.598247555,2.252428885,1.849256368,3.358899156,2.286465177,5.912052117
3.099747687,1.521935619,1.616422028,7.39344137,2.87089822,1.436817506,2.627400726,2.25079432,1.873684211,3.337418301,2.293550886,5.815589613
3.123976192,1.546893017,1.621845352,6.939459005,2.881147704,1.474808364,2.650452489,2.241240364,1.893384862,3.310835344,2.318002628,5.785830619
3.196286472,1.53369863,1.632099042,6.504197562,2.892129293,1.51336625,2.657239819,2.221969166,1.900765174,3.267225481,2.333771353,5.716612378
3.273209549,1.508054795,1.644099534,5.916243596,2.911503853,1.551483115,2.680995475,2.17764541,1.913438725,3.219349685,2.340193637,5.647029005
3.310344828,1.471561644,1.651938041,5.677356828,2.915843993,1.570447042,2.708144796,2.115977575,1.927000827,3.167562109,2.347717725,5.465726311
3.352785146,1.44690411,1.655463722,5.372166793,2.921183921,1.599407458,2.735294118,2.046601261,1.939920898,3.075976379,2.363589489,5.152539017
3.367535744,1.410460996,1.665469478,5.005353722,2.928978627,1.644097644,2.755656109,1.961807989,1.960867111,2.922092056,2.385146461,4.903035265
3.385637575,1.387745874,1.672715026,4.552541414,2.935190364,1.697558419,2.758774207,1.922255257,1.985302278,2.760333291,2.402648297,4.560793589
3.415428608,1.368870351,1.685578083,4.021725264,2.956380105,1.72792764,2.774017245,1.877977426,2.00725106,2.610630184,2.418129526,4.178449027
3.454530434,1.346414249,1.704360332,3.370783196,2.984566185,1.672084565,2.797413466,1.819762418,2.029826285,2.41568786,2.43535643,3.863436299
3.479739492,1.342262613,1.717816349,2.887549389,3.011726089,1.652730445,2.815404185,1.780168865,2.052460966,2.258875575,2.449274163,3.5847858
3.505034612,1.282835042,1.739995111,2.185953576,3.025494597,1.563152238,2.828243002,1.747430507,2.073552373,2.090673077,2.46695046,3.292590449
3.531860234,1.257596793,1.754044087,1.821626877,3.042785635,1.595529716,2.845416006,1.713566153,2.100762015,1.940947789,2.484204299,2.932639197
3.5610935,1.235866088,1.771492549,1.498022364,3.055493207,1.534724295,2.858295759,1.679336105,2.112767552,1.843038542,2.510510544,2.681284104
3.586633888,1.21812618,1.781843331,1.329199761,3.064461505,1.504293807,2.871911498,1.636294584,2.129769845,1.737598667,2.526190673,2.386009516
3.594203274,1.19701704,1.810677653,0.938901962,3.090725806,1.474078701,2.891783117,1.595775134,2.149673176,1.612661232,2.546383575,2.16124727
3.618999806,1.179123662,1.844516339,0.621732765,3.108870968,1.427232979,2.911654736,1.556561732,2.180471842,1.46384337,2.565258104,1.939608567
3.640706476,1.164065352,1.897919961,0.337328542,3.120967742,1.339787633,2.928582411,1.526052444,2.19032675,1.415223485,2.577160526,1.755851143
3.694623795,1.121239906,1.936659974,0.216608309,3.160282258,1.186758276,2.94845403,1.495538539,2.203504033,1.361455471,2.599412467,1.55315308
3.767292776,1.050984029,2.029817015,0.084481298,3.181451613,1.055590256,2.968039385,1.460343757,2.216681315,1.31021615,2.6237034,1.377370661
3.84373423,0.998349482,2.111850866,0.048166393,3.211693548,0.911930044,2.984517339,1.427373266,2.232489879,1.254395492,2.636518076,1.271203396
3.854266675,0.977126362,2.197070573,0.030103996,3.229168322,0.863930487,3.004675222,1.399882346,2.249978615,1.196878644,2.648743624,1.159553316
