r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_K-U,g(r)_weighted_U-F,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_Na-F,g(r)_weighted_K-K,g(r)_weighted_K-F,g(r)_weighted_F-F,S_i_U-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
3.7285242621310655,0.0010205416865526821,0.06295354550369003,0.008336731207667085,0.02056938045684927,0.07415504383256358,0.014831973800879418,0.10367762093683347,0.004267718641726019,0.03128569330520688,0.4369649389518913,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7325162581290643,0.0010534763174819299,0.06317302253771263,0.008356277770765459,0.020709263204805047,0.07416779761495101,0.014859351892905976,0.10392906292494548,0.004200800778365076,0.03126186406433896,0.4366855187517778,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7365082541270636,0.0010864109484111813,0.06339249957173526,0.008375824333863836,0.020849145952760842,0.07418055139733848,0.014886729984932538,0.10418050491305751,0.004133882915004124,0.031238034823471046,0.4364060985516643,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7405002501250624,0.0011122585324684373,0.0636070946516592,0.00841523269285327,0.020970445374814094,0.07417567053732958,0.014913941663439286,0.10442460136711774,0.004073702008724289,0.031219218551580757,0.43609114132909543,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.744492246123061,0.0010886385293591531,0.06378761369197448,0.008593276387162386,0.020962033182067612,0.0740476998733942,0.014939991775577754,0.10461742599349669,0.004060545062870632,0.03123539280315431,0.43552813568978793,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7484842421210605,0.001065018526249866,0.06396813273228982,0.008771320081471523,0.020953620989321128,0.0739197292094588,0.014966041887716223,0.10481025061987567,0.004047388117016973,0.031251567054727876,0.4349651300504803,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7524762381190593,0.0010413985231405817,0.06414865177260512,0.00894936377578064,0.020945208796574646,0.07379175854552342,0.014992091999854691,0.10500307524625462,0.004034231171163317,0.03126774130630143,0.4344021244111728,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7564682341170585,0.0010177785200312947,0.06432917081292043,0.009127407470089775,0.020936796603828165,0.07366378788158802,0.015018142111993161,0.1051958998726336,0.004021074225309658,0.031283915557875,0.43383911877186526,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7604602301150574,0.0009941585169220104,0.06450968985323574,0.009305451164398891,0.020928384411081684,0.07353581721765264,0.01504419222413163,0.10538872449901253,0.0040079172794560015,0.03130008980944855,0.43327611313255776,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.764452226113056,0.0009705385138127259,0.06469020889355104,0.00948349485870801,0.020919972218335203,0.07340784655371727,0.015070242336270098,0.10558154912539149,0.0039947603336023445,0.03131626406102211,0.43271310749325015,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7684442221110555,0.0009469185107034391,0.06487072793386636,0.009661538553017147,0.020911560025588718,0.07327987588978187,0.015096292448408568,0.10577437375177046,0.003981603387748686,0.03133243831259567,0.4321501018539426,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7724362181090543,0.0009232985075941547,0.06505124697418165,0.009839582247326263,0.020903147832842237,0.07315190522584648,0.015122342560547036,0.10596719837814941,0.003968446441895029,0.03134861256416923,0.4315870962146351,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7764282141070535,0.0008996785044848676,0.06523176601449698,0.010017625941635399,0.020894735640095755,0.07302393456191109,0.015148392672685506,0.10616002300452838,0.00395528949604137,0.03136478681574279,0.43102409057532753,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7804202101050524,0.0008934038396765264,0.06539875659472599,0.010193222960883918,0.020887335440461632,0.07289124077610258,0.01517440039619658,0.10632900328037184,0.003944897132313196,0.03137332719747463,0.4304894316655204,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.784412206103051,0.0010345645504261825,0.06545075526422164,0.010348023242117357,0.02088853718228256,0.07271840045437263,0.015200047816374804,0.10629530657666371,0.003958003716651624,0.03131697968555186,0.43019571995646594,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7884042021010504,0.001175725261175854,0.06550275393371727,0.010502823523350812,0.020889738924103483,0.07254556013264267,0.015225695236553032,0.10626160987295559,0.003971110300990053,0.03126063217362909,0.4299020082474115,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7923961980990493,0.00131688597192551,0.06555475260321292,0.01065762380458425,0.02089094066592441,0.07237271981091273,0.015251342656731254,0.10622791316924746,0.00398421688532848,0.03120428466170632,0.42960829653835714,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.7963881940970485,0.0014580466826751817,0.06560675127270856,0.010812424085817706,0.020892142407745336,0.07219987948918276,0.015276990076909481,0.10619421646553932,0.003997323469666909,0.03114793714978354,0.4293145848293027,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.8003801900950474,0.0015992073934248377,0.06565874994220419,0.010967224367051144,0.020893344149566263,0.07202703916745282,0.015302637497087705,0.10616051976183119,0.004010430054005337,0.031091589637860774,0.4290208731202482,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.804372186093046,0.0017403681041744939,0.06571074861169983,0.011122024648284582,0.020894545891387187,0.07185419884572286,0.01532828491726593,0.10612682305812306,0.004023536638343764,0.031035242125938004,0.4287271614111939,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.8083641820910454,0.0018815288149241654,0.06576274728119547,0.011276824929518038,0.020895747633208114,0.0716813585239929,0.015353932337444157,0.10609312635441492,0.004036643222682194,0.03097889461401523,0.4284334497021394,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
