r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Na,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_Na-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.35728989214607304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.3647334315657829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.37217697098549274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.3796205104052026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.3870640498249125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.3945075892446223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.4019511286643322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.40939466808404207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.4168382075037519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.42428174692346177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.4317252863431716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.43916882576288147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.44661236518259134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.45405590460230116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.46149944402201104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.46894298344172086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.47638652286143074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.4838300622811406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.49127360170085044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.4987171411205603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5061606805402702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5136042199599801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5210477593796898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5284912987993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5359348382191096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5433783776388195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5508219170585293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5582654564782391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.565708995897949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5731525353176589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5805960747373687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5880396141570786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.5954831535767884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6029266929964983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6103702324162081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.617813771835918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6252573112556279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6327008506753377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6401443900950475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6475879295147574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6550314689344673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6624750083541772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6699185477738869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6773620871935968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6848056266133067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6922491660330166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.6996927054527264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7071362448724362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7145797842921461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.722023323711856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7294668631315658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7369104025512757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7443539419709855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7517974813906954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7592410208104052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7666845602301151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.774128099649825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7815716390695348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7890151784892446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.7964587179089545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8039022573286644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8113457967483743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8187893361680841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8262328755877939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8336764150075038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8411199544272137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8485634938469235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8560070332666334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8634505726863432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.870894112106053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8783376515257629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8857811909454728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.8932247303651827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9006682697848925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9081118092046023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9155553486243122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9229988880440221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.930442427463732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9378859668834417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9453295063031516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9527730457228615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9602165851425714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9676601245622812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.975103663981991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9825472034017009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9899907428214108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
0.9974342822411206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0048778216608305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0123213610805404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0197649005002503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0272084399199601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0346519793396698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0420955187593797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0495390581790895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0569825975987994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0644261370185093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0718696764382192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.079313215857929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.086756755277639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.0942002946973488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1016438341170587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1090873735367683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1165309129564782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.123974452376188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.131417991795898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1388615312156078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1463050706353177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1537486100550276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1611921494747375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1686356888944474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1760792283141572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1835227677338669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1909663071535768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.1984098465732866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2058533859929965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2132969254127064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2207404648324163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2281840042521261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.235627543671836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.243071083091546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2505146225112558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2579581619309654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2654017013506753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2728452407703852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.280288780190095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.287732319609805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.2951758590295148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3026193984492247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3100629378689346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3175064772886445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3249500167083543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3323935561280642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3398370955477739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3472806349674837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3547241743871936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3621677138069035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3696112532266134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3770547926463232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3844983320660331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.391941871485743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.3993854109054529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4068289503251628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4142724897448724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4217160291645823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4291595685842922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.436603108004002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.444046647423712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4514901868434218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4589337262631317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4663772656828415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4738208051025514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4812643445222613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.488707883941971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.4961514233616808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.5035949627813907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.5110385022011006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.5184820416208105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.5259255810405203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
1.5333691204602302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8163178993748117,3.76913
