r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Mg,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,S_i_K-Cl,S_i_Mg-Cl,Average_SCL,SCL_BC
9.949800525262631,0.46118459026892095,0.25071190140933325,0.11615872553154379,0.05314882360961587,0.10860973459930467,0.022105549568578714,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.955040020010006,0.4610490992051081,0.2506827902988229,0.11591187105443466,0.05314204968779354,0.10857771252082721,0.022087664201165914,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.96027951475738,0.4609136081412954,0.2506536791883126,0.11566501657732567,0.0531352757659712,0.10854569044234977,0.02206977883375312,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.965519009504751,0.46077811707748256,0.2506245680778023,0.11541816210021667,0.05312850184414887,0.10851366836387233,0.022051893466340327,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.970758504252126,0.46064262601366973,0.250595456967292,0.11517130762310765,0.053121727922326535,0.1084816462853949,0.022034008098927534,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.9759979989995,0.4605071349498569,0.25056634585678167,0.11492445314599865,0.0531149540005042,0.10844962420691745,0.02201612273151474,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.981237493746876,0.460371643886044,0.2505372347462714,0.11467759866888955,0.053108180078681864,0.10841760212843998,0.021998237364101943,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.986476988494248,0.46023615282223124,0.2505081236357611,0.11443074419178055,0.053101406156859536,0.10838558004996256,0.02198035199668915,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.99171648324162,0.4601006617584185,0.25047901252525073,0.11418388971467153,0.053094632235037194,0.10835355797148512,0.021962466629276357,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
9.996955977988994,0.4599651706946057,0.25044990141474044,0.11393703523756253,0.053087858313214865,0.10832153589300769,0.021944581261863563,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.00219547273637,0.45983927214619663,0.25043349401071263,0.11369805923964059,0.053079736389331576,0.10829338544850453,0.02193457498989362,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.007434967483745,0.45975693960524644,0.25047478260695927,0.11349486466802709,0.053065492289421444,0.10828281867496796,0.021960352943059962,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.012674462231116,0.4596746070642962,0.2505160712032058,0.11329167009641358,0.053051248189511326,0.10827225190143137,0.021986130896226308,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.01791395697849,0.4595922745233459,0.25055735979945243,0.11308847552480007,0.05303700408960118,0.10826168512789479,0.022011908849392654,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.023153451725864,0.4595099419823957,0.25059864839569906,0.11288528095318656,0.05302275998969106,0.1082511183543582,0.022037686802558996,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.028392946473238,0.45942760944144534,0.2506399369919457,0.11268208638157301,0.053008515889780936,0.10824055158082165,0.022063464755725348,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.033632441220613,0.45934527690049504,0.25068122558819234,0.1124788918099595,0.05299427178987079,0.10822998480728506,0.022089242708891694,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.038871935967984,0.45926294435954496,0.25072251418443897,0.11227569723834599,0.05298002768996067,0.10821941803374847,0.022115020662058036,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.044111430715358,0.45918061181859465,0.2507638027806856,0.11207250266673249,0.05296578359005054,0.10820885126021189,0.022140798615224378,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.049350925462733,0.4590982792776444,0.25080509137693213,0.1118693080951189,0.052951539490140406,0.1081982844866753,0.022166576568390734,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.054590420210106,0.45900941558365693,0.2508431074571206,0.1116722559216458,0.0529374174956342,0.10819774269698645,0.022187921758452262,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.05982991495748,0.4588863653854904,0.25086399396106634,0.1115073553634388,0.0529239346466017,0.10824967543212556,0.022186064204137025,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.065069409704853,0.45876331518732394,0.2508848804650121,0.11134245480523182,0.0529104517975692,0.10830160816726467,0.02218420664982179,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.070308904452228,0.4586402649891574,0.25090576696895794,0.11117755424702473,0.052896968948536696,0.10835354090240377,0.022182349095506555,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.0755483991996,0.45851721479099095,0.25092665347290377,0.11101265368881776,0.052883486099504176,0.1084054736375429,0.02218049154119132,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.080787893946974,0.4583941645928244,0.25094753997684954,0.11084775313061075,0.05287000325047167,0.10845740637268197,0.022178633986876084,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.086027388694347,0.4582711143946579,0.2509684264807953,0.11068285257240375,0.05285652040143918,0.10850933910782108,0.022176776432560847,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.09126688344172,0.45814806419649134,0.25098931298474114,0.11051795201419674,0.05284303755240667,0.1085612718429602,0.022174918878245617,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.096506378189096,0.4580250139983249,0.2510101994886869,0.11035305145598968,0.05282955470337415,0.10861320457809931,0.02217306132393038,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.101745872936467,0.45790196380015835,0.25103108599263263,0.11018815089778271,0.052816071854341645,0.10866513731323842,0.022171203769615146,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
10.106985367683842,0.4577286234988953,0.2510225806408728,0.11002031555080471,0.05279328286932146,0.10869148957290628,0.022165906726260336,1.1314971674140872e-08,5.912842220475098e-34,3.155025927661307,3.91988
