r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,lambda_BC
0.1972259712576288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2010187783971986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2048115855367683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2086043926763381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2123971998159079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2161900069554777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2199828140950475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2237756212346172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2275684283741871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2313612355137568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2351540426533266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2389468497928964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2427396569324662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.246532464072036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2503252712116058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2541180783511755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2579108854907453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2617036926303151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2654964997698849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2692893069094547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2730821140490245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2768749211885942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.280667728328164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2844605354677338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2882533426073036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2920461497468734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.2958389568864432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
