r (A),g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,1.0,4.520019890863981,4.48028
0.0079706459279639,0.0,9.988346549646667e-05,1.0,4.520019890863981,4.48028
0.0159412918559279,0.0,0.00019976693099293334,1.0,4.520019890863981,4.48028
0.0239119377838919,0.0,0.00029965039648943335,1.0,4.520019890863981,4.48028
0.0318825837118559,0.0,0.00039953386198589996,1.0,4.520019890863981,4.48028
0.0398532296398199,0.0,0.0004994173274824,1.0,4.520019890863981,4.48028
0.0478238755677838,0.0,0.0005993007929788667,1.0,4.520019890863981,4.48028
0.0557945214957478,0.0,0.0006991842584753666,1.0,4.520019890863981,4.48028
0.0637651674237118,0.0,0.0007990677239718333,1.0,4.520019890863981,4.48028
0.0717358133516758,0.0,0.0008989511894682999,1.0,4.520019890863981,4.48028
0.0797064592796398,0.0,0.0009988346549648,1.0,4.520019890863981,4.48028
0.0876771052076038,0.0,0.0010987181204612667,1.0,4.520019890863981,4.48028
0.0956477511355677,0.0,0.0011986015859577666,1.0,4.520019890863981,4.48028
0.1036183970635317,0.0,0.0012984850514542333,1.0,4.520019890863981,4.48028
0.1115890429914957,0.0,0.0013983685169507332,1.0,4.520019890863981,4.48028
0.1195596889194597,0.0,0.0014982519824472,1.0,4.520019890863981,4.48028
0.1275303348474237,0.0,0.0015981354479437,1.0,4.520019890863981,4.48028
0.1355009807753877,0.0,0.0016980189134401665,1.0,4.520019890863981,4.48028
0.1434716267033516,0.0,0.0017344723587711,1.0,4.520019890863981,4.48028
0.1514422726313156,0.0,0.0017336873813969666,1.0,4.520019890863981,4.48028
0.1594129185592796,0.0,0.0017329024040227997,1.0,4.520019890863981,4.48028
0.1673835644872436,0.0,0.0017321174266486665,1.0,4.520019890863981,4.48028
0.1753542104152076,0.0,0.0017313324492745,1.0,4.520019890863981,4.48028
0.1833248563431715,0.0,0.0017305474719003667,1.0,4.520019890863981,4.48028
0.1912955022711355,0.0,0.0017297624945261999,1.0,4.520019890863981,4.48028
0.1992661481990995,0.0,0.0017289775171520666,1.0,4.520019890863981,4.48028
0.2072367941270635,0.0,0.0017281925397778998,1.0,4.520019890863981,4.48028
