r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_Na-Cl,S_i_U-Cl,Average_SCL,SCL_BC
0.1661111413146573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.169571790092046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1730324388694347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1764930876468234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1799537364242121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1834143852016008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1868750339789895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1903356827563782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1937963315337668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.1972569803111555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2007176290885442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2041782778659329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2076389266433216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2110995754207103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.214560224198099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2180208729754877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2214815217528764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2249421705302651,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2284028193076538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2318634680850425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2353241168624312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2387847656398199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2422454144172086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2457060631945973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.249166711971986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2526273607493747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2560880095267633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2595486583041521,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2630093070815408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2664699558589294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2699306046363182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2733912534137068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2768519021910955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2803125509684842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2837731997458729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2872338485232616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2906944973006503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.294155146078039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.2976157948554277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3010764436328164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3045370924102051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3079977411875938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3114583899649825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3149190387423712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3183796875197598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3218403362971486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3253009850745372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3287616338519259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3322222826293146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3356829314067033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3391435801840921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3426042289614807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3460648777388694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3495255265162581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3529861752936468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3564468240710355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3599074728484242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3633681216258129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3668287704032016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3702894191805903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.373750067957979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3772107167353677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3806713655127564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3841320142901451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3875926630675337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3910533118449225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3945139606223111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.3979746093996998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4014352581770885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4048959069544772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4083565557318659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4118172045092546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4152778532866433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.418738502064032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4221991508414207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4256597996188094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4291204483961981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4325810971735868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4360417459509755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4395023947283641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4429630435057529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4464236922831416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4498843410605302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.453344989837919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
