r (A),g(r)_weighted_F-F,g(r)_weighted_U-F,g(r)_weighted_U-U,S_i_U-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0049635585382691,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0099271170765382,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0148906756148074,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0198542341530765,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0248177926913456,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0297813512296148,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0347449097678839,0.0,0.0,0.0,1.0,4.193369013535982,0
0.039708468306153,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0446720268444222,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0496355853826913,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0545991439209604,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0595627024592296,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0645262609974987,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0694898195357678,0.0,0.0,0.0,1.0,4.193369013535982,0
0.074453378074037,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0794169366123061,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0843804951505752,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0893440536888444,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0943076122271135,0.0,0.0,0.0,1.0,4.193369013535982,0
0.0992711707653827,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1042347293036518,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1091982878419209,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1141618463801901,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1191254049184592,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1240889634567283,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1290525219949975,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1340160805332666,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1389796390715357,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1439431976098049,0.0,0.0,0.0,1.0,4.193369013535982,0
0.148906756148074,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1538703146863431,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1588338732246123,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1637974317628814,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1687609903011505,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1737245488394197,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1786881073776888,0.0,0.0,0.0,1.0,4.193369013535982,0
0.183651665915958,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1886152244542271,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1935787829924962,0.0,0.0,0.0,1.0,4.193369013535982,0
0.1985423415307654,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2035059000690345,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2084694586073036,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2134330171455728,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2183965756838419,0.0,0.0,0.0,1.0,4.193369013535982,0
0.223360134222111,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2283236927603802,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2332872512986493,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2382508098369185,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2432143683751876,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2481779269134567,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2531414854517259,0.0,0.0,0.0,1.0,4.193369013535982,0
0.258105043989995,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2630686025282641,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2680321610665332,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2729957196048024,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2779592781430715,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2829228366813406,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2878863952196098,0.0,0.0,0.0,1.0,4.193369013535982,0
0.292849953757879,0.0,0.0,0.0,1.0,4.193369013535982,0
0.2978135122961481,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3027770708344172,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3077406293726863,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3127041879109555,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3176677464492246,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3226313049874937,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3275948635257629,0.0,0.0,0.0,1.0,4.193369013535982,0
0.332558422064032,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3375219806023011,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3424855391405703,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3474490976788394,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3524126562171086,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3573762147553777,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3623397732936468,0.0,0.0,0.0,1.0,4.193369013535982,0
0.367303331831916,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3722668903701851,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3772304489084542,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3821940074467234,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3871575659849925,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3921211245232616,0.0,0.0,0.0,1.0,4.193369013535982,0
0.3970846830615308,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4020482415997999,0.0,0.0,0.0,1.0,4.193369013535982,0
0.407011800138069,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4119753586763381,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4169389172146073,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4219024757528765,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4268660342911456,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4318295928294147,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4367931513676839,0.0,0.0,0.0,1.0,4.193369013535982,0
0.441756709905953,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4467202684442221,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4516838269824912,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4566473855207604,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4616109440590295,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4665745025972986,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4715380611355678,0.0,0.0,0.0,1.0,4.193369013535982,0
0.476501619673837,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4814651782121061,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4864287367503752,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4913922952886443,0.0,0.0,0.0,1.0,4.193369013535982,0
0.4963558538269135,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5013194123651826,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5062829709034518,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5112465294417209,0.0,0.0,0.0,1.0,4.193369013535982,0
0.51621008797999,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5211736465182591,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5261372050565283,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5311007635947974,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5360643221330665,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5410278806713357,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5459914392096048,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5509549977478739,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5559185562861431,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5608821148244122,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5658456733626813,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5708092319009505,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5757727904392197,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5807363489774888,0.0,0.0,0.0,1.0,4.193369013535982,0
0.585699907515758,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5906634660540271,0.0,0.0,0.0,1.0,4.193369013535982,0
0.5956270245922962,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6005905831305653,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6055541416688345,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6105177002071036,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6154812587453727,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6204448172836419,0.0,0.0,0.0,1.0,4.193369013535982,0
0.625408375821911,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6303719343601801,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6353354928984493,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6402990514367184,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6452626099749875,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6502261685132567,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6551897270515258,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6601532855897949,0.0,0.0,0.0,1.0,4.193369013535982,0
0.665116844128064,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6700804026663332,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6750439612046023,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6800075197428714,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6849710782811406,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6899346368194097,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6948981953576788,0.0,0.0,0.0,1.0,4.193369013535982,0
0.6998617538959481,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7048253124342172,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7097888709724863,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7147524295107555,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7197159880490246,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7246795465872937,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7296431051255629,0.0,0.0,0.0,1.0,4.193369013535982,0
0.734606663663832,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7395702222021011,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7445337807403702,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7494973392786394,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7544608978169085,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7594244563551776,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7643880148934468,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7693515734317159,0.0,0.0,0.0,1.0,4.193369013535982,0
0.774315131969985,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7792786905082542,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7842422490465233,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7892058075847924,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7941693661230615,0.0,0.0,0.0,1.0,4.193369013535982,0
0.7991329246613307,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8040964831995998,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8090600417378689,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8140236002761381,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8189871588144072,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8239507173526763,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8289142758909456,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8338778344292147,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8388413929674838,0.0,0.0,0.0,1.0,4.193369013535982,0
0.843804951505753,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8487685100440221,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8537320685822912,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8586956271205604,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8636591856588295,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8686227441970986,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8735863027353677,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8785498612736369,0.0,0.0,0.0,1.0,4.193369013535982,0
0.883513419811906,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8884769783501751,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8934405368884443,0.0,0.0,0.0,1.0,4.193369013535982,0
0.8984040954267134,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9033676539649824,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9083312125032516,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9132947710415208,0.0,0.0,0.0,1.0,4.193369013535982,0
0.91825832957979,0.0,0.0,0.0,1.0,4.193369013535982,0
0.923221888118059,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9281854466563282,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9331490051945972,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9381125637328664,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9430761222711356,0.0,0.0,0.0,1.0,4.193369013535982,0
0.9480396808094048,0.0,0.0,0.0,1.0,4.193369013535982,0
