r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_Be-Li,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0049739935257628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0099479870515257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0149219805772886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0198959741030515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0248699676288144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0298439611545772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0348179546803401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.039791948206103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0447659417318659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0497399352576288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0547139287833916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0596879223091545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0646619158349174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0696359093606803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0746099028864432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0795838964122061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0845578899379689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0895318834637318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0945058769894947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.0994798705152576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1044538640410205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1094278575667833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1144018510925462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1193758446183091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.124349838144072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1293238316698349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1342978251955978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1392718187213606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1442458122471235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1492198057728864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1541937992986493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1591677928244122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1641417863501751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1691157798759379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1740897734017008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1790637669274637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1840377604532266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1890117539789895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1939857475047523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.1989597410305152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2039337345562781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.208907728082041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2138817216078039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2188557151335667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2238297086593296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2288037021850925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2337776957108554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2387516892366183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2437256827623811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.248699676288144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2536736698139069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2586476633396698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2636216568654327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2685956503911956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2735696439169585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2785436374427213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2835176309684842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2884916244942471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.29346561802001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.2984396115457728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3034136050715357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3083875985972986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3133615921230615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3183355856488244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3233095791745873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3282835727003502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3332575662261131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3382315597518759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3432055532776388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3481795468034017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3531535403291646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3581275338549274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3631015273806903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3680755209064532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3730495144322161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.378023507957979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3829975014837419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3879714950095047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3929454885352676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.3979194820610305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4028934755867934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4078674691125563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4128414626383191,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.417815456164082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4227894496898449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4277634432156078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4327374367413706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4377114302671335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4426854237928964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4476594173186593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4526334108444222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4576074043701851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.462581397895948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4675553914217109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4725293849474737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4775033784732366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4824773719989995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4874513655247623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4924253590505252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.4973993525762881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.502373346102051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.5073473396278139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.5123213331535768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
0.5172953266793396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0907097498714364,1.90187
