r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Li,g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Ca-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0049475287094096,7.101804430930953e-06,0.0,9.82664322918889e-06,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0098950574188193,1.4203608861861907e-05,0.0,1.965328645837778e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0148425861282289,2.130541329279286e-05,0.0,2.947992968756667e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0197901148376386,2.8407217723723813e-05,0.0,3.9306572916761124e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0247376435470482,3.5509022154657146e-05,0.0,4.9133216145950014e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0296851722564579,4.2610826585588096e-05,0.0,5.89598593751389e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0346327009658675,4.9712631016519054e-05,0.0,6.878650260433334e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0395802296752772,5.6814435447450005e-05,0.00026626097448069686,7.861314583352225e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0445277583846868,6.391623987838334e-05,0.00027203694208788814,8.843978906271114e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0494752870940965,7.101804430931429e-05,0.0002778129096950794,9.826643229190558e-05,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0544228158035061,7.811984874024524e-05,0.0002835888773022707,0.00010809307552109447,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0593703445129158,8.522165317117619e-05,0.0002893648449094619,0.00011791971875028336,0.0,0.0,0.0,1.0,1.0,2.794731625702527,0
0.0643178732223254,9.232345760210953e-05,0.0002951408125166532,0.00012774636197947778,0.0,0.0017565224353572279,0.0,1.0,1.0,2.794731625702527,0
0.0692654019317351,9.942526203304049e-05,0.00030091678012384446,0.0001375730052086667,0.0,0.001755255436226115,0.0,1.0,1.0,2.794731625702527,0
0.0742129306411447,0.00010652706646397143,0.00030669274773103574,0.0001473996484378556,0.0,0.001753988437095002,0.0,1.0,1.0,2.794731625702527,0
0.0791604593505544,0.0001136288708949024,0.000312468715338227,0.00015722629166705002,0.0,0.001752721437963889,0.0,1.0,1.0,2.794731625702527,0
0.084107988059964,0.00012073067532583572,0.0003182446829454183,0.00016705293489623893,0.0,0.0017514544388328001,0.0,1.0,1.0,2.794731625702527,0
0.0890555167693737,0.00012783247975676668,0.0003240206505526095,0.0001768795781254278,0.008395969212798077,0.0017501874397016872,0.0,1.0,1.0,2.794731625702527,0
0.0940030454787833,0.00013493428418769762,0.0003297966181597905,0.00018670622135462227,0.008393909664530425,0.0017489204405705743,0.0,1.0,1.0,2.794731625702527,0
0.098950574188193,0.00014203608861862858,0.00033557258576698176,0.00019653286458381117,0.008391850116262775,0.0017476534414394612,0.0,1.0,1.0,2.794731625702527,0
0.1038981028976026,0.0001491378930495619,0.00034134855337417303,0.00020635950781300005,0.008389790567995077,0.0017463864423083483,0.0,1.0,1.0,2.794731625702527,0
0.1088456316070123,0.00015623969748049287,0.0003471245209813643,0.00021618615104219448,0.008387731019727429,0.0017451194431772595,0.0,1.0,1.0,2.794731625702527,0
0.1137931603164219,0.0001633415019114238,0.0003529004885885556,0.00022601279427138338,0.008385671471459777,0.0017438524440461464,0.0,1.0,1.0,2.794731625702527,0
0.1187406890258316,0.0001704433063423548,0.00035867645619574686,0.00023583943750057226,0.008383611923192126,0.0017425854449150335,0.0,1.0,1.0,2.794731625702527,0
0.1236882177352412,0.00017193054964025715,0.00036445242380293814,0.0002456660807297667,0.008381552374924474,0.0017413184457839206,0.0,1.0,1.0,2.794731625702527,0
0.1286357464446509,0.0001717378455125262,0.00036913281748443495,0.00025549272395895557,0.008379492826656823,0.0017400514466528075,0.0,1.0,1.0,2.794731625702527,0
0.1335832751540605,0.00017154514138479764,0.00037278493739927146,0.0002561637681523167,0.008377433278389173,0.0017387844475217186,0.0,1.0,1.0,2.794731625702527,0
0.1385308038634702,0.00017135243725706906,0.00037643705731410797,0.0002537911609838334,0.008375373730121476,0.0017375174483906057,0.0,1.0,1.0,2.794731625702527,0
0.1434783325728798,0.00017115973312933813,0.0003800891772289445,0.00025141855381535,0.008373314181853825,0.0017362504492594928,0.0,1.0,1.0,2.794731625702527,0
0.1484258612822895,0.00017096702900160955,0.000383741297143781,0.00024904594664686673,0.008371254633586175,0.0017349834501283797,0.0,1.0,1.0,2.794731625702527,0
0.1533733899916991,0.0001707743248738786,0.0003873934170586175,0.0002466733394783778,0.008369195085318524,0.0017337164509972668,0.0,1.0,1.0,2.794731625702527,0
0.1583209187011088,0.00017058162074615,0.000391045536973454,0.0002443007323098945,0.008367135537050872,0.001732449451866178,0.0,1.0,1.0,2.794731625702527,0
0.1632684474105184,0.00017038891661842143,0.0003946976568882905,0.00024192812514141118,0.00836507598878322,0.0017307428993670112,0.0,1.0,1.0,2.794731625702527,0
0.1682159761199281,0.0001701962124906905,0.0003983497768031373,0.0002395555179729278,0.008363016440515571,0.0017288415593694558,0.0,1.0,1.0,2.794731625702527,0
0.1731635048293377,0.00017000350836296192,0.00040200189671797383,0.00023718291080444449,0.008360956892247876,0.0017269402193719001,0.0,1.0,1.0,2.794731625702527,0
0.1781110335387474,0.00016981080423523334,0.0004056540166328104,0.00023481030363596116,0.008358175619036248,0.0017250388793743686,0.0,1.0,1.0,2.794731625702527,0
0.183058562248157,0.00016961810010750238,0.00040930613654764685,0.0002324376964674778,0.008355349066586132,0.0017231375393768132,0.0,1.0,1.0,2.794731625702527,0
0.1880060909575667,0.00016942539597977383,0.0004129582564624834,0.0002300650892989945,0.008352522514136061,0.0017212361993792576,0.0,1.0,1.0,2.794731625702527,0
0.1929536196669763,0.00016923269185204287,0.00041661037637731987,0.00022769248213051118,0.008349695961685945,0.001719334859381726,0.0,1.0,1.0,2.794731625702527,0
0.197901148376386,0.0001690399877243143,0.00042026249629215643,0.00022531987496202227,0.008346869409235829,0.0017174335193841706,0.0,1.0,1.0,2.794731625702527,0
0.2028486770857956,0.00016884728359658574,0.0004239146162069929,0.00022294726779353895,0.008344042856785758,0.0017155321793866148,0.0,1.0,1.0,2.794731625702527,0
0.2077962057952053,0.00016865457946885478,0.00042756673612182945,0.00022057466062505563,0.008341216304335642,0.0017136308393890833,0.0,1.0,1.0,2.794731625702527,0
0.2127437345046149,0.0001684618753411262,0.0004312188560366659,0.00021820205345657225,0.008338389751885571,0.0017117294993915279,0.0,1.0,1.0,2.794731625702527,0
0.2176912632140246,0.00016826917121339527,0.0004295537410964532,0.00021582944628808893,0.008335563199435457,0.0017098281593939722,0.0,1.0,1.0,2.794731625702527,0
0.2226387919234342,0.0001681095147579381,0.0004276780225349151,0.00021345683911960558,0.008332736646985386,0.0017079268193964407,0.0,1.0,1.0,2.794731625702527,0
0.2275863206328439,0.00016797400852452382,0.00042580230397337704,0.00021108423195112226,0.00832991009453527,0.0017060254793988853,0.0,1.0,1.0,2.794731625702527,0
0.2325338493422535,0.00016783850229110952,0.00042392658541183894,0.00020871162478263894,0.008327083542085199,0.0017041241394013297,0.0,1.0,1.0,2.794731625702527,0
0.2374813780516632,0.00016770299605769288,0.0004220508668503009,0.00020633901761415004,0.008324256989635083,0.0017022227994037983,0.0,1.0,1.0,2.794731625702527,0
0.2424289067610728,0.00016756748982427858,0.0004201751482887627,0.00020396641044566672,0.008321430437184966,0.0017003214594062427,0.0,1.0,1.0,2.794731625702527,0
0.2473764354704825,0.0001674319835908643,0.00041829942972722463,0.00020159380327718337,0.008318603884734896,0.0016984201194086871,0.0,1.0,1.0,2.794731625702527,0
0.2523239641798921,0.00016729647735745003,0.00041642371116568653,0.00019922119610870005,0.008315777332284781,0.001696501273554365,0.0,1.0,1.0,2.794731625702527,0
0.2572714928893018,0.00016716097112403573,0.0004145479926041485,0.0001968485889402167,0.00831295077983471,0.001694566281521461,0.0,1.0,1.0,2.794731625702527,0
0.2622190215987114,0.00016702546489062145,0.0004126722740426103,0.00019447598177173335,0.008309909836719757,0.0016926312894885575,0.0,1.0,1.0,2.794731625702527,0
0.2671665503081211,0.00016688995865720715,0.0004107965554810722,0.00019210337460325003,0.008306529336804612,0.0016906962974556539,0.0,1.0,1.0,2.794731625702527,0
0.2721140790175307,0.00016675445242379287,0.00040892083691953417,0.0001918297108139667,0.008303148836889424,0.0016887613054227502,0.0,1.0,1.0,2.794731625702527,0
0.2770616077269404,0.0001666189461903762,0.00040704511835799607,0.00019381340122495003,0.008299768336974234,0.0016868263133898464,0.0,1.0,1.0,2.794731625702527,0
0.28200913643635,0.00016648343995696193,0.000405169399796458,0.00019579709163593893,0.008296387837059046,0.0016848913213569426,0.0,1.0,1.0,2.794731625702527,0
0.2869566651457597,0.00016634793372354763,0.00040329368123491986,0.00019778078204692228,0.008293007337143856,0.001682956329324039,0.0,1.0,1.0,2.794731625702527,0
0.2919041938551693,0.00016621242749013335,0.00040141796267338176,0.00019976447245791115,0.008289626837228666,0.0016810213372911353,0.0,1.0,1.0,2.794731625702527,0
0.296851722564579,0.00016607692125671908,0.0003995422441118437,0.00020174816286890005,0.008286246337313476,0.0016790863452582317,0.0,1.0,1.0,2.794731625702527,0
