r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Li-F,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0051387714907453,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0102775429814907,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0154163144722361,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0205550859629814,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0256938574537268,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0308326289444722,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0359714004352176,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0411101719259629,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0462489434167083,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0513877149074537,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0565264863981991,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0616652578889444,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0668040293796898,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0719428008704352,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0770815723611805,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0822203438519259,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0873591153426713,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.0924978868334167,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.097636658324162,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1027754298149074,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1079142013056528,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1130529727963982,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1181917442871435,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1233305157778889,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1284692872686343,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1336080587593797,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.138746830250125,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1438856017408704,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1490243732316158,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1541631447223611,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1593019162131065,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1644406877038519,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1695794591945973,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1747182306853426,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.179857002176088,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1849957736668334,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1901345451575788,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.1952733166483241,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2004120881390695,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2055508596298149,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2106896311205602,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2158284026113056,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.220967174102051,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2261059455927964,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2312447170835417,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2363834885742871,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2415222600650325,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.2466610315557779,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
