r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.4511631483054255,0
0.0074541457378689,0.0,0.0,0.0,0.0,0.0,7.185359240525201e-05,1.0,1.0,1.0,3.4511631483054255,0
0.0149082914757378,0.0,0.0,0.0,0.0,0.0,0.00014370718481050782,1.0,1.0,1.0,3.4511631483054255,0
0.0223624372136068,0.0,0.005859079186100054,0.0007652893798050048,0.0,0.0,0.00021556077721576362,1.0,1.0,1.0,3.4511631483054255,0
0.0298165829514757,0.0,0.00594492034717241,0.0007671702209734067,0.0,0.0,0.00028741436962101944,1.0,1.0,1.0,3.4511631483054255,0
0.0372707286893446,0.0,0.006030761508244782,0.0007690510621418088,0.0,0.0,0.0003592679620262752,1.0,1.0,1.0,3.4511631483054255,0
0.0447248744272136,0.0,0.006116602669317136,0.0007709319033102108,0.0,0.0,0.00043112155443153104,1.0,1.0,1.0,3.4511631483054255,0
0.0521790201650825,0.0,0.006202443830389491,0.0007728127444786148,0.0,0.0,0.0005029751468367868,1.0,1.0,1.0,3.4511631483054255,0
0.0596331659029514,0.0,0.006288284991461845,0.0007746935856470168,0.0,0.0,0.0005748287392420426,1.0,1.0,1.0,3.4511631483054255,0
0.0670873116408204,0.0,0.006374126152534217,0.0007765744268154189,0.0,0.0,0.0006466823316472985,1.0,1.0,1.0,3.4511631483054255,0
0.0745414573786893,0.0017695727443633553,0.006459967313606571,0.0007784552679838229,0.0,0.0,0.0007185359240525504,1.0,1.0,1.0,3.4511631483054255,0
0.0819956031165582,0.0017671601744421797,0.0065458084746789266,0.0007803361091522249,0.0,0.00017646398743510297,0.0007903895164578062,1.0,1.0,1.0,3.4511631483054255,0
0.0894497488544272,0.001764747604520998,0.0066316496357512805,0.0007822169503206268,0.0,0.0004896890649813418,0.0008622431088630621,1.0,1.0,1.0,3.4511631483054255,0
0.0969038945922961,0.0017623350345998224,0.006717490796823653,0.0007840977914890289,3.677549094533705e-07,0.0008029141425275805,0.0009340967012683179,1.0,1.0,1.0,3.4511631483054255,0
0.104358040330165,0.0017599224646786466,0.0068033319578960074,0.0007859786326574328,9.284961198062111e-07,0.0011161392200738193,0.0010059502936735736,1.0,1.0,1.0,3.4511631483054255,0
