r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Cl-Cl,S_i_Ca-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0049700510415207,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0099401020830415,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0149101531245622,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.019880204166083,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0248502552076038,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0298203062491245,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0347903572906453,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.039760408332166,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0447304593736868,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0497005104152076,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0546705614567283,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0596406124982491,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0646106635397698,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0695807145812906,0.0,0.0,0.0,1.0,4.751671539157209,7.72598
0.0745507656228114,0.0010943684421796287,0.0,0.0,1.0,4.751671539157209,7.72598
0.0795208166643321,0.0010891984240421573,0.0,0.0,1.0,4.751671539157209,7.72598
0.0844908677058529,0.0010840284059046858,0.0,0.0,1.0,4.751671539157209,7.72598
0.0894609187473736,0.0010788583877672144,0.0,0.0,1.0,4.751671539157209,7.72598
0.0944309697888944,0.001073688369629743,0.0,0.0,1.0,4.751671539157209,7.72598
0.0994010208304152,0.0010685183514922716,0.0,0.0,1.0,4.751671539157209,7.72598
0.1043710718719359,0.0010633483333548001,0.0,0.0,1.0,4.751671539157209,7.72598
0.1093411229134567,0.0010581783152173287,0.0,0.0,1.0,4.751671539157209,7.72598
0.1143111739549774,0.0010530082970798573,0.0,0.0,1.0,4.751671539157209,7.72598
0.1192812249964982,0.0010478382789423858,0.0,0.0,1.0,4.751671539157209,7.72598
0.124251276038019,0.0010426682608049144,0.0,0.0,1.0,4.751671539157209,7.72598
0.1292213270795397,0.001037498242667443,0.0,0.0,1.0,4.751671539157209,7.72598
0.1341913781210605,0.0010323282245299715,0.0,0.0,1.0,4.751671539157209,7.72598
0.1391614291625812,0.0010271582063925144,0.0,0.0,1.0,4.751671539157209,7.72598
0.144131480204102,0.001021988188255043,0.0,0.0,1.0,4.751671539157209,7.72598
0.1491015312456228,0.0010168181701175716,0.0,0.0,1.0,4.751671539157209,7.72598
0.1540715822871435,0.0010116481519801001,0.0,0.0,1.0,4.751671539157209,7.72598
0.1590416333286643,0.0010064781338426287,0.0,0.0,1.0,4.751671539157209,7.72598
0.1640116843701851,0.0010013081157051573,0.0,0.0,1.0,4.751671539157209,7.72598
0.1689817354117058,0.0009961380975676858,0.0,0.0,1.0,4.751671539157209,7.72598
0.1739517864532266,0.0009909680794302144,0.0,0.0,1.0,4.751671539157209,7.72598
0.1789218374947473,0.000999250347696386,0.0,0.0,1.0,4.751671539157209,7.72598
0.1838918885362681,0.001008763881313543,0.0,0.0,1.0,4.751671539157209,7.72598
0.1888619395777889,0.0010182774149307145,0.0,0.0,1.0,4.751671539157209,7.72598
0.1938319906193096,0.0010277909485478715,0.0,0.0,1.0,4.751671539157209,7.72598
0.1988020416608304,0.0010373044821650288,0.0,0.0,1.0,4.751671539157209,7.72598
0.2037720927023511,0.0010468180157822001,0.0,0.0,1.0,4.751671539157209,7.72598
0.2087421437438719,0.0010563315493993574,0.0,0.0,1.0,4.751671539157209,7.72598
0.2137121947853927,0.0010658450830165287,0.0,0.0,1.0,4.751671539157209,7.72598
0.2186822458269134,0.0010753586166336857,0.0,0.0,1.0,4.751671539157209,7.72598
0.2236522968684342,0.001084872150250843,0.0,0.0,1.0,4.751671539157209,7.72598
0.2286223479099549,0.0010943856838680143,0.0,0.0,1.0,4.751671539157209,7.72598
0.2335923989514757,0.0011038992174851716,0.0,0.0,1.0,4.751671539157209,7.72598
0.2385624499929965,0.0011134127511023286,0.0,0.0,1.0,4.751671539157209,7.72598
0.2435325010345172,0.0011229262847195001,0.0,0.0,1.0,4.751671539157209,7.72598
0.248502552076038,0.0011324398183366572,0.0,0.0,1.0,4.751671539157209,7.72598
0.2534726031175587,0.0011419533519538287,0.0,0.0,1.0,4.751671539157209,7.72598
0.2584426541590795,0.0011514668855709858,0.0,0.0,1.0,4.751671539157209,7.72598
0.2634127052006003,0.0011609804191881432,0.0,0.0,1.0,4.751671539157209,7.72598
0.268382756242121,0.0011704939528053143,0.0,0.0,1.0,4.751671539157209,7.72598
0.2733528072836418,0.0011800074864224716,0.0,0.0,1.0,4.751671539157209,7.72598
0.2783228583251625,0.001189521020039643,0.0,0.0,1.0,4.751671539157209,7.72598
0.2832929093666833,0.0012053815282862287,0.0,0.0,1.0,4.751671539157209,7.72598
0.2882629604082041,0.0012232257107167572,0.0,0.0,1.0,4.751671539157209,7.72598
0.2932330114497248,0.001241069893147286,0.0,0.0,1.0,4.751671539157209,7.72598
0.2982030624912456,0.0012589140755778145,0.0,0.0,1.0,4.751671539157209,7.72598
0.3031731135327664,0.0012767582580083432,0.0,0.0,1.0,4.751671539157209,7.72598
0.3081431645742871,0.0012946024404388858,0.0,0.0,1.0,4.751671539157209,7.72598
0.3131132156158079,0.0013124466228694146,0.0,0.0,1.0,4.751671539157209,7.72598
