r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0074437715007503,0.0,0.000215656688591985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0148875430015007,0.0,0.00043131337718397,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0223313145022511,0.0,0.0006469700657759549,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0297750860030015,0.0,0.00086262675436794,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0372188575037518,0.0,0.0010782834429599248,0.001850389463333632,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0446626290045022,0.0,0.0012939401315519097,0.002034772791436816,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0521064005052526,0.0,0.0015095968201438948,0.0022191561195399998,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.059550172006003,0.0,0.00172525350873588,0.0024035394476431726,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0669939435067533,0.0,0.0019409101973278649,0.002587922775746357,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0744377150075037,0.0,0.0021565668859198496,0.002772306103849541,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0818814865082541,1.6008979478136642e-05,0.0023722235745118345,0.002956689431952714,0.0,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0893252580090045,3.712527691028642e-05,0.0025878802631038194,0.0031410727600558975,0.0007036644449895967,0.0,0.0,1.0,1.0,1.0,2.5640104274946216,3.52027
0.0967690295097548,5.82415743424362e-05,0.0028035369516958095,0.003325456088159071,0.0006994020269641802,0.0,0.002233564562509751,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1042128010105052,7.935787177458546e-05,0.0030191936402877944,0.003509839416262255,0.0006951396089387661,0.005450949648766359,0.002206614905314457,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1116565725112556,0.00010047416920673523,0.0032348503288797794,0.0036942227443654383,0.0006908771909133496,0.005411647046202871,0.0021796652481191566,1.0,1.0,1.0,2.5640104274946216,3.52027
0.119100344012006,0.00012159046663888502,0.0034505070174717647,0.003878606072468622,0.0006866147728879354,0.005372344443639383,0.002152715590923856,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1265441155127563,0.0001427067640710343,0.003666163706063749,0.004062989400571796,0.000682352354862519,0.005333041841075914,0.002125765933728556,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1339878870135067,0.00016382306150318404,0.0037235857702240483,0.004247372728674979,0.0006780899368371048,0.0052937392385124255,0.0020988162765332623,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1414316585142571,0.00018493935893533383,0.0037184141575451993,0.004394192203352944,0.0006738275188116884,0.005254436635948937,0.0020718666193379615,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1488754300150075,0.0002060556563674831,0.0037132425448663494,0.0045192956685506614,0.0006695651007862742,0.005215134033385468,0.002044916962142661,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1563192015157578,0.00021581943853869414,0.0037080709321875055,0.004644399133748369,0.0006653026827608578,0.00517583143082198,0.0020179673049473606,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1637629730165082,0.0002149461439877763,0.0037028993195086513,0.0047695025989460856,0.0006610402647354413,0.005136528828258492,0.001991017647752067,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1712067445172586,0.00021407284943685895,0.003697727706829802,0.004894606064143804,0.0006567778467100272,0.005097226225695003,0.0019640679905567663,1.0,1.0,1.0,2.5640104274946216,3.52027
0.178650516018009,0.0002131995548859411,0.0036925560941509523,0.0050197095293415105,0.0006525154286846107,0.005057923623131533,0.0019371183333614663,1.0,1.0,1.0,2.5640104274946216,3.52027
0.1860942875187594,0.00021232626033502376,0.0036873844814721032,0.005144812994539228,0.0006483261982817119,0.0050186210205680456,0.0019101686761661657,1.0,1.0,1.0,2.5640104274946216,3.52027
