r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,SCL_BC
0.1580820121610805,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1610646916358179,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1640473711105552,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1670300505852926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.17001273006003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1729954095347673,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1759780890095047,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1789607684842421,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1819434479589795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1849261274337168,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1879088069084542,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1908914863831916,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1938741658579289,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1968568453326663,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.1998395248074037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.202822204282141,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2058048837568784,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2087875632316158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2117702427063531,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2147529221810905,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2177356016558279,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2207182811305652,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2237009606053026,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.22668364008004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2296663195547773,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2326489990295147,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2356316785042521,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2386143579789895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2415970374537268,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2445797169284642,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2475623964032016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2505450758779389,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2535277553526763,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2565104348274137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.259493114302151,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2624757937768884,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2654584732516258,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2684411527263631,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2714238322011005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2744065116758379,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2773891911505752,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2803718706253126,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.28335455010005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2863372295747873,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2893199090495247,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2923025885242621,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2952852679989995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.2982679474737368,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3012506269484742,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3042333064232116,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3072159858979489,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3101986653726863,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3131813448474237,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.316164024322161,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3191467037968984,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3221293832716358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3251120627463731,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3280947422211105,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3310774216958479,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3340601011705852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3370427806453226,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.34002546012006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3430081395947973,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3459908190695347,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3489734985442721,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3519561780190094,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3549388574937469,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3579215369684842,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3609042164432215,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.363886895917959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3668695753926963,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3698522548674337,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3728349343421711,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3758176138169084,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3788002932916458,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
