r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0039850468519259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0079700937038519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0119551405557778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0159401874077038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0199252342596298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0239102811115557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0278953279634817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0318803748154077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0358654216673336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0398504685192596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0438355153711855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0478205622231115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0518056090750375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0557906559269634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0597757027788894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0637607496308154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0677457964827413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0717308433346673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0757158901865932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0797009370385192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0836859838904452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0876710307423711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0916560775942971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.0956411244462231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.099626171298149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.103611218150075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.107596265002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.1115813118539269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.1155663587058529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.1195514055577788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
0.1235364524097048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3130060913242203,0
